id,recorded_type,recorded_date,recorded_amount,recorded_payment/receipt_status,recorded_payment_method,recorded_approver,recorded_preparer,recorded_receive_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Sale20240103002,Sale,2024-01-03,42365.71,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,42365.71,C010,2118.29,40247.42,20000.0,22365.71,"On January 03, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $42365.71, totaling $42365.71. The cost amount for this transaction was $20000.00, with a tax amount of $2118.29, leading to a total amount due of $40247.42. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240103003,Sale,2024-01-03,210203.88,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,210203.88,C010,10510.19,199693.69,100000.0,110203.88,"On January 03, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $210203.88, totaling $210203.88. The cost amount for this transaction was $100000.00, with a tax amount of $10510.19, leading to a total amount due of $199693.69. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231003,Purchase,2023-12-31,3000.0,Paid,Bank Transfer,Director,Staff,,1000.0,S003,Supplier 3,S001,Basic Consulting,3.0,1000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $1000.00, totaling $3000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240103001,Sales Expenses,2024-01-03,6868.64,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $6868.64. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,435.83,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $435.83. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231004,Purchase,2023-12-31,5000.0,Paid,Bank Transfer,Director,Staff,,5000.0,S002,Supplier 2,S002,Standard Consulting,1.0,5000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $5000.00, totaling $5000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240104001,Sales Expenses,2024-01-04,11000.54,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $11000.54. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240104001,Sales Expenses,2024-01-04,7711.09,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $7711.09. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,435.39,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $435.39. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105007,Sale,2024-01-05,14282.89,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,14282.89,C016,714.14,13568.75,5000.0,9282.89,"On January 05, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $14282.89, totaling $14282.89. The cost amount for this transaction was $5000.00, with a tax amount of $714.14, leading to a total amount due of $13568.75. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240105008,Sale,2024-01-05,57947.08,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,57947.08,C002,2897.35,55049.73,20000.0,37947.08,"On January 05, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $57947.08, totaling $57947.08. The cost amount for this transaction was $20000.00, with a tax amount of $2897.35, leading to a total amount due of $55049.73. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240105009,Sale,2024-01-05,2074.66,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2074.66,C015,103.73,1970.93,1000.0,1074.66,"On January 05, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2074.66, totaling $2074.66. The cost amount for this transaction was $1000.00, with a tax amount of $103.73, leading to a total amount due of $1970.93. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231005,Purchase,2023-12-31,15000.0,Paid,Bank Transfer,Director,Staff,,5000.0,S003,Supplier 3,S002,Standard Consulting,3.0,5000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $5000.00, totaling $15000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Purchase20231231006,Purchase,2023-12-31,60000.0,Unpaid,Account Payable,Director,Supervisor,,20000.0,S008,Supplier 8,S003,Premium Consulting,3.0,20000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $20000.00, totaling $60000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240105001,Financial Expenses,2024-01-05,10108.46,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Financial Expenses, totaling $10108.46. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,434.05,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $434.05. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106010,Sale,2024-01-06,9788.79,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,9788.79,C002,489.44,9299.35,5000.0,4788.79,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $9788.79, totaling $9788.79. The cost amount for this transaction was $5000.00, with a tax amount of $489.44, leading to a total amount due of $9299.35. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240106011,Sale,2024-01-06,2971.81,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2971.81,C004,148.59,2823.22,1000.0,1971.81,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2971.81, totaling $2971.81. The cost amount for this transaction was $1000.00, with a tax amount of $148.59, leading to a total amount due of $2823.22. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240106001,Sales Expenses,2024-01-06,12123.55,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $12123.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,434.05,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $434.05. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107013,Sale,2024-01-07,2160.53,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2160.53,C004,108.03,2052.5,1000.0,1160.53,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2160.53, totaling $2160.53. The cost amount for this transaction was $1000.00, with a tax amount of $108.03, leading to a total amount due of $2052.50. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240107014,Sale,2024-01-07,43879.89,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,43879.89,C017,2193.99,41685.9,20000.0,23879.89,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $43879.89, totaling $43879.89. The cost amount for this transaction was $20000.00, with a tax amount of $2193.99, leading to a total amount due of $41685.90. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240107001,Administrative Expenses,2024-01-07,7572.85,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $7572.85. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,434.05,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $434.05. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108015,Sale,2024-01-08,53770.35,Paid,,,,Cash,20000.0,,,S003,Premium Consulting,1.0,53770.35,C006,2688.52,51081.83,20000.0,33770.35,"On January 08, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $53770.35, totaling $53770.35. The cost amount for this transaction was $20000.00, with a tax amount of $2688.52, leading to a total amount due of $51081.83. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231007,Purchase,2023-12-31,10000.0,Unpaid,Account Payable,Director,Supervisor,,5000.0,S003,Supplier 3,S002,Standard Consulting,2.0,5000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $5000.00, totaling $10000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240108001,Administrative Expenses,2024-01-08,9907.39,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $9907.39. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240108001,Sales Expenses,2024-01-08,19859.78,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Sales Expenses, totaling $19859.78. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,434.05,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $434.05. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231008,Purchase,2023-12-31,300000.0,Paid,Bank Transfer,Director,Staff,,100000.0,S010,Supplier 10,S004,Enterprise Solution,3.0,100000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $100000.00, totaling $300000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240109001,Administrative Expenses,2024-01-09,7508.13,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $7508.13. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240109001,Sales Expenses,2024-01-09,13154.69,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $13154.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240110001,Administrative Expenses,2024-01-10,4915.48,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $4915.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240110001,Administrative Expenses,2024-01-10,4177.41,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $4177.41. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240111001,Administrative Expenses,2024-01-11,7460.0,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $7460.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112018,Sale,2024-01-12,9794.76,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,9794.76,C005,489.74,9305.02,5000.0,4794.76,"On January 12, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $9794.76, totaling $9794.76. The cost amount for this transaction was $5000.00, with a tax amount of $489.74, leading to a total amount due of $9305.02. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240112001,Sales Expenses,2024-01-12,18414.02,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Sales Expenses, totaling $18414.02. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240112001,Administrative Expenses,2024-01-12,3585.9,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $3585.90. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231009,Purchase,2023-12-31,20000.0,Paid,Cash,Director,Staff,,20000.0,S003,Supplier 3,S003,Premium Consulting,1.0,20000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $20000.00, totaling $20000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240113001,Administrative Expenses,2024-01-13,16185.43,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Administrative Expenses, totaling $16185.43. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240113013,Interest Receivables,2024-01-13,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240114001,Financial Expenses,2024-01-14,5969.48,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Financial Expenses, totaling $5969.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240114014,Interest Receivables,2024-01-14,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240115020,Sale,2024-01-15,10791.32,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,10791.32,C014,539.57,10251.75,5000.0,5791.32,"On January 15, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $10791.32, totaling $10791.32. The cost amount for this transaction was $5000.00, with a tax amount of $539.57, leading to a total amount due of $10251.75. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240115021,Sale,2024-01-15,41521.81,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,41521.81,C011,2076.09,39445.72,20000.0,21521.81,"On January 15, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $41521.81, totaling $41521.81. The cost amount for this transaction was $20000.00, with a tax amount of $2076.09, leading to a total amount due of $39445.72. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240115001,Sales Expenses,2024-01-15,6244.69,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Sales Expenses, totaling $6244.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240115015,Interest Receivables,2024-01-15,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231010,Purchase,2023-12-31,5000.0,Paid,Cash,Director,Staff,,5000.0,S007,Supplier 7,S002,Standard Consulting,1.0,5000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $5000.00, totaling $5000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240116001,Sales Expenses,2024-01-16,12813.32,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $12813.32. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240116016,Interest Receivables,2024-01-16,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240117024,Sale,2024-01-17,220256.39,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,220256.39,C009,11012.82,209243.57,100000.0,120256.39,"On January 17, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $220256.39, totaling $220256.39. The cost amount for this transaction was $100000.00, with a tax amount of $11012.82, leading to a total amount due of $209243.57. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240117025,Sale,2024-01-17,59992.23,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,59992.23,C001,2999.61,56992.62,20000.0,39992.23,"On January 17, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $59992.23, totaling $59992.23. The cost amount for this transaction was $20000.00, with a tax amount of $2999.61, leading to a total amount due of $56992.62. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240117026,Sale,2024-01-17,12449.82,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,12449.82,C011,622.49,11827.33,5000.0,7449.82,"On January 17, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $12449.82, totaling $12449.82. The cost amount for this transaction was $5000.00, with a tax amount of $622.49, leading to a total amount due of $11827.33. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231011,Purchase,2023-12-31,300000.0,Unpaid,Account Payable,Director,Supervisor,,100000.0,S010,Supplier 10,S004,Enterprise Solution,3.0,100000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $100000.00, totaling $300000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240117001,Sales Expenses,2024-01-17,2926.59,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Sales Expenses, totaling $2926.59. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240117017,Interest Receivables,2024-01-17,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240118028,Sale,2024-01-18,57321.13,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,57321.13,C017,2866.06,54455.07,20000.0,37321.13,"On January 18, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $57321.13, totaling $57321.13. The cost amount for this transaction was $20000.00, with a tax amount of $2866.06, leading to a total amount due of $54455.07. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240118029,Sale,2024-01-18,254654.8,Paid,,,,Cash,100000.0,,,S004,Enterprise Solution,1.0,254654.8,C008,12732.74,241922.06,100000.0,154654.8,"On January 18, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $254654.80, totaling $254654.80. The cost amount for this transaction was $100000.00, with a tax amount of $12732.74, leading to a total amount due of $241922.06. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231012,Purchase,2023-12-31,60000.0,Paid,Cash,Director,Supervisor,,20000.0,S010,Supplier 10,S003,Premium Consulting,3.0,20000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $20000.00, totaling $60000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240118001,Sales Expenses,2024-01-18,19008.58,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Sales Expenses, totaling $19008.58. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240118018,Interest Receivables,2024-01-18,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240119031,Sale,2024-01-19,202361.1,Paid,,,,Cash,100000.0,,,S004,Enterprise Solution,1.0,202361.1,C016,10118.06,192243.04,100000.0,102361.1,"On January 19, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $202361.10, totaling $202361.10. The cost amount for this transaction was $100000.00, with a tax amount of $10118.06, leading to a total amount due of $192243.04. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240119001,Sales Expenses,2024-01-19,11284.89,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Sales Expenses, totaling $11284.89. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240119019,Interest Receivables,2024-01-19,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240120033,Sale,2024-01-20,9687.98,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,9687.98,C009,484.4,9203.58,5000.0,4687.98,"On January 20, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $9687.98, totaling $9687.98. The cost amount for this transaction was $5000.00, with a tax amount of $484.40, leading to a total amount due of $9203.58. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240120001,Sales Expenses,2024-01-20,2123.37,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Sales Expenses, totaling $2123.37. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240120020,Interest Receivables,2024-01-20,407.35,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Interest Receivables, totaling $407.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240121035,Sale,2024-01-21,232916.62,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,232916.62,C008,11645.83,221270.79,100000.0,132916.62,"On January 21, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $232916.62, totaling $232916.62. The cost amount for this transaction was $100000.00, with a tax amount of $11645.83, leading to a total amount due of $221270.79. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240121036,Sale,2024-01-21,188606.93,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,188606.93,C019,9430.35,179176.58,100000.0,88606.93,"On January 21, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $188606.93, totaling $188606.93. The cost amount for this transaction was $100000.00, with a tax amount of $9430.35, leading to a total amount due of $179176.58. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
