id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_cost_per_unit,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Sale20240102002,Sale,2024-01-02,1397.44,,,Paid,880.0,,,,F003,Deluxe Meal Set,1.0,1397.44,Cash,C001,69.87,1327.57,880.0,517.44,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1397.44, totaling $1397.44. The cost amount for this transaction was $880.00, with a tax amount of $69.87, leading to a total amount due of $1327.57. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240102003,Sale,2024-01-02,2408.0,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,2.0,1204.0,Account Receviable,C010,120.4,2287.6,1760.0,648.0,"On January 02, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $1204.00, totaling $2408.00. The cost amount for this transaction was $1760.00, with a tax amount of $120.40, leading to a total amount due of $2287.60. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240102004,Sale,2024-01-02,6922.9,,,Paid,880.0,,,,F003,Deluxe Meal Set,5.0,1384.58,Cash,C012,346.14,6576.76,4400.0,2522.9,"On January 02, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $1384.58, totaling $6922.90. The cost amount for this transaction was $4400.00, with a tax amount of $346.14, leading to a total amount due of $6576.76. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231004,Purchase,2023-12-31,67900.0,Director,Supervisor,Paid,350.0,Bank Transfer,S004,Supplier 4,F002,Business Meal Set,194.0,350.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 194.0 units at a unit price of $350.00, totaling $67900.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Purchase20231231005,Purchase,2023-12-31,545000.0,Director,Supervisor,Paid,5000.0,Bank Transfer,S007,Supplier 7,R003,Luxury Suite,109.0,5000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 109.0 units at a unit price of $5000.00, totaling $545000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Purchase20231231006,Purchase,2023-12-31,1380000.0,Director,Supervisor,Unpaid,5000.0,Account Payable,S008,Supplier 8,R003,Luxury Suite,276.0,5000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 276.0 units at a unit price of $5000.00, totaling $1380000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240102001,Sales Expenses,2024-01-02,593.54,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $593.54. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240102001,Sales Expenses,2024-01-02,742.01,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $742.01. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,385.56,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $385.56. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103007,Sale,2024-01-03,15249.8,,,Paid,5000.0,,,,R003,Luxury Suite,2.0,7624.9,Cash,C003,762.49,14487.31,10000.0,5249.8,"On January 03, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $7624.90, totaling $15249.80. The cost amount for this transaction was $10000.00, with a tax amount of $762.49, leading to a total amount due of $14487.31. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240103008,Sale,2024-01-03,5685.32,,,Paid,880.0,,,,F003,Deluxe Meal Set,4.0,1421.33,Cash,C005,284.27,5401.05,3520.0,2165.32,"On January 03, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $1421.33, totaling $5685.32. The cost amount for this transaction was $3520.00, with a tax amount of $284.27, leading to a total amount due of $5401.05. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240103009,Sale,2024-01-03,6270.55,,,Paid,880.0,,,,F003,Deluxe Meal Set,5.0,1254.11,Cash,C005,313.53,5957.02,4400.0,1870.55,"On January 03, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $1254.11, totaling $6270.55. The cost amount for this transaction was $4400.00, with a tax amount of $313.53, leading to a total amount due of $5957.02. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240103010,Sale,2024-01-03,8261.72,,,Paid,5000.0,,,,R003,Luxury Suite,1.0,8261.72,Cash,C006,413.09,7848.63,5000.0,3261.72,"On January 03, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $8261.72, totaling $8261.72. The cost amount for this transaction was $5000.00, with a tax amount of $413.09, leading to a total amount due of $7848.63. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231007,Purchase,2023-12-31,206000.0,Director,Supervisor,Paid,2000.0,Cash,S004,Supplier 4,R002,Business Room,103.0,2000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 103.0 units at a unit price of $2000.00, totaling $206000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Purchase20231231008,Purchase,2023-12-31,244500.0,Director,Supervisor,Unpaid,1500.0,Account Payable,S009,Supplier 9,R001,Standard Room,163.0,1500.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 163.0 units at a unit price of $1500.00, totaling $244500.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Purchase20231231009,Purchase,2023-12-31,16650.0,Director,Supervisor,Unpaid,150.0,Account Payable,S001,Supplier 1,F001,Quick Meal Set,111.0,150.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 111.0 units at a unit price of $150.00, totaling $16650.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240103001,Sales Expenses,2024-01-03,619.55,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $619.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240103001,Sales Expenses,2024-01-03,911.56,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $911.56. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,385.56,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $385.56. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104013,Sale,2024-01-04,1333.7,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,266.74,Cash,C007,66.69,1267.01,750.0,583.7,"On January 04, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $266.74, totaling $1333.70. The cost amount for this transaction was $750.00, with a tax amount of $66.69, leading to a total amount due of $1267.01. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240104014,Sale,2024-01-04,463.31,,,Unpaid,350.0,,,,F002,Business Meal Set,1.0,463.31,Account Receviable,C013,23.17,440.14,350.0,113.31,"On January 04, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $463.31, totaling $463.31. The cost amount for this transaction was $350.00, with a tax amount of $23.17, leading to a total amount due of $440.14. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240104015,Sale,2024-01-04,5713.16,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,4.0,1428.29,Account Receviable,C016,285.66,5427.5,3520.0,2193.16,"On January 04, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $1428.29, totaling $5713.16. The cost amount for this transaction was $3520.00, with a tax amount of $285.66, leading to a total amount due of $5427.50. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231010,Purchase,2023-12-31,1380000.0,Director,Supervisor,Paid,5000.0,Bank Transfer,S009,Supplier 9,R003,Luxury Suite,276.0,5000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 276.0 units at a unit price of $5000.00, totaling $1380000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Purchase20231231011,Purchase,2023-12-31,35850.0,Director,Supervisor,Unpaid,150.0,Account Payable,S009,Supplier 9,F001,Quick Meal Set,239.0,150.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 239.0 units at a unit price of $150.00, totaling $35850.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240104001,Sales Expenses,2024-01-04,505.9,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $505.90. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240104001,Administrative Expenses,2024-01-04,651.53,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $651.53. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105017,Sale,2024-01-05,1717.44,,,Paid,350.0,,,,F002,Business Meal Set,3.0,572.48,Cash,C008,85.87,1631.57,1050.0,667.44,"On January 05, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $572.48, totaling $1717.44. The cost amount for this transaction was $1050.00, with a tax amount of $85.87, leading to a total amount due of $1631.57. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105018,Sale,2024-01-05,4539.75,,,Paid,880.0,,,,F003,Deluxe Meal Set,3.0,1513.25,Cash,C013,226.99,4312.76,2640.0,1899.75,"On January 05, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $1513.25, totaling $4539.75. The cost amount for this transaction was $2640.00, with a tax amount of $226.99, leading to a total amount due of $4312.76. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105019,Sale,2024-01-05,4599.18,,,Paid,1500.0,,,,R001,Standard Room,2.0,2299.59,Cash,C003,229.96,4369.22,3000.0,1599.18,"On January 05, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $2299.59, totaling $4599.18. The cost amount for this transaction was $3000.00, with a tax amount of $229.96, leading to a total amount due of $4369.22. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240105001,Administrative Expenses,2024-01-05,103.43,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $103.43. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106020,Sale,2024-01-06,2207.08,,,Unpaid,1500.0,,,,R001,Standard Room,1.0,2207.08,Account Receviable,C019,110.35,2096.73,1500.0,707.08,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2207.08, totaling $2207.08. The cost amount for this transaction was $1500.00, with a tax amount of $110.35, leading to a total amount due of $2096.73. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240106021,Sale,2024-01-06,2677.56,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,2.0,1338.78,Account Receviable,C013,133.88,2543.68,1760.0,917.56,"On January 06, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $1338.78, totaling $2677.56. The cost amount for this transaction was $1760.00, with a tax amount of $133.88, leading to a total amount due of $2543.68. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240106022,Sale,2024-01-06,220.54,,,Unpaid,150.0,,,,F001,Quick Meal Set,1.0,220.54,Account Receviable,C015,11.03,209.51,150.0,70.54,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $220.54, totaling $220.54. The cost amount for this transaction was $150.00, with a tax amount of $11.03, leading to a total amount due of $209.51. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240106023,Sale,2024-01-06,8819.56,,,Paid,1500.0,,,,R001,Standard Room,4.0,2204.89,Cash,C019,440.98,8378.58,6000.0,2819.56,"On January 06, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $2204.89, totaling $8819.56. The cost amount for this transaction was $6000.00, with a tax amount of $440.98, leading to a total amount due of $8378.58. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231012,Purchase,2023-12-31,427500.0,Director,Supervisor,Paid,1500.0,Cash,S008,Supplier 8,R001,Standard Room,285.0,1500.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 285.0 units at a unit price of $1500.00, totaling $427500.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240106001,Sales Expenses,2024-01-06,467.46,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $467.46. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240106001,Administrative Expenses,2024-01-06,579.58,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $579.58. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107025,Sale,2024-01-07,1059.52,,,Unpaid,150.0,,,,F001,Quick Meal Set,4.0,264.88,Account Receviable,C020,52.98,1006.54,600.0,459.52,"On January 07, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $264.88, totaling $1059.52. The cost amount for this transaction was $600.00, with a tax amount of $52.98, leading to a total amount due of $1006.54. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240107026,Sale,2024-01-07,536.48,,,Unpaid,150.0,,,,F001,Quick Meal Set,2.0,268.24,Account Receviable,C009,26.82,509.66,300.0,236.48,"On January 07, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $268.24, totaling $536.48. The cost amount for this transaction was $300.00, with a tax amount of $26.82, leading to a total amount due of $509.66. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240107027,Sale,2024-01-07,24035.49,,,Unpaid,5000.0,,,,R003,Luxury Suite,3.0,8011.83,Account Receviable,C008,1201.77,22833.72,15000.0,9035.49,"On January 07, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $8011.83, totaling $24035.49. The cost amount for this transaction was $15000.00, with a tax amount of $1201.77, leading to a total amount due of $22833.72. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240107028,Sale,2024-01-07,7813.36,,,Unpaid,5000.0,,,,R003,Luxury Suite,1.0,7813.36,Account Receviable,C012,390.67,7422.69,5000.0,2813.36,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $7813.36, totaling $7813.36. The cost amount for this transaction was $5000.00, with a tax amount of $390.67, leading to a total amount due of $7422.69. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231013,Purchase,2023-12-31,454000.0,Director,Supervisor,Unpaid,2000.0,Account Payable,S007,Supplier 7,R002,Business Room,227.0,2000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 227.0 units at a unit price of $2000.00, totaling $454000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240107001,Administrative Expenses,2024-01-07,816.38,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $816.38. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108029,Sale,2024-01-08,3683.58,,,Paid,880.0,,,,F003,Deluxe Meal Set,3.0,1227.86,Cash,C020,184.18,3499.4,2640.0,1043.58,"On January 08, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $1227.86, totaling $3683.58. The cost amount for this transaction was $2640.00, with a tax amount of $184.18, leading to a total amount due of $3499.40. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240108030,Sale,2024-01-08,1058.45,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,211.69,Cash,C014,52.92,1005.53,750.0,308.45,"On January 08, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $211.69, totaling $1058.45. The cost amount for this transaction was $750.00, with a tax amount of $52.92, leading to a total amount due of $1005.53. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231014,Purchase,2023-12-31,208560.0,Director,Supervisor,Unpaid,880.0,Account Payable,S006,Supplier 6,F003,Deluxe Meal Set,237.0,880.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 237.0 units at a unit price of $880.00, totaling $208560.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Purchase20231231015,Purchase,2023-12-31,121440.0,Director,Supervisor,Unpaid,880.0,Account Payable,S006,Supplier 6,F003,Deluxe Meal Set,138.0,880.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 138.0 units at a unit price of $880.00, totaling $121440.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Purchase20231231016,Purchase,2023-12-31,154500.0,Director,Supervisor,Unpaid,1500.0,Account Payable,S008,Supplier 8,R001,Standard Room,103.0,1500.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 103.0 units at a unit price of $1500.00, totaling $154500.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240108001,Administrative Expenses,2024-01-08,832.1,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $832.10. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240108001,Sales Expenses,2024-01-08,100.6,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Sales Expenses, totaling $100.60. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109032,Sale,2024-01-09,5952.08,,,Unpaid,2000.0,,,,R002,Business Room,2.0,2976.04,Account Receviable,C015,297.6,5654.48,4000.0,1952.08,"On January 09, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $2976.04, totaling $5952.08. The cost amount for this transaction was $4000.00, with a tax amount of $297.60, leading to a total amount due of $5654.48. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240109033,Sale,2024-01-09,3059.84,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,2.0,1529.92,Account Receviable,C016,152.99,2906.85,1760.0,1299.84,"On January 09, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $1529.92, totaling $3059.84. The cost amount for this transaction was $1760.00, with a tax amount of $152.99, leading to a total amount due of $2906.85. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240109034,Sale,2024-01-09,6502.94,,,Paid,5000.0,,,,R003,Luxury Suite,1.0,6502.94,Cash,C015,325.15,6177.79,5000.0,1502.94,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $6502.94, totaling $6502.94. The cost amount for this transaction was $5000.00, with a tax amount of $325.15, leading to a total amount due of $6177.79. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240109001,Sales Expenses,2024-01-09,531.58,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $531.58. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110036,Sale,2024-01-10,7140.32,,,Unpaid,2000.0,,,,R002,Business Room,2.0,3570.16,Account Receviable,C001,357.02,6783.3,4000.0,3140.32,"On January 10, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $3570.16, totaling $7140.32. The cost amount for this transaction was $4000.00, with a tax amount of $357.02, leading to a total amount due of $6783.30. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240110037,Sale,2024-01-10,22414.14,,,Unpaid,5000.0,,,,R003,Luxury Suite,3.0,7471.38,Account Receviable,C009,1120.71,21293.43,15000.0,7414.14,"On January 10, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $7471.38, totaling $22414.14. The cost amount for this transaction was $15000.00, with a tax amount of $1120.71, leading to a total amount due of $21293.43. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240110038,Sale,2024-01-10,2528.6,,,Paid,350.0,,,,F002,Business Meal Set,5.0,505.72,Cash,C013,126.43,2402.17,1750.0,778.6,"On January 10, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $505.72, totaling $2528.60. The cost amount for this transaction was $1750.00, with a tax amount of $126.43, leading to a total amount due of $2402.17. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240110039,Sale,2024-01-10,554.42,,,Paid,350.0,,,,F002,Business Meal Set,1.0,554.42,Cash,C013,27.72,526.7,350.0,204.42,"On January 10, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $554.42, totaling $554.42. The cost amount for this transaction was $350.00, with a tax amount of $27.72, leading to a total amount due of $526.70. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231017,Purchase,2023-12-31,428000.0,Director,Supervisor,Unpaid,2000.0,Account Payable,S004,Supplier 4,R002,Business Room,214.0,2000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 214.0 units at a unit price of $2000.00, totaling $428000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240110001,Sales Expenses,2024-01-10,642.55,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $642.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
