id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,cost_per_unit,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,467.46,467.46,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,579.58,579.58,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240107025,Sale,2024-01-07,2024-01-07,1059.52,1059.52,,,Unpaid,150.0,,,,F001,Quick Meal Set,4.0,264.88,Account Receviable,C020,52.98,1006.54,600.0,459.52
Sale20240107026,Sale,2024-01-07,2024-01-07,536.48,536.48,,,Unpaid,150.0,,,,F001,Quick Meal Set,2.0,268.24,Account Receviable,C009,26.82,509.66,300.0,236.48000000000002
Sale20240107027,Sale,2024-01-07,2024-01-07,24035.49,24035.49,,,Unpaid,5000.0,,,,R003,Luxury Suite,3.0,8011.83,Account Receviable,C008,1201.77,22833.72,15000.0,9035.490000000002
Sale20240107028,Sale,2024-01-07,2024-01-07,7813.36,7813.36,,,Unpaid,5000.0,,,,R003,Luxury Suite,1.0,7813.36,Account Receviable,C012,390.67,7422.69,5000.0,2813.3599999999997
Purchase20231231013,Purchase,2023-12-31,2023-12-31,454000.0,454000.0,Director,Supervisor,Unpaid,2000.0,Account Payable,S007,Supplier 7,R002,Business Room,227.0,2000.0,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,816.38,816.38,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240108029,Sale,2024-01-08,2024-01-08,3683.58,3683.58,,,Paid,880.0,,,,F003,Deluxe Meal Set,3.0,1227.86,Cash,C020,184.18,3499.4,2640.0,1043.58
Sale20240108030,Sale,2024-01-08,2024-01-08,1058.45,1058.45,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,211.69,Cash,C014,52.92,1005.53,750.0,308.45000000000005
Purchase20231231014,Purchase,2023-12-31,2023-12-31,208560.0,208560.0,Director,Supervisor,Unpaid,880.0,Account Payable,S006,Supplier 6,F003,Deluxe Meal Set,237.0,880.0,,,,,,
Purchase20231231015,Purchase,2023-12-31,2023-12-31,121440.0,121440.0,Director,Supervisor,Unpaid,880.0,Account Payable,S006,Supplier 6,F003,Deluxe Meal Set,138.0,880.0,,,,,,
Purchase20231231016,Purchase,2023-12-31,2023-12-31,154500.0,154500.0,Director,Supervisor,Unpaid,1500.0,Account Payable,S008,Supplier 8,R001,Standard Room,103.0,1500.0,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,832.1,832.1,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,100.6,100.6,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240109032,Sale,2024-01-09,2024-01-09,5952.08,5952.08,,,Unpaid,2000.0,,,,R002,Business Room,2.0,2976.04,Account Receviable,C015,297.6,5654.48,4000.0,1952.08
Sale20240109033,Sale,2024-01-09,2024-01-09,3059.84,3059.84,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,2.0,1529.92,Account Receviable,C016,152.99,2906.85,1760.0,1299.8400000000001
Sale20240109034,Sale,2024-01-09,2024-01-09,6502.94,6502.94,,,Paid,5000.0,,,,R003,Luxury Suite,1.0,6502.94,Cash,C015,325.15,6177.79,5000.0,1502.9399999999996
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,531.58,531.58,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240110036,Sale,2024-01-10,2024-01-10,7140.32,7140.32,,,Unpaid,2000.0,,,,R002,Business Room,2.0,3570.16,Account Receviable,C001,357.02,6783.3,4000.0,3140.3199999999997
Sale20240110037,Sale,2024-01-10,2024-01-10,22414.14,22414.14,,,Unpaid,5000.0,,,,R003,Luxury Suite,3.0,7471.38,Account Receviable,C009,1120.71,21293.43,15000.0,7414.139999999999
Sale20240110038,Sale,2024-01-10,2024-01-10,2528.6,2528.6,,,Paid,350.0,,,,F002,Business Meal Set,5.0,505.72,Cash,C013,126.43,2402.17,1750.0,778.5999999999999
Sale20240110039,Sale,2024-01-10,2024-01-10,554.42,554.42,,,Paid,350.0,,,,F002,Business Meal Set,1.0,554.42,Cash,C013,27.72,526.7,350.0,204.41999999999996
Purchase20231231017,Purchase,2023-12-31,2023-12-31,428000.0,428000.0,Director,Supervisor,Unpaid,2000.0,Account Payable,S004,Supplier 4,R002,Business Room,214.0,2000.0,,,,,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,642.55,642.55,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240111041,Sale,2024-01-11,2024-01-11,6831.16,6831.16,,,Paid,2000.0,,,,R002,Business Room,2.0,3415.58,Cash,C008,341.56,6489.6,4000.0,2831.16
Purchase20231231018,Purchase,2023-12-31,2023-12-31,30300.0,30300.0,Director,Supervisor,Unpaid,150.0,Account Payable,S009,Supplier 9,F001,Quick Meal Set,202.0,150.0,,,,,,
Expense20240111001,Sales Expenses,2024-01-11,2024-01-11,950.15,950.15,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240112043,Sale,2024-01-12,2024-01-12,7691.16,7691.16,,,Unpaid,1500.0,,,,R001,Standard Room,3.0,2563.72,Account Receviable,C011,384.56,7306.6,4500.0,3191.16
Sale20240112044,Sale,2024-01-12,2024-01-12,943.16,943.16,,,Paid,350.0,,,,F002,Business Meal Set,2.0,471.58,Cash,C006,47.16,896.0,700.0,243.15999999999997
Sale20240112045,Sale,2024-01-12,2024-01-12,4359.1,4359.1,,,Paid,1500.0,,,,R001,Standard Room,2.0,2179.55,Cash,C010,217.96,4141.14,3000.0,1359.1000000000004
Sale20240112046,Sale,2024-01-12,2024-01-12,8782.89,8782.89,,,Paid,2000.0,,,,R002,Business Room,3.0,2927.63,Cash,C013,439.14,8343.75,6000.0,2782.8899999999994
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,400.21,400.21,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,631.59,631.59,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240113048,Sale,2024-01-13,2024-01-13,4757.44,4757.44,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,4.0,1189.36,Account Receviable,C016,237.87,4519.57,3520.0,1237.4399999999996
Sale20240113049,Sale,2024-01-13,2024-01-13,13086.9,13086.9,,,Paid,1500.0,,,,R001,Standard Room,5.0,2617.38,Cash,C020,654.35,12432.55,7500.0,5586.9
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,846.84,846.84,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240114050,Sale,2024-01-14,2024-01-14,5207.72,5207.72,,,Unpaid,1500.0,,,,R001,Standard Room,2.0,2603.86,Account Receviable,C012,260.39,4947.33,3000.0,2207.7200000000003
Sale20240114051,Sale,2024-01-14,2024-01-14,5056.24,5056.24,,,Paid,880.0,,,,F003,Deluxe Meal Set,4.0,1264.06,Cash,C015,252.81,4803.43,3520.0,1536.2399999999998
Sale20240114052,Sale,2024-01-14,2024-01-14,3220.03,3220.03,,,Unpaid,2000.0,,,,R002,Business Room,1.0,3220.03,Account Receviable,C009,161.0,3059.03,2000.0,1220.0300000000002
Sale20240114053,Sale,2024-01-14,2024-01-14,220.09,220.09,,,Unpaid,150.0,,,,F001,Quick Meal Set,1.0,220.09,Account Receviable,C009,11.0,209.09,150.0,70.09
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,609.3,609.3,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240115055,Sale,2024-01-15,2024-01-15,26345.16,26345.16,,,Paid,5000.0,,,,R003,Luxury Suite,3.0,8781.72,Cash,C016,1317.26,25027.9,15000.0,11345.16
Sale20240115056,Sale,2024-01-15,2024-01-15,5850.38,5850.38,,,Paid,2000.0,,,,R002,Business Room,2.0,2925.19,Cash,C012,292.52,5557.86,4000.0,1850.38
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,771.36,771.36,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240116057,Sale,2024-01-16,2024-01-16,6335.66,6335.66,,,Unpaid,2000.0,,,,R002,Business Room,2.0,3167.83,Account Receviable,C012,316.78,6018.88,4000.0,2335.66
Sale20240116058,Sale,2024-01-16,2024-01-16,1987.46,1987.46,,,Paid,1500.0,,,,R001,Standard Room,1.0,1987.46,Cash,C010,99.37,1888.09,1500.0,487.46000000000004
Sale20240116059,Sale,2024-01-16,2024-01-16,6082.02,6082.02,,,Unpaid,1500.0,,,,R001,Standard Room,3.0,2027.34,Account Receviable,C002,304.1,5777.92,4500.0,1582.0200000000004
Sale20240116060,Sale,2024-01-16,2024-01-16,4459.59,4459.59,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,3.0,1486.53,Account Receviable,C005,222.98,4236.61,2640.0,1819.5900000000001
Expense20240116001,Administrative Expenses,2024-01-16,2024-01-16,252.96,252.96,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240117061,Sale,2024-01-17,2024-01-17,7204.15,7204.15,,,Paid,5000.0,,,,R003,Luxury Suite,1.0,7204.15,Cash,C009,360.21,6843.94,5000.0,2204.1499999999996
Sale20240117062,Sale,2024-01-17,2024-01-17,3540.15,3540.15,,,Paid,880.0,,,,F003,Deluxe Meal Set,3.0,1180.05,Cash,C013,177.01,3363.14,2640.0,900.1500000000001
Sale20240117063,Sale,2024-01-17,2024-01-17,8792.73,8792.73,,,Paid,2000.0,,,,R002,Business Room,3.0,2930.91,Cash,C016,439.64,8353.09,6000.0,2792.7299999999996
Sale20240117064,Sale,2024-01-17,2024-01-17,706.59,706.59,,,Paid,150.0,,,,F001,Quick Meal Set,3.0,235.53,Cash,C014,35.33,671.26,450.0,256.59000000000003
Expense20240117001,Administrative Expenses,2024-01-17,2024-01-17,589.17,589.17,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240118065,Sale,2024-01-18,2024-01-18,2604.73,2604.73,,,Unpaid,2000.0,,,,R002,Business Room,1.0,2604.73,Account Receviable,C009,130.24,2474.49,2000.0,604.73
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,495.8,495.8,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240118001,Administrative Expenses,2024-01-18,2024-01-18,273.94,273.94,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240119067,Sale,2024-01-19,2024-01-19,730.29,730.29,,,Paid,150.0,,,,F001,Quick Meal Set,3.0,243.43,Cash,C018,36.51,693.78,450.0,280.28999999999996
Sale20240119068,Sale,2024-01-19,2024-01-19,16385.95,16385.95,,,Paid,2000.0,,,,R002,Business Room,5.0,3277.19,Cash,C010,819.3,15566.65,10000.0,6385.950000000001
Expense20240119001,Administrative Expenses,2024-01-19,2024-01-19,472.82,472.82,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240120069,Sale,2024-01-20,2024-01-20,12742.96,12742.96,,,Paid,2000.0,,,,R002,Business Room,4.0,3185.74,Cash,C015,637.15,12105.81,8000.0,4742.959999999999
Expense20240120001,Financial Expenses,2024-01-20,2024-01-20,156.67,156.67,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240120001,Administrative Expenses,2024-01-20,2024-01-20,750.83,750.83,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240121070,Sale,2024-01-21,2024-01-21,768.63,768.63,,,Paid,150.0,,,,F001,Quick Meal Set,3.0,256.21,Cash,C001,38.43,730.2,450.0,318.63
Sale20240121071,Sale,2024-01-21,2024-01-21,6973.48,6973.48,,,Paid,2000.0,,,,R002,Business Room,2.0,3486.74,Cash,C017,348.67,6624.81,4000.0,2973.4799999999996
Expense20240121001,Administrative Expenses,2024-01-21,2024-01-21,151.61,151.61,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240122072,Sale,2024-01-22,2024-01-22,2848.2,2848.2,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,2.0,1424.1,Account Receviable,C008,142.41,2705.79,1760.0,1088.1999999999998
Sale20240122073,Sale,2024-01-22,2024-01-22,14061.84,14061.84,,,Unpaid,5000.0,,,,R003,Luxury Suite,2.0,7030.92,Account Receviable,C020,703.09,13358.75,10000.0,4061.84
Sale20240122074,Sale,2024-01-22,2024-01-22,2593.2,2593.2,,,Paid,880.0,,,,F003,Deluxe Meal Set,2.0,1296.6,Cash,C013,129.66,2463.54,1760.0,833.1999999999998
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,320.56,320.56,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,397.63,397.63,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240123076,Sale,2024-01-23,2024-01-23,3958.42,3958.42,,,Paid,1500.0,,,,R001,Standard Room,2.0,1979.21,Cash,C014,197.92,3760.5,3000.0,958.4200000000001
Sale20240123077,Sale,2024-01-23,2024-01-23,1244.65,1244.65,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,248.93,Cash,C004,62.23,1182.42,750.0,494.6500000000001
Expense20240123001,Sales Expenses,2024-01-23,2024-01-23,128.65,128.65,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240123001,Administrative Expenses,2024-01-23,2024-01-23,987.99,987.99,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240124079,Sale,2024-01-24,2024-01-24,210.02,210.02,,,Paid,150.0,,,,F001,Quick Meal Set,1.0,210.02,Cash,C011,10.5,199.52,150.0,60.02000000000001
Sale20240124080,Sale,2024-01-24,2024-01-24,1310.0,1310.0,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,262.0,Cash,C013,65.5,1244.5,750.0,560.0
Purchase20231231019,Purchase,2023-12-31,2023-12-31,400320.0,400320.0,Director,Supervisor,Unpaid,2880.0,Account Payable,S008,Supplier 8,F004,Banquet Set,139.0,2880.0,,,,,,
Purchase20231231020,Purchase,2023-12-31,2023-12-31,616320.0,616320.0,Director,Supervisor,Unpaid,2880.0,Account Payable,S010,Supplier 10,F004,Banquet Set,214.0,2880.0,,,,,,
Expense20240124001,Administrative Expenses,2024-01-24,2024-01-24,405.22,405.22,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240125081,Sale,2024-01-25,2024-01-25,3928.66,3928.66,,,Unpaid,2880.0,,,,F004,Banquet Set,1.0,3928.66,Account Receviable,C018,196.43,3732.23,2880.0,1048.6599999999999
Sale20240125082,Sale,2024-01-25,2024-01-25,2542.44,2542.44,,,Paid,1500.0,,,,R001,Standard Room,1.0,2542.44,Cash,C004,127.12,2415.32,1500.0,1042.44
Sale20240125083,Sale,2024-01-25,2024-01-25,997.55,997.55,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,199.51,Cash,C017,49.88,947.67,750.0,247.54999999999995
Expense20240125001,Administrative Expenses,2024-01-25,2024-01-25,463.68,463.68,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240125025,Interest Receivables,2024-01-25,2024-01-25,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240126084,Sale,2024-01-26,2024-01-26,6207.48,6207.48,,,Paid,2000.0,,,,R002,Business Room,2.0,3103.74,Cash,C009,310.37,5897.11,4000.0,2207.4799999999996
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,790.94,790.94,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,438.39,438.39,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240126026,Interest Receivables,2024-01-26,2024-01-26,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240127087,Sale,2024-01-27,2024-01-27,1066.15,1066.15,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,213.23,Cash,C015,53.31,1012.84,750.0,316.1500000000001
Sale20240127088,Sale,2024-01-27,2024-01-27,4265.04,4265.04,,,Paid,880.0,,,,F003,Deluxe Meal Set,3.0,1421.68,Cash,C014,213.25,4051.79,2640.0,1625.04
Expense20240127001,Financial Expenses,2024-01-27,2024-01-27,971.17,971.17,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240127027,Interest Receivables,2024-01-27,2024-01-27,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240128089,Sale,2024-01-28,2024-01-28,32806.8,32806.8,,,Paid,5000.0,,,,R003,Luxury Suite,4.0,8201.7,Cash,C020,1640.34,31166.46,20000.0,12806.800000000003
