id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Purchase20231231003,Purchase,2023-12-31,374400.0,Director,Senior Staff,Paid,Bank Transfer,2880.0,S009,Supplier 9,F004,Banquet Set,130.0,2880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 130.0 units at a unit price of $2880.00, totaling $374400.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Purchase20231231004,Purchase,2023-12-31,1340000.0,Director,Senior Staff,Paid,Cash,5000.0,S008,Supplier 8,R003,Luxury Suite,268.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 268.0 units at a unit price of $5000.00, totaling $1340000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Purchase20231231005,Purchase,2023-12-31,146080.0,Director,Senior Staff,Paid,Bank Transfer,880.0,S001,Supplier 1,F003,Deluxe Meal Set,166.0,880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 166.0 units at a unit price of $880.00, totaling $146080.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240102001,Sales Expenses,2024-01-02,818.23,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $818.23. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,328.37,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $328.37. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103004,Sale,2024-01-03,5047.73,,,Paid,,2880.0,,,F004,Banquet Set,1.0,5047.73,Cash,C008,252.39,4795.34,2880.0,2167.73,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $5047.73, totaling $5047.73. The cost amount for this transaction was $2880.00, with a tax amount of $252.39, leading to a total amount due of $4795.34. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240103005,Sale,2024-01-03,4128.39,,,Paid,,880.0,,,F003,Deluxe Meal Set,3.0,1376.13,Cash,C020,206.42,3921.97,2640.0,1488.39,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $1376.13, totaling $4128.39. The cost amount for this transaction was $2640.00, with a tax amount of $206.42, leading to a total amount due of $3921.97. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231006,Purchase,2023-12-31,444000.0,Director,Supervisor,Paid,Cash,2000.0,S008,Supplier 8,R002,Business Room,222.0,2000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 222.0 units at a unit price of $2000.00, totaling $444000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240103001,Sales Expenses,2024-01-03,476.79,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $476.79. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,328.37,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $328.37. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104007,Sale,2024-01-04,6981.15,,,Unpaid,,880.0,,,F003,Deluxe Meal Set,5.0,1396.23,Account Receviable,C011,349.06,6632.09,4400.0,2581.15,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $1396.23, totaling $6981.15. The cost amount for this transaction was $4400.00, with a tax amount of $349.06, leading to a total amount due of $6632.09. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231007,Purchase,2023-12-31,154500.0,Director,Senior Staff,Paid,Bank Transfer,1500.0,S001,Supplier 1,R001,Standard Room,103.0,1500.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 103.0 units at a unit price of $1500.00, totaling $154500.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Purchase20231231008,Purchase,2023-12-31,21150.0,Director,Senior Staff,Unpaid,Account Payable,150.0,S002,Supplier 2,F001,Quick Meal Set,141.0,150.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 141.0 units at a unit price of $150.00, totaling $21150.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240104001,Sales Expenses,2024-01-04,744.35,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $744.35. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,314.62,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $314.62. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105009,Sale,2024-01-05,813.28,,,Paid,,150.0,,,F001,Quick Meal Set,4.0,203.32,Cash,C007,40.66,772.62,600.0,213.28,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $203.32, totaling $813.28. The cost amount for this transaction was $600.00, with a tax amount of $40.66, leading to a total amount due of $772.62. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105010,Sale,2024-01-05,13672.71,,,Paid,,2880.0,,,F004,Banquet Set,3.0,4557.57,Cash,C017,683.64,12989.07,8640.0,5032.71,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $4557.57, totaling $13672.71. The cost amount for this transaction was $8640.00, with a tax amount of $683.64, leading to a total amount due of $12989.07. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105011,Sale,2024-01-05,21936.45,,,Unpaid,,2880.0,,,F004,Banquet Set,5.0,4387.29,Account Receviable,C002,1096.82,20839.63,14400.0,7536.45,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $4387.29, totaling $21936.45. The cost amount for this transaction was $14400.00, with a tax amount of $1096.82, leading to a total amount due of $20839.63. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231009,Purchase,2023-12-31,34350.0,Director,Senior Staff,Paid,Cash,150.0,S003,Supplier 3,F001,Quick Meal Set,229.0,150.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 229.0 units at a unit price of $150.00, totaling $34350.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Purchase20231231010,Purchase,2023-12-31,256080.0,Director,Supervisor,Unpaid,Account Payable,880.0,S007,Supplier 7,F003,Deluxe Meal Set,291.0,880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 291.0 units at a unit price of $880.00, totaling $256080.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240105001,Administrative Expenses,2024-01-05,477.24,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $477.24. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240105001,Administrative Expenses,2024-01-05,301.69,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $301.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,314.62,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $314.62. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106012,Sale,2024-01-06,10076.58,,,Paid,,2000.0,,,R002,Business Room,3.0,3358.86,Cash,C003,503.83,9572.75,6000.0,4076.58,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $3358.86, totaling $10076.58. The cost amount for this transaction was $6000.00, with a tax amount of $503.83, leading to a total amount due of $9572.75. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240106013,Sale,2024-01-06,8138.91,,,Unpaid,,2000.0,,,R002,Business Room,3.0,2712.97,Account Receviable,C016,406.95,7731.96,6000.0,2138.91,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $2712.97, totaling $8138.91. The cost amount for this transaction was $6000.00, with a tax amount of $406.95, leading to a total amount due of $7731.96. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231011,Purchase,2023-12-31,21000.0,Director,Supervisor,Paid,Bank Transfer,150.0,S005,Supplier 5,F001,Quick Meal Set,140.0,150.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 140.0 units at a unit price of $150.00, totaling $21000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Purchase20231231012,Purchase,2023-12-31,95920.0,Director,Senior Staff,Paid,Bank Transfer,880.0,S008,Supplier 8,F003,Deluxe Meal Set,109.0,880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 109.0 units at a unit price of $880.00, totaling $95920.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Purchase20231231013,Purchase,2023-12-31,409500.0,Director,Supervisor,Paid,Cash,1500.0,S004,Supplier 4,R001,Standard Room,273.0,1500.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 273.0 units at a unit price of $1500.00, totaling $409500.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240106001,Financial Expenses,2024-01-06,341.86,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Financial Expenses, totaling $341.86. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240106001,Sales Expenses,2024-01-06,733.63,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $733.63. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,304.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $304.21. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107015,Sale,2024-01-07,3387.93,,,Unpaid,,2000.0,,,R002,Business Room,1.0,3387.93,Account Receviable,C005,169.4,3218.53,2000.0,1387.93,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $3387.93, totaling $3387.93. The cost amount for this transaction was $2000.00, with a tax amount of $169.40, leading to a total amount due of $3218.53. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240107016,Sale,2024-01-07,24104.8,,,Paid,,2880.0,,,F004,Banquet Set,5.0,4820.96,Cash,C008,1205.24,22899.56,14400.0,9704.8,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $4820.96, totaling $24104.80. The cost amount for this transaction was $14400.00, with a tax amount of $1205.24, leading to a total amount due of $22899.56. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240107001,Administrative Expenses,2024-01-07,895.72,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $895.72. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240107001,Financial Expenses,2024-01-07,160.75,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Financial Expenses, totaling $160.75. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,304.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $304.21. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108017,Sale,2024-01-08,467.92,,,Paid,,150.0,,,F001,Quick Meal Set,2.0,233.96,Cash,C006,23.4,444.52,300.0,167.92,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $233.96, totaling $467.92. The cost amount for this transaction was $300.00, with a tax amount of $23.40, leading to a total amount due of $444.52. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240108018,Sale,2024-01-08,7126.65,,,Unpaid,,880.0,,,F003,Deluxe Meal Set,5.0,1425.33,Account Receviable,C019,356.33,6770.32,4400.0,2726.65,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $1425.33, totaling $7126.65. The cost amount for this transaction was $4400.00, with a tax amount of $356.33, leading to a total amount due of $6770.32. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,251793.02,,,Paid,Bank Transfer,,S009,Supplier 9,,,,,,,,,,,Kitchen Equipment4,Kitchen Equipment,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $251793.02. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S009, and the supplier name is Supplier 9.",
Purchase20231231014,Purchase,2023-12-31,432000.0,Director,Supervisor,Paid,Bank Transfer,2000.0,S009,Supplier 9,R002,Business Room,216.0,2000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 216.0 units at a unit price of $2000.00, totaling $432000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240108001,Administrative Expenses,2024-01-08,939.72,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $939.72. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240108001,Administrative Expenses,2024-01-08,770.84,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $770.84. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,243.35,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $243.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109019,Sale,2024-01-09,44953.65,,,Paid,,5000.0,,,R003,Luxury Suite,5.0,8990.73,Cash,C011,2247.68,42705.97,25000.0,19953.65,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $8990.73, totaling $44953.65. The cost amount for this transaction was $25000.00, with a tax amount of $2247.68, leading to a total amount due of $42705.97. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240109020,Depreciation,2024-01-28,15441.65,,,Unpaid,,2000.0,,,R002,Business Room,5.0,3088.33,Account Receviable,C009,772.08,14669.57,10000.0,5441.65,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $3088.33, totaling $15441.65. The cost amount for this transaction was $10000.00, with a tax amount of $772.08, leading to a total amount due of $14669.57. The receive_method of this transaction was account receviable, and this transaction was unpaid.","[{'Original date': '2024-01-09', 'Recorded date': '2024-01-28', 'id': 'Sale20240109020'}, {'Original category': 'Sale', 'Recorded category': 'Depreciation', 'id': 'Sale20240109020'}]"
Expense20240109001,Administrative Expenses,2024-01-09,733.73,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $733.73. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,243.35,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $243.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110021,Sale,2024-01-10,8771.97,,,Unpaid,,5000.0,,,R003,Luxury Suite,1.0,8771.97,Account Receviable,C003,438.6,8333.37,5000.0,3771.97,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $8771.97, totaling $8771.97. The cost amount for this transaction was $5000.00, with a tax amount of $438.60, leading to a total amount due of $8333.37. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240110022,Sale,2024-01-10,7879.98,,,Unpaid,,2880.0,,,F004,Banquet Set,2.0,3939.99,Account Receviable,C009,394.0,7485.98,5760.0,2119.98,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $3939.99, totaling $7879.98. The cost amount for this transaction was $5760.00, with a tax amount of $394.00, leading to a total amount due of $7485.98. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240110023,Sale,2024-01-10,4543.16,,,Paid,,2880.0,,,F004,Banquet Set,1.0,4543.16,Cash,C009,227.16,4316.0,2880.0,1663.16,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $4543.16, totaling $4543.16. The cost amount for this transaction was $2880.00, with a tax amount of $227.16, leading to a total amount due of $4316.00. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240110024,Sale,2024-01-10,3588.93,,,Unpaid,,880.0,,,F003,Deluxe Meal Set,3.0,1196.31,Account Receviable,C016,179.45,3409.48,2640.0,948.93,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $1196.31, totaling $3588.93. The cost amount for this transaction was $2640.00, with a tax amount of $179.45, leading to a total amount due of $3409.48. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231015,Purchase,2023-12-31,39900.0,Director,Senior Staff,Unpaid,Account Payable,350.0,S005,Supplier 5,F002,Business Meal Set,114.0,350.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 114.0 units at a unit price of $350.00, totaling $39900.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240110001,Administrative Expenses,2024-01-10,276.95,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $276.95. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240110001,Administrative Expenses,2024-01-10,766.66,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $766.66. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,243.35,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $243.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111025,Sale,2024-01-11,4063.94,,,Unpaid,,2880.0,,,F004,Banquet Set,1.0,4063.94,Account Receviable,C008,203.2,3860.74,2880.0,1183.94,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $4063.94, totaling $4063.94. The cost amount for this transaction was $2880.00, with a tax amount of $203.20, leading to a total amount due of $3860.74. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240111026,Sale,2024-01-11,1018.24,,,Paid,,150.0,,,F001,Quick Meal Set,4.0,254.56,Cash,C013,50.91,967.33,600.0,418.24,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $254.56, totaling $1018.24. The cost amount for this transaction was $600.00, with a tax amount of $50.91, leading to a total amount due of $967.33. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111027,Sale,2024-01-11,7962.66,,,Unpaid,,5000.0,,,R003,Luxury Suite,1.0,7962.66,Account Receviable,C007,398.13,7564.53,5000.0,2962.66,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $7962.66, totaling $7962.66. The cost amount for this transaction was $5000.00, with a tax amount of $398.13, leading to a total amount due of $7564.53. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240111028,Sale,2024-01-11,1216.8,,,Unpaid,,150.0,,,F001,Quick Meal Set,5.0,243.36,Account Receviable,C012,60.84,1155.96,750.0,466.8,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $243.36, totaling $1216.80. The cost amount for this transaction was $750.00, with a tax amount of $60.84, leading to a total amount due of $1155.96. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231016,Purchase,2023-12-31,46550.0,Director,Senior Staff,Unpaid,Account Payable,350.0,S002,Supplier 2,F002,Business Meal Set,133.0,350.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 133.0 units at a unit price of $350.00, totaling $46550.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240111001,Sales Expenses,2024-01-11,351.34,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Sales Expenses, totaling $351.34. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,243.35,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $243.35. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112030,Sale,2024-01-12,4388.4,,,Paid,,2880.0,,,F004,Banquet Set,1.0,4388.4,Cash,C018,219.42,4168.98,2880.0,1508.4,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $4388.40, totaling $4388.40. The cost amount for this transaction was $2880.00, with a tax amount of $219.42, leading to a total amount due of $4168.98. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240112031,Sale,2024-01-12,1523.79,,,Paid,,350.0,,,F002,Business Meal Set,3.0,507.93,Cash,C015,76.19,1447.6,1050.0,473.79,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $507.93, totaling $1523.79. The cost amount for this transaction was $1050.00, with a tax amount of $76.19, leading to a total amount due of $1447.60. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240112032,Sale,2024-01-12,3149.66,,,Paid,,880.0,,,F003,Deluxe Meal Set,2.0,1574.83,Cash,C018,157.48,2992.18,1760.0,1389.66,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $1574.83, totaling $3149.66. The cost amount for this transaction was $1760.00, with a tax amount of $157.48, leading to a total amount due of $2992.18. The receive_method of this transaction was cash, and this transaction was paid.",
