id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Expense20240102001,Administrative Expenses,2024-01-02,18522.55,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $18522.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240102001,Sales Expenses,2024-01-02,13305.95,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $13305.95. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,418.3,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103004,Sale,2024-01-03,287021.71,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,287021.71,Account Receviable,C002,14351.09,272670.62,100000.0,187021.71,"On January 03, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $287021.71, totaling $287021.71. The cost amount for this transaction was $100000.00, with a tax amount of $14351.09, leading to a total amount due of $272670.62. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240103001,Sales Expenses,2024-01-03,11861.78,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $11861.78. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,418.3,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231002,Purchase,2023-12-31,2000.0,Director,Supervisor,Paid,Bank Transfer,1000.0,S008,Supplier 8,S001,Basic Consulting,2.0,1000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1000.00, totaling $2000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240104001,Administrative Expenses,2024-01-04,7550.68,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $7550.68. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,418.12,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $418.12. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231003,Purchase,2023-12-31,300000.0,Director,Staff,Paid,Cash,100000.0,S001,Supplier 1,S004,Enterprise Solution,3.0,100000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $100000.00, totaling $300000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240105001,Financial Expenses,2024-01-05,7928.54,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Financial Expenses, totaling $7928.54. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,418.12,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $418.12. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106006,Sale,2024-01-06,180661.23,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,180661.23,Account Receviable,C005,9033.06,171628.17,100000.0,80661.23,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $180661.23, totaling $180661.23. The cost amount for this transaction was $100000.00, with a tax amount of $9033.06, leading to a total amount due of $171628.17. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231004,Purchase,2023-12-31,1000.0,Director,Supervisor,Paid,Bank Transfer,1000.0,S007,Supplier 7,S001,Basic Consulting,1.0,1000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1000.00, totaling $1000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Purchase20231231005,Purchase,2023-12-31,200000.0,Director,Supervisor,Paid,Cash,100000.0,S007,Supplier 7,S004,Enterprise Solution,2.0,100000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $100000.00, totaling $200000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240106001,Sales Expenses,2024-01-06,13930.48,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $13930.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240106001,Administrative Expenses,2024-01-06,17921.98,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $17921.98. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107008,Sale,2024-01-07,2041.74,,,Unpaid,,1000.0,,,S001,Basic Consulting,1.0,2041.74,Account Receviable,C020,102.09,1939.65,1000.0,1041.74,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2041.74, totaling $2041.74. The cost amount for this transaction was $1000.00, with a tax amount of $102.09, leading to a total amount due of $1939.65. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240107001,Sales Expenses,2024-01-07,12925.57,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Sales Expenses, totaling $12925.57. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108010,Sale,2024-01-08,285922.71,,,Paid,,100000.0,,,S004,Enterprise Solution,1.0,285922.71,Cash,C019,14296.14,271626.57,100000.0,185922.71,"On January 08, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $285922.71, totaling $285922.71. The cost amount for this transaction was $100000.00, with a tax amount of $14296.14, leading to a total amount due of $271626.57. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240108001,Sales Expenses,2024-01-08,8666.24,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Sales Expenses, totaling $8666.24. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240108001,Administrative Expenses,2024-01-08,16893.65,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $16893.65. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240109001,Administrative Expenses,2024-01-09,9840.4,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $9840.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110012,Sale,2024-01-10,1925.47,,,Unpaid,,1000.0,,,S001,Basic Consulting,1.0,1925.47,Account Receviable,C017,96.27,1829.2,1000.0,925.47,"On January 10, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1925.47, totaling $1925.47. The cost amount for this transaction was $1000.00, with a tax amount of $96.27, leading to a total amount due of $1829.20. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240110013,Sale,2024-01-10,295859.81,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,295859.81,Account Receviable,C012,14792.99,281066.82,100000.0,195859.81,"On January 10, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $295859.81, totaling $295859.81. The cost amount for this transaction was $100000.00, with a tax amount of $14792.99, leading to a total amount due of $281066.82. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240110001,Financial Expenses,2024-01-10,9001.74,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Financial Expenses, totaling $9001.74. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240110001,Sales Expenses,2024-01-10,14246.91,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $14246.91. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111015,Sale,2024-01-11,2212.39,,,Unpaid,,1000.0,,,S001,Basic Consulting,1.0,2212.39,Account Receviable,C001,110.62,2101.77,1000.0,1212.39,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2212.39, totaling $2212.39. The cost amount for this transaction was $1000.00, with a tax amount of $110.62, leading to a total amount due of $2101.77. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240111016,Sale,2024-01-11,277286.94,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,277286.94,Account Receviable,C010,13864.35,263422.59,100000.0,177286.94,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $277286.94, totaling $277286.94. The cost amount for this transaction was $100000.00, with a tax amount of $13864.35, leading to a total amount due of $263422.59. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240111017,Sale,2024-01-11,193204.06,,,Paid,,100000.0,,,S004,Enterprise Solution,1.0,193204.06,Cash,C007,9660.2,183543.86,100000.0,93204.06,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $193204.06, totaling $193204.06. The cost amount for this transaction was $100000.00, with a tax amount of $9660.20, leading to a total amount due of $183543.86. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231006,Purchase,2023-12-31,5000.0,Director,Supervisor,Unpaid,Account Payable,5000.0,S007,Supplier 7,S002,Standard Consulting,1.0,5000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $5000.00, totaling $5000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240111001,Financial Expenses,2024-01-11,7754.91,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Financial Expenses, totaling $7754.91. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112018,Sale,2024-01-12,13759.13,,,Unpaid,,5000.0,,,S002,Standard Consulting,1.0,13759.13,Account Receviable,C002,687.96,13071.17,5000.0,8759.13,"On January 12, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $13759.13, totaling $13759.13. The cost amount for this transaction was $5000.00, with a tax amount of $687.96, leading to a total amount due of $13071.17. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240112001,Sales Expenses,2024-01-12,16705.92,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Sales Expenses, totaling $16705.92. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240113001,Sales Expenses,2024-01-13,19270.58,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Sales Expenses, totaling $19270.58. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240113001,Sales Expenses,2024-01-13,3803.96,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Sales Expenses, totaling $3803.96. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240113013,Interest Receivables,2024-01-13,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 13, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240114001,Administrative Expenses,2024-01-14,16654.12,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Administrative Expenses, totaling $16654.12. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240114001,Administrative Expenses,2024-01-14,4461.27,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Administrative Expenses, totaling $4461.27. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240114014,Interest Receivables,2024-01-14,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 14, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240115001,Sales Expenses,2024-01-15,19701.69,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Sales Expenses, totaling $19701.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240115001,Sales Expenses,2024-01-15,13134.95,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Sales Expenses, totaling $13134.95. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240115015,Interest Receivables,2024-01-15,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 15, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240116001,Sales Expenses,2024-01-16,13669.93,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $13669.93. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240116016,Interest Receivables,2024-01-16,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 16, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240117001,Sales Expenses,2024-01-17,10766.33,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Sales Expenses, totaling $10766.33. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240117001,Administrative Expenses,2024-01-17,12390.55,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Administrative Expenses, totaling $12390.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240117017,Interest Receivables,2024-01-17,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 17, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240118001,Administrative Expenses,2024-01-18,17013.85,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Administrative Expenses, totaling $17013.85. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240118001,Sales Expenses,2024-01-18,5600.05,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Sales Expenses, totaling $5600.05. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240118018,Interest Receivables,2024-01-18,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 18, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240119001,Sales Expenses,2024-01-19,8771.29,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Sales Expenses, totaling $8771.29. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240119001,Administrative Expenses,2024-01-19,18333.0,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Administrative Expenses, totaling $18333.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240119019,Interest Receivables,2024-01-19,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 19, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240120001,Sales Expenses,2024-01-20,10538.58,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Sales Expenses, totaling $10538.58. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240120001,Sales Expenses,2024-01-20,17948.72,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Sales Expenses, totaling $17948.72. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240120020,Interest Receivables,2024-01-20,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 20, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240121001,Administrative Expenses,2024-01-21,17959.24,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Administrative Expenses, totaling $17959.24. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240121001,Sales Expenses,2024-01-21,11989.77,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Sales Expenses, totaling $11989.77. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240121021,Interest Receivables,2024-01-21,418.03,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 21, 2024, an invoice was issued for a Interest Receivables, totaling $418.03. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231007,Purchase,2023-12-31,3000.0,Director,Supervisor,Paid,Bank Transfer,1000.0,S007,Supplier 7,S001,Basic Consulting,3.0,1000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $1000.00, totaling $3000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240122001,Financial Expenses,2024-01-22,3133.97,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Financial Expenses, totaling $3133.97. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240122022,Interest Receivables,2024-01-22,417.77,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 22, 2024, an invoice was issued for a Interest Receivables, totaling $417.77. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240123031,Sale,2024-01-23,2384.14,,,Unpaid,,1000.0,,,S001,Basic Consulting,1.0,2384.14,Account Receviable,C013,119.21,2264.93,1000.0,1384.14,"On January 23, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2384.14, totaling $2384.14. The cost amount for this transaction was $1000.00, with a tax amount of $119.21, leading to a total amount due of $2264.93. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231008,Purchase,2023-12-31,2000.0,Director,Supervisor,Unpaid,Account Payable,1000.0,S001,Supplier 1,S001,Basic Consulting,2.0,1000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1000.00, totaling $2000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240123001,Administrative Expenses,2024-01-23,2784.18,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Administrative Expenses, totaling $2784.18. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240123001,Administrative Expenses,2024-01-23,13728.52,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Administrative Expenses, totaling $13728.52. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240123023,Interest Receivables,2024-01-23,417.77,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 23, 2024, an invoice was issued for a Interest Receivables, totaling $417.77. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240124001,Administrative Expenses,2024-01-24,19421.61,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Administrative Expenses, totaling $19421.61. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240124001,Sales Expenses,2024-01-24,8398.64,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Sales Expenses, totaling $8398.64. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240124024,Interest Receivables,2024-01-24,417.77,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 24, 2024, an invoice was issued for a Interest Receivables, totaling $417.77. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231009,Purchase,2023-12-31,200000.0,Director,Staff,Unpaid,Account Payable,100000.0,S006,Supplier 6,S004,Enterprise Solution,2.0,100000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $100000.00, totaling $200000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240125001,Sales Expenses,2024-01-25,5737.39,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 25, 2024, an invoice was issued for a Sales Expenses, totaling $5737.39. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
