id,recorded_type,recorded_date,recorded_amount,recorded_cost_per_unit,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Purchase20231231003,Purchase,2023-12-31,342000.0,2000.0,Director,Senior Staff,Unpaid,Account Payable,S007,Supplier 7,R002,Business Room,171.0,2000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 171.0 units at a unit price of $2000.00, totaling $342000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240102001,Administrative Expenses,2024-01-02,132.03,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $132.03. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240102001,Administrative Expenses,2024-01-02,333.21,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $333.21. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103004,Sale,2024-01-03,16144.34,5000.0,,,Paid,,,,R003,Luxury Suite,2.0,8072.17,Cash,C004,807.22,15337.12,10000.0,6144.34,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $8072.17, totaling $16144.34. The cost amount for this transaction was $10000.00, with a tax amount of $807.22, leading to a total amount due of $15337.12. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240103005,Sale,2024-01-03,3018.9,350.0,,,Unpaid,,,,F002,Business Meal Set,5.0,603.78,Account Receviable,C019,150.95,2867.95,1750.0,1268.9,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $603.78, totaling $3018.90. The cost amount for this transaction was $1750.00, with a tax amount of $150.95, leading to a total amount due of $2867.95. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240103006,Sale,2024-01-03,14371.2,2000.0,,,Paid,,,,R002,Business Room,5.0,2874.24,Cash,C016,718.56,13652.64,10000.0,4371.2,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $2874.24, totaling $14371.20. The cost amount for this transaction was $10000.00, with a tax amount of $718.56, leading to a total amount due of $13652.64. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231004,Purchase,2023-12-31,43350.0,150.0,Director,Staff,Paid,Cash,S008,Supplier 8,F001,Quick Meal Set,289.0,150.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 289.0 units at a unit price of $150.00, totaling $43350.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240103001,Sales Expenses,2024-01-03,708.75,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $708.75. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104008,Sale,2024-01-04,683.73,150.0,,,Unpaid,,,,F001,Quick Meal Set,3.0,227.91,Account Receviable,C010,34.19,649.54,450.0,233.73,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $227.91, totaling $683.73. The cost amount for this transaction was $450.00, with a tax amount of $34.19, leading to a total amount due of $649.54. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240104009,Sale,2024-01-04,37810.3,5000.0,,,Paid,,,,R003,Luxury Suite,5.0,7562.06,Cash,C015,1890.52,35919.78,25000.0,12810.3,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $7562.06, totaling $37810.30. The cost amount for this transaction was $25000.00, with a tax amount of $1890.52, leading to a total amount due of $35919.78. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231005,Purchase,2023-12-31,1480000.0,5000.0,Director,Senior Staff,Paid,Bank Transfer,S010,Supplier 10,R003,Luxury Suite,296.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 296.0 units at a unit price of $5000.00, totaling $1480000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240104001,Sales Expenses,2024-01-04,503.53,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $503.53. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,313.28,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $313.28. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105011,Sale,2024-01-05,1087.3,350.0,,,Paid,,,,F002,Business Meal Set,2.0,543.65,Cash,C020,54.37,1032.93,700.0,387.3,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $543.65, totaling $1087.30. The cost amount for this transaction was $700.00, with a tax amount of $54.37, leading to a total amount due of $1032.93. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105012,Sale,2024-01-05,927.9,350.0,,,Paid,,,,F002,Business Meal Set,2.0,463.95,Cash,C017,46.4,881.5,700.0,227.9,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $463.95, totaling $927.90. The cost amount for this transaction was $700.00, with a tax amount of $46.40, leading to a total amount due of $881.50. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105013,Sale,2024-01-05,15443.84,5000.0,,,Paid,,,,R003,Luxury Suite,2.0,7721.92,Cash,C001,772.19,14671.65,10000.0,5443.84,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $7721.92, totaling $15443.84. The cost amount for this transaction was $10000.00, with a tax amount of $772.19, leading to a total amount due of $14671.65. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105014,Sale,2024-01-05,3548.65,2000.0,,,Paid,,,,R002,Business Room,1.0,3548.65,Cash,C013,177.43,3371.22,2000.0,1548.65,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $3548.65, totaling $3548.65. The cost amount for this transaction was $2000.00, with a tax amount of $177.43, leading to a total amount due of $3371.22. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231006,Purchase,2023-12-31,406000.0,2000.0,Director,Senior Staff,Unpaid,Account Payable,S009,Supplier 9,R002,Business Room,203.0,2000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 203.0 units at a unit price of $2000.00, totaling $406000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Purchase20231231007,Purchase,2023-12-31,137280.0,880.0,Director,Staff,Unpaid,Account Payable,S007,Supplier 7,F003,Deluxe Meal Set,156.0,880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 156.0 units at a unit price of $880.00, totaling $137280.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Purchase20231231008,Purchase,2023-12-31,1310000.0,5000.0,Director,Staff,Paid,Cash,S006,Supplier 6,R003,Luxury Suite,262.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 262.0 units at a unit price of $5000.00, totaling $1310000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240105001,Sales Expenses,2024-01-05,641.39,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Sales Expenses, totaling $641.39. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240105001,Sales Expenses,2024-01-05,414.88,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Sales Expenses, totaling $414.88. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,313.28,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $313.28. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106017,Sale,2024-01-06,10935.12,2000.0,,,Unpaid,,,,R002,Business Room,4.0,2733.78,Account Receviable,C013,546.76,10388.36,8000.0,2935.12,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $2733.78, totaling $10935.12. The cost amount for this transaction was $8000.00, with a tax amount of $546.76, leading to a total amount due of $10388.36. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240106018,Sale,2024-01-06,5160.92,880.0,,,Unpaid,,,,F003,Deluxe Meal Set,4.0,1290.23,Account Receviable,C004,258.05,4902.87,3520.0,1640.92,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $1290.23, totaling $5160.92. The cost amount for this transaction was $3520.00, with a tax amount of $258.05, leading to a total amount due of $4902.87. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240106019,Sale,2024-01-06,8127.57,2000.0,,,Paid,,,,R002,Business Room,3.0,2709.19,Cash,C004,406.38,7721.19,6000.0,2127.57,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $2709.19, totaling $8127.57. The cost amount for this transaction was $6000.00, with a tax amount of $406.38, leading to a total amount due of $7721.19. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240106020,Sale,2024-01-06,988.44,150.0,,,Paid,,,,F001,Quick Meal Set,4.0,247.11,Cash,C020,49.42,939.02,600.0,388.44,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $247.11, totaling $988.44. The cost amount for this transaction was $600.00, with a tax amount of $49.42, leading to a total amount due of $939.02. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231009,Purchase,2023-12-31,763200.0,2880.0,Director,Supervisor,Paid,Bank Transfer,S002,Supplier 2,F004,Banquet Set,265.0,2880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 265.0 units at a unit price of $2880.00, totaling $763200.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231010,Purchase,2023-12-31,315000.0,1500.0,Director,Senior Staff,Paid,Cash,S002,Supplier 2,R001,Standard Room,210.0,1500.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 210.0 units at a unit price of $1500.00, totaling $315000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240106001,Sales Expenses,2024-01-06,812.48,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $812.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,245.36,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $245.36. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107022,Sale,2024-01-07,1264.83,880.0,,,Paid,,,,F003,Deluxe Meal Set,1.0,1264.83,Cash,C015,63.24,1201.59,880.0,384.83,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1264.83, totaling $1264.83. The cost amount for this transaction was $880.00, with a tax amount of $63.24, leading to a total amount due of $1201.59. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240107023,Sale,2024-01-07,1918.0,350.0,,,Unpaid,,,,F002,Business Meal Set,4.0,479.5,Account Receviable,C005,95.9,1822.1,1400.0,518.0,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $479.50, totaling $1918.00. The cost amount for this transaction was $1400.00, with a tax amount of $95.90, leading to a total amount due of $1822.10. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240107024,Sale,2024-01-07,3501.72,2000.0,,,Unpaid,,,,R002,Business Room,1.0,3501.72,Account Receviable,C011,175.09,3326.63,2000.0,1501.72,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $3501.72, totaling $3501.72. The cost amount for this transaction was $2000.00, with a tax amount of $175.09, leading to a total amount due of $3326.63. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231011,Purchase,2023-12-31,36450.0,150.0,Director,Staff,Paid,Cash,S002,Supplier 2,F001,Quick Meal Set,243.0,150.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 243.0 units at a unit price of $150.00, totaling $36450.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231012,Purchase,2023-12-31,288000.0,2000.0,Director,Staff,Unpaid,Account Payable,S005,Supplier 5,R002,Business Room,144.0,2000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 144.0 units at a unit price of $2000.00, totaling $288000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240107001,Administrative Expenses,2024-01-07,898.52,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $898.52. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,245.36,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $245.36. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108025,Sale,2024-01-08,10708.95,1500.0,,,Unpaid,,,,R001,Standard Room,5.0,2141.79,Account Receviable,C007,535.45,10173.5,7500.0,3208.95,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $2141.79, totaling $10708.95. The cost amount for this transaction was $7500.00, with a tax amount of $535.45, leading to a total amount due of $10173.50. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240108026,Sale,2024-01-08,2625.24,880.0,,,Paid,,,,F003,Deluxe Meal Set,2.0,1312.62,Cash,C020,131.26,2493.98,1760.0,865.24,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $1312.62, totaling $2625.24. The cost amount for this transaction was $1760.00, with a tax amount of $131.26, leading to a total amount due of $2493.98. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231013,Purchase,2023-12-31,103600.0,350.0,Director,Supervisor,Unpaid,Account Payable,S004,Supplier 4,F002,Business Meal Set,296.0,350.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 296.0 units at a unit price of $350.00, totaling $103600.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Purchase20231231014,Purchase,2023-12-31,339000.0,1500.0,Director,Supervisor,Paid,Bank Transfer,S003,Supplier 3,R001,Standard Room,226.0,1500.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 226.0 units at a unit price of $1500.00, totaling $339000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240108001,Administrative Expenses,2024-01-08,670.0,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $670.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240108001,Financial Expenses,2024-01-08,616.2,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Financial Expenses, totaling $616.20. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,215.18,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $215.18. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109027,Sale,2024-01-09,35032.25,5000.0,,,Paid,,,,R003,Luxury Suite,5.0,7006.45,Cash,C015,1751.61,33280.64,25000.0,10032.25,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $7006.45, totaling $35032.25. The cost amount for this transaction was $25000.00, with a tax amount of $1751.61, leading to a total amount due of $33280.64. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240109028,Sale,2024-01-09,4914.89,2880.0,,,Paid,,,,F004,Banquet Set,1.0,4914.89,Cash,C020,245.74,4669.15,2880.0,2034.89,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $4914.89, totaling $4914.89. The cost amount for this transaction was $2880.00, with a tax amount of $245.74, leading to a total amount due of $4669.15. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240109001,Financial Expenses,2024-01-09,102.09,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Financial Expenses, totaling $102.09. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240109001,Sales Expenses,2024-01-09,811.71,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $811.71. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,215.18,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $215.18. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110030,Sale,2024-01-10,1129.2,150.0,,,Unpaid,,,,F001,Quick Meal Set,5.0,225.84,Account Receviable,C011,56.46,1072.74,750.0,379.2,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $225.84, totaling $1129.20. The cost amount for this transaction was $750.00, with a tax amount of $56.46, leading to a total amount due of $1072.74. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231015,Purchase,2023-12-31,132880.0,880.0,Director,Supervisor,Unpaid,Account Payable,S006,Supplier 6,F003,Deluxe Meal Set,151.0,880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 151.0 units at a unit price of $880.00, totaling $132880.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240110001,Sales Expenses,2024-01-10,678.18,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $678.18. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,215.18,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $215.18. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111032,Sale,2024-01-11,1856.55,350.0,,,Paid,,,,F002,Business Meal Set,3.0,618.85,Cash,C009,92.83,1763.72,1050.0,806.55,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $618.85, totaling $1856.55. The cost amount for this transaction was $1050.00, with a tax amount of $92.83, leading to a total amount due of $1763.72. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111033,Sale,2024-01-11,4267.44,1500.0,,,Paid,,,,R001,Standard Room,2.0,2133.72,Cash,C020,213.37,4054.07,3000.0,1267.44,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $2133.72, totaling $4267.44. The cost amount for this transaction was $3000.00, with a tax amount of $213.37, leading to a total amount due of $4054.07. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111034,Sale,2024-01-11,32593.6,5000.0,,,Unpaid,,,,R003,Luxury Suite,4.0,8148.4,Account Receviable,C008,1629.68,30963.92,20000.0,12593.6,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $8148.40, totaling $32593.60. The cost amount for this transaction was $20000.00, with a tax amount of $1629.68, leading to a total amount due of $30963.92. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240111035,Sale,2024-01-11,452.06,150.0,,,Paid,,,,F001,Quick Meal Set,2.0,226.03,Cash,C009,22.6,429.46,300.0,152.06,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $226.03, totaling $452.06. The cost amount for this transaction was $300.00, with a tax amount of $22.60, leading to a total amount due of $429.46. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231016,Purchase,2023-12-31,665280.0,2880.0,Director,Staff,Unpaid,Account Payable,S004,Supplier 4,F004,Banquet Set,231.0,2880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 231.0 units at a unit price of $2880.00, totaling $665280.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240111001,Administrative Expenses,2024-01-11,213.72,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $213.72. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,215.18,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $215.18. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112036,Sale,2024-01-12,26381.4,5000.0,,,Unpaid,,,,R003,Luxury Suite,3.0,8793.8,Account Receviable,C018,1319.07,25062.33,15000.0,11381.4,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $8793.80, totaling $26381.40. The cost amount for this transaction was $15000.00, with a tax amount of $1319.07, leading to a total amount due of $25062.33. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240112037,Sale,2024-01-12,7065.28,5000.0,,,Paid,,,,R003,Luxury Suite,1.0,7065.28,Cash,C013,353.26,6712.02,5000.0,2065.28,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $7065.28, totaling $7065.28. The cost amount for this transaction was $5000.00, with a tax amount of $353.26, leading to a total amount due of $6712.02. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240112038,Sale,2024-01-12,10064.8,1500.0,,,Unpaid,,,,R001,Standard Room,4.0,2516.2,Account Receviable,C012,503.24,9561.56,6000.0,4064.8,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $2516.20, totaling $10064.80. The cost amount for this transaction was $6000.00, with a tax amount of $503.24, leading to a total amount due of $9561.56. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
