id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_cost_per_unit,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Purchase20231231003,Purchase,2023-12-31,19050.0,Director,Supervisor,Paid,150.0,Cash,S006,Supplier 6,F001,Quick Meal Set,127.0,150.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 127.0 units at a unit price of $150.00, totaling $19050.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240102001,Administrative Expenses,2024-01-02,148.6,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $148.60. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103003,Sale,2024-01-03,1246.5,,,Unpaid,150.0,,,,F001,Quick Meal Set,5.0,249.3,Account Receviable,C017,62.33,1184.17,750.0,496.5,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $249.30, totaling $1246.50. The cost amount for this transaction was $750.00, with a tax amount of $62.33, leading to a total amount due of $1184.17. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240103004,Sale,2024-01-03,16869.4,,,Paid,2880.0,,,,F004,Banquet Set,4.0,4217.35,Cash,C018,843.47,16025.93,11520.0,5349.4,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $4217.35, totaling $16869.40. The cost amount for this transaction was $11520.00, with a tax amount of $843.47, leading to a total amount due of $16025.93. The receive_method of this transaction was cash, and this transaction was paid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,455144.64,,,Paid,,Bank Transfer,S002,Supplier 2,,,,,,,,,,,Elevator System4,Elevator System,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $455144.64. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231004,Purchase,2023-12-31,639360.0,Director,Supervisor,Paid,2880.0,Cash,S009,Supplier 9,F004,Banquet Set,222.0,2880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 222.0 units at a unit price of $2880.00, totaling $639360.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Purchase20231231005,Purchase,2023-12-31,44850.0,Director,Supervisor,Unpaid,150.0,Account Payable,S004,Supplier 4,F001,Quick Meal Set,299.0,150.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 299.0 units at a unit price of $150.00, totaling $44850.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Purchase20231231006,Purchase,2023-12-31,605000.0,Director,Supervisor,Unpaid,5000.0,Account Payable,S002,Supplier 2,R003,Luxury Suite,121.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 121.0 units at a unit price of $5000.00, totaling $605000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240103001,Sales Expenses,2024-01-03,745.04,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $745.04. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,404.49,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $404.49. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104006,Sale,2024-01-04,26735.56,,,Paid,5000.0,,,,R003,Luxury Suite,4.0,6683.89,Cash,C015,1336.78,25398.78,20000.0,6735.56,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $6683.89, totaling $26735.56. The cost amount for this transaction was $20000.00, with a tax amount of $1336.78, leading to a total amount due of $25398.78. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240104007,Sale,2024-01-04,20210.64,,,Unpaid,2880.0,,,,F004,Banquet Set,4.0,5052.66,Account Receviable,C011,1010.53,19200.11,11520.0,8690.64,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $5052.66, totaling $20210.64. The cost amount for this transaction was $11520.00, with a tax amount of $1010.53, leading to a total amount due of $19200.11. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240104008,Sale,2024-01-04,636.75,,,Paid,150.0,,,,F001,Quick Meal Set,3.0,212.25,Cash,C005,31.84,604.91,450.0,186.75,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $212.25, totaling $636.75. The cost amount for this transaction was $450.00, with a tax amount of $31.84, leading to a total amount due of $604.91. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231007,Purchase,2023-12-31,75250.0,Director,Supervisor,Unpaid,350.0,Account Payable,S002,Supplier 2,F002,Business Meal Set,215.0,350.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 215.0 units at a unit price of $350.00, totaling $75250.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231008,Purchase,2023-12-31,460800.0,Director,Senior Staff,Paid,2880.0,Cash,S010,Supplier 10,F004,Banquet Set,160.0,2880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 160.0 units at a unit price of $2880.00, totaling $460800.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240104001,Administrative Expenses,2024-01-04,466.05,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $466.05. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240104001,Sales Expenses,2024-01-04,276.48,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $276.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,404.49,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $404.49. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105010,Sale,2024-01-05,5153.67,,,Unpaid,2880.0,,,,F004,Banquet Set,1.0,5153.67,Account Receviable,C003,257.68,4895.99,2880.0,2273.67,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $5153.67, totaling $5153.67. The cost amount for this transaction was $2880.00, with a tax amount of $257.68, leading to a total amount due of $4895.99. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240105011,Sale,2024-01-05,673.17,,,Paid,150.0,,,,F001,Quick Meal Set,3.0,224.39,Cash,C001,33.66,639.51,450.0,223.17,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $224.39, totaling $673.17. The cost amount for this transaction was $450.00, with a tax amount of $33.66, leading to a total amount due of $639.51. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105012,Sale,2024-01-05,808.6,,,Paid,150.0,,,,F001,Quick Meal Set,4.0,202.15,Cash,C010,40.43,768.17,600.0,208.6,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $202.15, totaling $808.60. The cost amount for this transaction was $600.00, with a tax amount of $40.43, leading to a total amount due of $768.17. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105013,Sale,2024-01-05,19761.63,,,Paid,5000.0,,,,R003,Luxury Suite,3.0,6587.21,Cash,C017,988.08,18773.55,15000.0,4761.63,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $6587.21, totaling $19761.63. The cost amount for this transaction was $15000.00, with a tax amount of $988.08, leading to a total amount due of $18773.55. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231009,Purchase,2023-12-31,181280.0,Director,Supervisor,Paid,880.0,Bank Transfer,S006,Supplier 6,F003,Deluxe Meal Set,206.0,880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 206.0 units at a unit price of $880.00, totaling $181280.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Purchase20231231010,Purchase,2023-12-31,448000.0,Director,Supervisor,Paid,2000.0,Bank Transfer,S002,Supplier 2,R002,Business Room,224.0,2000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 224.0 units at a unit price of $2000.00, totaling $448000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240105001,Administrative Expenses,2024-01-05,970.96,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $970.96. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,348.49,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $348.49. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106014,Sale,2024-01-06,7591.67,,,Paid,5000.0,,,,R003,Luxury Suite,1.0,7591.67,Cash,C018,379.58,7212.09,5000.0,2591.67,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $7591.67, totaling $7591.67. The cost amount for this transaction was $5000.00, with a tax amount of $379.58, leading to a total amount due of $7212.09. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231011,Purchase,2023-12-31,88550.0,Director,Supervisor,Paid,350.0,Cash,S007,Supplier 7,F002,Business Meal Set,253.0,350.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 253.0 units at a unit price of $350.00, totaling $88550.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Purchase20231231012,Purchase,2023-12-31,100800.0,Director,Senior Staff,Unpaid,350.0,Account Payable,S002,Supplier 2,F002,Business Meal Set,288.0,350.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 288.0 units at a unit price of $350.00, totaling $100800.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240106001,Sales Expenses,2024-01-06,921.96,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $921.96. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240106001,Administrative Expenses,2024-01-06,480.42,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $480.42. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,348.49,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $348.49. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107016,Sale,2024-01-07,1289.7,,,Paid,880.0,,,,F003,Deluxe Meal Set,1.0,1289.7,Cash,C009,64.48,1225.22,880.0,409.7,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1289.70, totaling $1289.70. The cost amount for this transaction was $880.00, with a tax amount of $64.48, leading to a total amount due of $1225.22. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240107017,Sale,2024-01-07,6421.96,,,Paid,2000.0,,,,R002,Business Room,2.0,3210.98,Cash,C009,321.1,6100.86,4000.0,2421.96,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $3210.98, totaling $6421.96. The cost amount for this transaction was $4000.00, with a tax amount of $321.10, leading to a total amount due of $6100.86. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240107018,Sale,2024-01-07,8753.02,,,Paid,5000.0,,,,R003,Luxury Suite,1.0,8753.02,Cash,C015,437.65,8315.37,5000.0,3753.02,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $8753.02, totaling $8753.02. The cost amount for this transaction was $5000.00, with a tax amount of $437.65, leading to a total amount due of $8315.37. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240107019,Sale,2024-01-07,446.66,,,Unpaid,150.0,,,,F001,Quick Meal Set,2.0,223.33,Account Receviable,C003,22.33,424.33,300.0,146.66,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $223.33, totaling $446.66. The cost amount for this transaction was $300.00, with a tax amount of $22.33, leading to a total amount due of $424.33. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231013,Purchase,2023-12-31,596000.0,Director,Supervisor,Unpaid,2000.0,Account Payable,S002,Supplier 2,R002,Business Room,298.0,2000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 298.0 units at a unit price of $2000.00, totaling $596000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240107001,Administrative Expenses,2024-01-07,361.62,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $361.62. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240107001,Administrative Expenses,2024-01-07,599.97,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $599.97. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,348.49,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $348.49. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108020,Sale,2024-01-08,21036.39,,,Unpaid,5000.0,,,,R003,Luxury Suite,3.0,7012.13,Account Receviable,C020,1051.82,19984.57,15000.0,6036.39,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $7012.13, totaling $21036.39. The cost amount for this transaction was $15000.00, with a tax amount of $1051.82, leading to a total amount due of $19984.57. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240108021,Sale,2024-01-08,2392.6,,,Paid,350.0,,,,F002,Business Meal Set,5.0,478.52,Cash,C015,119.63,2272.97,1750.0,642.6,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $478.52, totaling $2392.60. The cost amount for this transaction was $1750.00, with a tax amount of $119.63, leading to a total amount due of $2272.97. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240108022,Sale,2024-01-08,851.2,,,Unpaid,150.0,,,,F001,Quick Meal Set,4.0,212.8,Account Receviable,C003,42.56,808.64,600.0,251.2,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $212.80, totaling $851.20. The cost amount for this transaction was $600.00, with a tax amount of $42.56, leading to a total amount due of $808.64. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240108001,Administrative Expenses,2024-01-08,618.7,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $618.70. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,348.49,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $348.49. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109023,Sale,2024-01-09,990.36,,,Unpaid,350.0,,,,F002,Business Meal Set,2.0,495.18,Account Receviable,C015,49.52,940.84,700.0,290.36,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $495.18, totaling $990.36. The cost amount for this transaction was $700.00, with a tax amount of $49.52, leading to a total amount due of $940.84. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240109024,Sale,2024-01-09,3419.42,,,Unpaid,2000.0,,,,R002,Business Room,1.0,3419.42,Account Receviable,C001,170.97,3248.45,2000.0,1419.42,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $3419.42, totaling $3419.42. The cost amount for this transaction was $2000.00, with a tax amount of $170.97, leading to a total amount due of $3248.45. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240109025,Sale,2024-01-09,1709.52,,,Paid,350.0,,,,F002,Business Meal Set,3.0,569.84,Cash,C020,85.48,1624.04,1050.0,659.52,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $569.84, totaling $1709.52. The cost amount for this transaction was $1050.00, with a tax amount of $85.48, leading to a total amount due of $1624.04. The receive_method of this transaction was cash, and this transaction was paid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,374964.45,,,Paid,,Bank Transfer,S005,Supplier 5,,,,,,,,,,,Kitchen Equipment5,Kitchen Equipment,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $374964.45. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S005, and the supplier name is Supplier 5.",
Purchase20231231014,Purchase,2023-12-31,396000.0,Director,Supervisor,Paid,1500.0,Bank Transfer,S007,Supplier 7,R001,Standard Room,264.0,1500.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 264.0 units at a unit price of $1500.00, totaling $396000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240109001,Administrative Expenses,2024-01-09,571.42,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $571.42. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,279.87,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $279.87. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110026,Sale,2024-01-10,35902.8,,,Paid,5000.0,,,,R003,Luxury Suite,5.0,7180.56,Cash,C014,1795.14,34107.66,25000.0,10902.8,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $7180.56, totaling $35902.80. The cost amount for this transaction was $25000.00, with a tax amount of $1795.14, leading to a total amount due of $34107.66. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240110027,Sale,2024-01-10,13432.88,,,Paid,2000.0,,,,R002,Business Room,4.0,3358.22,Cash,C007,671.64,12761.24,8000.0,5432.88,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $3358.22, totaling $13432.88. The cost amount for this transaction was $8000.00, with a tax amount of $671.64, leading to a total amount due of $12761.24. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240110028,Sale,2024-01-10,1855.11,,,Unpaid,350.0,,,,F002,Business Meal Set,3.0,618.37,Account Receviable,C013,92.76,1762.35,1050.0,805.11,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $618.37, totaling $1855.11. The cost amount for this transaction was $1050.00, with a tax amount of $92.76, leading to a total amount due of $1762.35. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240110029,Sale,2024-01-10,19698.4,,,Unpaid,2880.0,,,,F004,Banquet Set,5.0,3939.68,Account Receviable,C012,984.92,18713.48,14400.0,5298.4,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $3939.68, totaling $19698.40. The cost amount for this transaction was $14400.00, with a tax amount of $984.92, leading to a total amount due of $18713.48. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240110001,Administrative Expenses,2024-01-10,828.87,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $828.87. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,279.87,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $279.87. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111030,Sale,2024-01-11,986.38,,,Unpaid,350.0,,,,F002,Business Meal Set,2.0,493.19,Account Receviable,C009,49.32,937.06,700.0,286.38,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $493.19, totaling $986.38. The cost amount for this transaction was $700.00, with a tax amount of $49.32, leading to a total amount due of $937.06. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240111031,Sale,2024-01-11,4260.3,,,Paid,880.0,,,,F003,Deluxe Meal Set,3.0,1420.1,Cash,C005,213.02,4047.28,2640.0,1620.3,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $1420.10, totaling $4260.30. The cost amount for this transaction was $2640.00, with a tax amount of $213.02, leading to a total amount due of $4047.28. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111032,Sale,2024-01-11,15247.2,,,Paid,2880.0,,,,F004,Banquet Set,3.0,5082.4,Cash,C018,762.36,14484.84,8640.0,6607.2,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $5082.40, totaling $15247.20. The cost amount for this transaction was $8640.00, with a tax amount of $762.36, leading to a total amount due of $14484.84. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240111001,Sales Expenses,2024-01-11,974.45,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Sales Expenses, totaling $974.45. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240111001,Administrative Expenses,2024-01-11,784.65,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $784.65. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,279.87,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $279.87. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112034,Sale,2024-01-12,251.9,,,Paid,150.0,,,,F001,Quick Meal Set,1.0,251.9,Cash,C009,12.6,239.3,150.0,101.9,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $251.90, totaling $251.90. The cost amount for this transaction was $150.00, with a tax amount of $12.60, leading to a total amount due of $239.30. The receive_method of this transaction was cash, and this transaction was paid.",
