id,type,date,recorded_date,amount,recorded_amount,cost_per_unit,approver,preparer,payment/receipt_status,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Sale20240117015,Sale,2024-01-17,2024-01-17,1147555.96,1147555.96,800000.0,,,Paid,,,,P002,Heavy Equipment B,1.0,1147555.96,Cash,C015,57377.8,1090178.16,800000.0,347555.95999999996,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,1600000.0,1600000.0,800000.0,Director,Supervisor,Paid,Cash,S010,Supplier 10,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,
Expense20240117001,Administrative Expenses,2024-01-17,2024-01-17,39116.77,39116.77,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,569.6,569.6,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240118016,Sale,2024-01-18,2024-01-18,2156466.82,2156466.82,1500000.0,,,Unpaid,,,,P004,Heavy Equipment D,1.0,2156466.82,Account Receviable,C014,107823.34,2048643.48,1500000.0,656466.8199999998,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,500000.0,Director,Staff,Paid,Cash,S003,Supplier 3,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,
Expense20240118001,Administrative Expenses,2024-01-18,2024-01-18,85094.8,85094.8,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,77436.59,77436.59,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,569.6,569.6,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240119018,Sale,2024-01-19,2024-01-19,668808.14,668808.14,500000.0,,,Unpaid,,,,P001,Heavy Equipment A,1.0,668808.14,Account Receviable,C015,33440.41,635367.73,500000.0,168808.14,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,1500000.0,1500000.0,1500000.0,Director,Supervisor,Paid,Cash,S010,Supplier 10,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,
Transfer20240119001,Bank to cash transfer,2024-01-19,2024-01-19,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,63998.62,63998.62,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240119001,Administrative Expenses,2024-01-19,2024-01-19,78029.68,78029.68,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,480.59999999999997,480.59999999999997,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240120001,Administrative Expenses,2024-01-20,2024-01-20,87806.28,87806.28,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,480.59999999999997,480.59999999999997,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240121020,Sale,2024-01-21,2024-01-21,664435.83,664435.83,500000.0,,,Paid,,,,P001,Heavy Equipment A,1.0,664435.83,Cash,C014,33221.79,631214.04,500000.0,164435.82999999996,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,1262568.05,1262568.05,,,,Paid,Bank Transfer,S003,Supplier 3,,,,,,,,,,,Heavy Machinery4,Heavy Machinery
Expense20240121001,Sales Expenses,2024-01-21,2024-01-21,73276.35,73276.35,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,368.23144355,368.23144355,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,87718.66,87718.66,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,55688.08,55688.08,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,368.23144355,368.23144355,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,1408259.42,1408259.42,,,,Paid,Bank Transfer,S001,Supplier 1,,,,,,,,,,,Industrial Facilities5,Industrial Facilities
Expense20240123001,Administrative Expenses,2024-01-23,2024-01-23,24806.74,24806.74,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240123001,Administrative Expenses,2024-01-23,2024-01-23,64609.83,64609.83,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,242.89635517000002,242.89635517000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Purchase20231231011,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,500000.0,Director,Supervisor,Paid,Cash,S005,Supplier 5,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,
Expense20240124001,Administrative Expenses,2024-01-24,2024-01-24,61908.14,61908.14,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,242.89635517000002,242.89635517000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240125022,Sale,2024-01-25,2024-01-25,674830.39,674830.39,500000.0,,,Unpaid,,,,P001,Heavy Equipment A,1.0,674830.39,Account Receviable,C017,33741.52,641088.87,500000.0,174830.39,,
Expense20240125001,Sales Expenses,2024-01-25,2024-01-25,54057.7,54057.7,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240125025,Interest Receivables,2024-01-25,2024-01-25,242.89635517000002,242.89635517000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Purchase20231231012,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,500000.0,Director,Supervisor,Paid,Bank Transfer,S009,Supplier 9,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,
Expense20240126001,Financial Expenses,2024-01-26,2024-01-26,58288.72,58288.72,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,22649.15,22649.15,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240126026,Interest Receivables,2024-01-26,2024-01-26,153.89635517000002,153.89635517000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240127001,Sales Expenses,2024-01-27,2024-01-27,12511.13,12511.13,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240127027,Interest Receivables,2024-01-27,2024-01-27,153.89635517000002,153.89635517000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240128026,Sale,2024-01-28,2024-01-28,707188.94,707188.94,500000.0,,,Unpaid,,,,P001,Heavy Equipment A,1.0,707188.94,Account Receviable,C017,35359.45,671829.49,500000.0,207188.93999999994,,
Expense20240128001,Financial Expenses,2024-01-28,2024-01-28,92015.1,92015.1,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240128028,Interest Receivables,2024-01-28,2024-01-28,153.89635517000002,153.89635517000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240129001,Administrative Expenses,2024-01-29,2024-01-29,15519.56,15519.56,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240129029,Interest Receivables,2024-01-29,2024-01-29,153.89635517000002,153.89635517000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240130027,Sale,2024-01-30,2024-01-30,2091831.76,2091831.76,1500000.0,,,Paid,,,,P004,Heavy Equipment D,1.0,2091831.76,Cash,C001,104591.59,1987240.17,1500000.0,591831.76,,
Purchase20231231013,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,1500000.0,Director,Staff,Paid,Cash,S006,Supplier 6,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,
Transfer20240130001,Bank to cash transfer,2024-01-30,2024-01-30,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240130001,Sales Expenses,2024-01-30,2024-01-30,34241.97,34241.97,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Transfer20240130001,Cash to bank transfer,2024-01-30,2024-01-30,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240130001,Financial Expenses,2024-01-30,2024-01-30,69087.29,69087.29,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240130030,Interest Receivables,2024-01-30,2024-01-30,153.89635517000002,153.89635517000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240131029,Sale,2024-01-31,2024-01-31,1417458.33,1417458.33,1000000.0,,,Unpaid,,,,P003,Heavy Equipment C,1.0,1417458.33,Account Receviable,C014,70872.92,1346585.41,1000000.0,417458.3300000001,,
Transfer20240131001,Bank to cash transfer,2024-01-31,2024-01-31,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Transfer20240131001,Cash to bank transfer,2024-01-31,2024-01-31,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Transfer20240131001,Bank to cash transfer,2024-01-31,2024-01-31,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240131001,Sales Expenses,2024-01-31,2024-01-31,79626.05,79626.05,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240131031,Interest Receivables,2024-01-31,2024-01-31,64.89635517000002,64.89635517000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240201031,Sale,2024-02-01,2024-02-01,1999604.61,1999604.61,1500000.0,,,Unpaid,,,,P004,Heavy Equipment D,1.0,1999604.61,Account Receviable,C005,99980.23,1899624.38,1500000.0,499604.6100000001,,
Transfer20240201001,Cash to bank transfer,2024-02-01,2024-02-01,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Transfer20240201001,Bank to cash transfer,2024-02-01,2024-02-01,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240201001,Administrative Expenses,2024-02-01,2024-02-01,29567.17,29567.17,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Transfer20240201001,Cash to bank transfer,2024-02-01,2024-02-01,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240201001,Sales Expenses,2024-02-01,2024-02-01,54401.69,54401.69,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Transfer20240201001,Bank to cash transfer,2024-02-01,2024-02-01,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Depreciation20240201002,Depreciation,2024-02-01,2024-02-01,81887.42000000001,81887.42000000001,,,,,,,,,,,,,,,,,,,
Interest20240201032,Interest Receivables,2024-02-01,2024-02-01,64.89635517000002,64.89635517000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Transfer20240202001,Cash to bank transfer,2024-02-02,2024-02-02,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Transfer20240202001,Bank to cash transfer,2024-02-02,2024-02-02,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240202001,Sales Expenses,2024-02-02,2024-02-02,32829.36,32829.36,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Transfer20240202001,Cash to bank transfer,2024-02-02,2024-02-02,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240202001,Administrative Expenses,2024-02-02,2024-02-02,91158.78,91158.78,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240202033,Interest Receivables,2024-02-02,2024-02-02,145.78322375000002,145.78322375000002,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240203034,Sale,2024-02-03,2024-02-03,2028402.09,2028402.09,1500000.0,,,Unpaid,,,,P004,Heavy Equipment D,1.0,2028402.09,Account Receviable,C011,101420.1,1926981.99,1500000.0,528402.0900000001,,
Transfer20240203001,Bank to cash transfer,2024-02-03,2024-02-03,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Transfer20240203001,Cash to bank transfer,2024-02-03,2024-02-03,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Transfer20240203001,Bank to cash transfer,2024-02-03,2024-02-03,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240203001,Sales Expenses,2024-02-03,2024-02-03,41600.41,41600.41,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Transfer20240203001,Cash to bank transfer,2024-02-03,2024-02-03,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240203001,Sales Expenses,2024-02-03,2024-02-03,98291.18,98291.18,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240203034,Interest Receivables,2024-02-03,2024-02-03,137.03530873000003,137.03530873000003,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240204037,Sale,2024-02-04,2024-02-04,1056960.17,1056960.17,800000.0,,,Unpaid,,,,P002,Heavy Equipment B,1.0,1056960.17,Account Receviable,C008,52848.01,1004112.16,800000.0,256960.16999999993,,
Transfer20240204001,Bank to cash transfer,2024-02-04,2024-02-04,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231014,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,1500000.0,Director,Supervisor,Paid,Cash,S005,Supplier 5,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,
Expense20240204001,Sales Expenses,2024-02-04,2024-02-04,16499.17,16499.17,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240204001,Administrative Expenses,2024-02-04,2024-02-04,22133.18,22133.18,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240204035,Interest Receivables,2024-02-04,2024-02-04,44.597029580000026,44.597029580000026,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240205001,Sales Expenses,2024-02-05,2024-02-05,48059.69,48059.69,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240205001,Sales Expenses,2024-02-05,2024-02-05,67892.84,67892.84,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240205036,Interest Receivables,2024-02-05,2024-02-05,34.277254410000026,34.277254410000026,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
