id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,asset_name,asset_type,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Sale20240103001,Sale,2024-01-03,1411983.38,,,Unpaid,,1000000.0,,,P003,Heavy Equipment C,1.0,1411983.38,Account Receviable,,,C018,70599.17,1341384.21,1000000.0,411983.38,"On January 03, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1411983.38, totaling $1411983.38. The cost amount for this transaction was $1000000.00, with a tax amount of $70599.17, leading to a total amount due of $1341384.21. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231003,Purchase,2023-12-31,1000000.0,Director,Senior Staff,Paid,Bank Transfer,1000000.0,S005,Supplier 5,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1000000.00, totaling $1000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240103001,Administrative Expenses,2024-01-03,33781.67,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $33781.67. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240103001,Administrative Expenses,2024-01-03,32999.84,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $32999.84. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,1089.49,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $1089.49. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231004,Purchase,2023-12-31,1500000.0,Director,Senior Staff,Paid,Cash,1500000.0,S006,Supplier 6,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1500000.00, totaling $1500000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240104001,Sales Expenses,2024-01-04,76455.38,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $76455.38. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,1089.49,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $1089.49. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231005,Purchase,2023-12-31,3000000.0,Director,Senior Staff,Paid,Cash,1500000.0,S010,Supplier 10,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1500000.00, totaling $3000000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Transfer20240105001,Bank to cash transfer,2024-01-05,1000000.0,,,,,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Bank to cash transfer, totaling $1000000.00.",
Purchase20231231006,Purchase,2023-12-31,1600000.0,Director,Senior Staff,Paid,Bank Transfer,800000.0,S004,Supplier 4,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $800000.00, totaling $1600000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240105001,Sales Expenses,2024-01-05,19956.1,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Sales Expenses, totaling $19956.10. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,858.09,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $858.09. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106004,Sale,2024-01-06,1180660.04,,,Unpaid,,800000.0,,,P002,Heavy Equipment B,1.0,1180660.04,Account Receviable,,,C013,59033.0,1121627.04,800000.0,380660.04,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1180660.04, totaling $1180660.04. The cost amount for this transaction was $800000.00, with a tax amount of $59033.00, leading to a total amount due of $1121627.04. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240106001,Sales Expenses,2024-01-06,66794.44,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $66794.44. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,858.09,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $858.09. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107006,Sale,2024-01-07,2183357.44,,,Unpaid,,1500000.0,,,P004,Heavy Equipment D,1.0,2183357.44,Account Receviable,,,C008,109167.87,2074189.57,1500000.0,683357.44,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2183357.44, totaling $2183357.44. The cost amount for this transaction was $1500000.00, with a tax amount of $109167.87, leading to a total amount due of $2074189.57. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240107001,Administrative Expenses,2024-01-07,88987.43,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $88987.43. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240107001,Administrative Expenses,2024-01-07,41863.27,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $41863.27. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,858.09,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $858.09. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231007,Purchase,2023-12-31,800000.0,Director,Senior Staff,Paid,Bank Transfer,800000.0,S008,Supplier 8,P002,Heavy Equipment B,1.0,800000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $800000.00, totaling $800000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240108001,Administrative Expenses,2024-01-08,10564.48,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $10564.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Transfer20240108001,Bank to cash transfer,2024-01-08,1000000.0,,,,,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Bank to cash transfer, totaling $1000000.00.",
Expense20240108001,Administrative Expenses,2024-01-08,76852.11,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $76852.11. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,697.89,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $697.89. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109007,Sale,2024-01-09,1081640.66,,,Unpaid,,800000.0,,,P002,Heavy Equipment B,1.0,1081640.66,Account Receviable,,,C004,54082.03,1027558.63,800000.0,281640.66,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1081640.66, totaling $1081640.66. The cost amount for this transaction was $800000.00, with a tax amount of $54082.03, leading to a total amount due of $1027558.63. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240109001,Administrative Expenses,2024-01-09,79898.85,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $79898.85. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240109001,Sales Expenses,2024-01-09,70987.96,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $70987.96. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,697.89,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $697.89. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110009,Sale,2024-01-10,1064438.17,,,Paid,,800000.0,,,P002,Heavy Equipment B,1.0,1064438.17,Cash,,,C005,53221.91,1011216.26,800000.0,264438.17,"On January 10, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1064438.17, totaling $1064438.17. The cost amount for this transaction was $800000.00, with a tax amount of $53221.91, leading to a total amount due of $1011216.26. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231008,Purchase,2023-12-31,1000000.0,Director,Senior Staff,Unpaid,Account Payable,500000.0,S008,Supplier 8,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $500000.00, totaling $1000000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240110001,Administrative Expenses,2024-01-10,33141.79,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $33141.79. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240110001,Financial Expenses,2024-01-10,60049.63,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Financial Expenses, totaling $60049.63. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,697.89,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $697.89. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240111001,Sales Expenses,2024-01-11,51086.01,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Sales Expenses, totaling $51086.01. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240111001,Financial Expenses,2024-01-11,52391.74,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Financial Expenses, totaling $52391.74. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,697.89,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $697.89. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240112001,Administrative Expenses,2024-01-12,90795.92,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $90795.92. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240112001,Financial Expenses,2024-01-12,69569.7,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Financial Expenses, totaling $69569.70. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,697.89,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $697.89. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240113011,Sale,2024-01-13,2197737.08,,,Paid,,1500000.0,,,P004,Heavy Equipment D,1.0,2197737.08,Cash,,,C015,109886.85,2087850.23,1500000.0,697737.08,"On January 13, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2197737.08, totaling $2197737.08. The cost amount for this transaction was $1500000.00, with a tax amount of $109886.85, leading to a total amount due of $2087850.23. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231009,Purchase,2023-12-31,1600000.0,Director,Senior Staff,Paid,Bank Transfer,800000.0,S001,Supplier 1,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $800000.00, totaling $1600000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240113001,Sales Expenses,2024-01-13,41117.4,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Sales Expenses, totaling $41117.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240113001,Sales Expenses,2024-01-13,68725.4,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Sales Expenses, totaling $68725.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240113013,Interest Receivables,2024-01-13,555.49,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 13, 2024, an invoice was issued for a Interest Receivables, totaling $555.49. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231010,Purchase,2023-12-31,1500000.0,Director,Senior Staff,Paid,Bank Transfer,1500000.0,S001,Supplier 1,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1500000.00, totaling $1500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240114001,Administrative Expenses,2024-01-14,19703.65,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Administrative Expenses, totaling $19703.65. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240114014,Interest Receivables,2024-01-14,421.99,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 14, 2024, an invoice was issued for a Interest Receivables, totaling $421.99. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,1721500.92,,,Paid,Bank Transfer,,S009,Supplier 9,,,,,,Industrial Facilities5,Industrial Facilities,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $1721500.92. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240115001,Sales Expenses,2024-01-15,34107.04,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Sales Expenses, totaling $34107.04. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240115001,Administrative Expenses,2024-01-15,79293.14,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Administrative Expenses, totaling $79293.14. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240115015,Interest Receivables,2024-01-15,268.78,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 15, 2024, an invoice was issued for a Interest Receivables, totaling $268.78. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240116001,Administrative Expenses,2024-01-16,89732.07,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Administrative Expenses, totaling $89732.07. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240116001,Sales Expenses,2024-01-16,99827.65,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $99827.65. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240116016,Interest Receivables,2024-01-16,268.78,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 16, 2024, an invoice was issued for a Interest Receivables, totaling $268.78. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240117016,Sale,2024-01-17,720191.63,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,720191.63,Cash,,,C010,36009.58,684182.05,500000.0,220191.63,"On January 17, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $720191.63, totaling $720191.63. The cost amount for this transaction was $500000.00, with a tax amount of $36009.58, leading to a total amount due of $684182.05. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231011,Purchase,2023-12-31,500000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S006,Supplier 6,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $500000.00, totaling $500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240117001,Administrative Expenses,2024-01-17,39891.05,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Administrative Expenses, totaling $39891.05. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240117017,Interest Receivables,2024-01-17,224.28,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 17, 2024, an invoice was issued for a Interest Receivables, totaling $224.28. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240118017,Sale,2024-01-18,1106030.68,,,Paid,,800000.0,,,P002,Heavy Equipment B,1.0,1106030.68,Cash,,,C013,55301.53,1050729.15,800000.0,306030.68,"On January 18, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1106030.68, totaling $1106030.68. The cost amount for this transaction was $800000.00, with a tax amount of $55301.53, leading to a total amount due of $1050729.15. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240118001,Sales Expenses,2024-01-18,16630.45,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Sales Expenses, totaling $16630.45. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240118018,Interest Receivables,2024-01-18,224.28,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 18, 2024, an invoice was issued for a Interest Receivables, totaling $224.28. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240119019,Sale,2024-01-19,2068407.48,,,Paid,,1500000.0,,,P004,Heavy Equipment D,1.0,2068407.48,Cash,,,C003,103420.37,1964987.11,1500000.0,568407.48,"On January 19, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2068407.48, totaling $2068407.48. The cost amount for this transaction was $1500000.00, with a tax amount of $103420.37, leading to a total amount due of $1964987.11. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240119001,Administrative Expenses,2024-01-19,72945.61,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Administrative Expenses, totaling $72945.61. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240119001,Administrative Expenses,2024-01-19,67136.76,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Administrative Expenses, totaling $67136.76. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240119019,Interest Receivables,2024-01-19,224.28,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 19, 2024, an invoice was issued for a Interest Receivables, totaling $224.28. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240120020,Sale,2024-01-20,721719.53,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,721719.53,Cash,,,C012,36085.98,685633.55,500000.0,221719.53,"On January 20, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $721719.53, totaling $721719.53. The cost amount for this transaction was $500000.00, with a tax amount of $36085.98, leading to a total amount due of $685633.55. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231012,Purchase,2023-12-31,1600000.0,Director,Senior Staff,Unpaid,Account Payable,800000.0,S004,Supplier 4,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $800000.00, totaling $1600000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240120001,Sales Expenses,2024-01-20,35294.97,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Sales Expenses, totaling $35294.97. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240120001,Administrative Expenses,2024-01-20,87087.28,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Administrative Expenses, totaling $87087.28. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240120020,Interest Receivables,2024-01-20,224.28,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 20, 2024, an invoice was issued for a Interest Receivables, totaling $224.28. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240121022,Sale,2024-01-21,2170939.2,,,Unpaid,,1500000.0,,,P004,Heavy Equipment D,1.0,2170939.2,Account Receviable,,,C004,108546.96,2062392.24,1500000.0,670939.2,"On January 21, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2170939.20, totaling $2170939.20. The cost amount for this transaction was $1500000.00, with a tax amount of $108546.96, leading to a total amount due of $2062392.24. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231013,Purchase,2023-12-31,500000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S009,Supplier 9,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $500000.00, totaling $500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
