id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,asset_name,asset_type,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,697.89406871,697.89406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240113011,Sale,2024-01-13,2024-01-13,2197737.08,2197737.08,,,Paid,,1500000.0,,,P004,Heavy Equipment D,1.0,2197737.08,Cash,,,C015,109886.85,2087850.23,1500000.0,697737.0800000001
Purchase20231231009,Purchase,2023-12-31,2023-12-31,1600000.0,1600000.0,Director,Senior Staff,Paid,Bank Transfer,800000.0,S001,Supplier 1,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,41117.4,41117.4,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,68725.4,68725.4,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,555.49406871,555.49406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,1500000.0,1500000.0,Director,Senior Staff,Paid,Bank Transfer,1500000.0,S001,Supplier 1,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,19703.65,19703.65,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,421.99406871,421.99406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,1721500.92,1721500.92,,,Paid,Bank Transfer,,S009,Supplier 9,,,,,,Industrial Facilities5,Industrial Facilities,,,,,
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,34107.04,34107.04,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,79293.14,79293.14,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,268.78048683000003,268.78048683000003,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240116001,Administrative Expenses,2024-01-16,2024-01-16,89732.07,89732.07,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,99827.65,99827.65,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,268.78048683000003,268.78048683000003,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240117016,Sale,2024-01-17,2024-01-17,720191.63,720191.63,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,720191.63,Cash,,,C010,36009.58,684182.05,500000.0,220191.63
Purchase20231231011,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S006,Supplier 6,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,
Expense20240117001,Administrative Expenses,2024-01-17,2024-01-17,39891.05,39891.05,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,224.28048683000006,224.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240118017,Sale,2024-01-18,2024-01-18,1106030.68,1106030.68,,,Paid,,800000.0,,,P002,Heavy Equipment B,1.0,1106030.68,Cash,,,C013,55301.53,1050729.15,800000.0,306030.67999999993
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,16630.45,16630.45,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,224.28048683000006,224.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240119019,Sale,2024-01-19,2024-01-19,2068407.48,2068407.48,,,Paid,,1500000.0,,,P004,Heavy Equipment D,1.0,2068407.48,Cash,,,C003,103420.37,1964987.11,1500000.0,568407.48
Expense20240119001,Administrative Expenses,2024-01-19,2024-01-19,72945.61,72945.61,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240119001,Administrative Expenses,2024-01-19,2024-01-19,67136.76,67136.76,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,224.28048683000006,224.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240120020,Sale,2024-01-20,2024-01-20,721719.53,721719.53,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,721719.53,Cash,,,C012,36085.98,685633.55,500000.0,221719.53000000003
Purchase20231231012,Purchase,2023-12-31,2023-12-31,1600000.0,1600000.0,Director,Senior Staff,Unpaid,Account Payable,800000.0,S004,Supplier 4,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,35294.97,35294.97,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240120001,Administrative Expenses,2024-01-20,2024-01-20,87087.28,87087.28,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,224.28048683000006,224.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240121022,Sale,2024-01-21,2024-01-21,2170939.2,2170939.2,,,Unpaid,,1500000.0,,,P004,Heavy Equipment D,1.0,2170939.2,Account Receviable,,,C004,108546.96,2062392.24,1500000.0,670939.2000000002
Purchase20231231013,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S009,Supplier 9,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,
Purchase20231231014,Purchase,2023-12-31,2023-12-31,1500000.0,1500000.0,Director,Senior Staff,Paid,Bank Transfer,1500000.0,S004,Supplier 4,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,
Transfer20240121001,Cash to bank transfer,2024-01-21,2024-01-21,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240121001,Sales Expenses,2024-01-21,2024-01-21,69032.68,69032.68,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,135.28048683000006,135.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,23299.79,23299.79,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,135.28048683000006,135.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240123001,Administrative Expenses,2024-01-23,2024-01-23,78951.08,78951.08,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240123001,Administrative Expenses,2024-01-23,2024-01-23,39097.33,39097.33,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,135.28048683000006,135.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240124024,Sale,2024-01-24,2024-01-24,1455453.32,1455453.32,,,Paid,,1000000.0,,,P003,Heavy Equipment C,1.0,1455453.32,Cash,,,C003,72772.67,1382680.65,1000000.0,455453.32000000007
Purchase20231231015,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,Director,Senior Staff,Paid,Bank Transfer,1500000.0,S007,Supplier 7,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,
Transfer20240124001,Cash to bank transfer,2024-01-24,2024-01-24,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Transfer20240124001,Cash to bank transfer,2024-01-24,2024-01-24,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240124001,Sales Expenses,2024-01-24,2024-01-24,28346.48,28346.48,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,46.28048683000006,46.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Transfer20240125001,Cash to bank transfer,2024-01-25,2024-01-25,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240125001,Sales Expenses,2024-01-25,2024-01-25,41705.41,41705.41,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240125025,Interest Receivables,2024-01-25,2024-01-25,135.28048683000006,135.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,69296.99,69296.99,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240126001,Financial Expenses,2024-01-26,2024-01-26,36380.83,36380.83,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240126026,Interest Receivables,2024-01-26,2024-01-26,135.28048683000006,135.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240127028,Sale,2024-01-27,2024-01-27,1384684.3,1384684.3,,,Unpaid,,1000000.0,,,P003,Heavy Equipment C,1.0,1384684.3,Account Receviable,,,C014,69234.22,1315450.08,1000000.0,384684.30000000005
Purchase20231231016,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,Director,Senior Staff,Paid,Cash,1000000.0,S001,Supplier 1,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,,
Expense20240127001,Sales Expenses,2024-01-27,2024-01-27,57454.13,57454.13,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240127027,Interest Receivables,2024-01-27,2024-01-27,135.28048683000006,135.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240128030,Sale,2024-01-28,2024-01-28,2196931.9,2196931.9,,,Paid,,1500000.0,,,P004,Heavy Equipment D,1.0,2196931.9,Cash,,,C004,109846.6,2087085.3,1500000.0,696931.8999999999
Expense20240128001,Administrative Expenses,2024-01-28,2024-01-28,79524.95,79524.95,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240128028,Interest Receivables,2024-01-28,2024-01-28,135.28048683000006,135.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240129001,Sales Expenses,2024-01-29,2024-01-29,60968.71,60968.71,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240129001,Administrative Expenses,2024-01-29,2024-01-29,10275.59,10275.59,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240129029,Interest Receivables,2024-01-29,2024-01-29,135.28048683000006,135.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240130032,Sale,2024-01-30,2024-01-30,2101413.12,2101413.12,,,Unpaid,,1500000.0,,,P004,Heavy Equipment D,1.0,2101413.12,Account Receviable,,,C019,105070.66,1996342.46,1500000.0,601413.1200000001
Expense20240130001,Administrative Expenses,2024-01-30,2024-01-30,25487.02,25487.02,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240130001,Financial Expenses,2024-01-30,2024-01-30,66912.09,66912.09,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240130030,Interest Receivables,2024-01-30,2024-01-30,135.28048683000006,135.28048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231017,Purchase,2023-12-31,2023-12-31,1500000.0,1500000.0,Director,Senior Staff,Paid,Bank Transfer,1500000.0,S010,Supplier 10,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,
Transfer20240131001,Cash to bank transfer,2024-01-31,2024-01-31,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240131001,Sales Expenses,2024-01-31,2024-01-31,18674.79,18674.79,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240131001,Administrative Expenses,2024-01-31,2024-01-31,63593.73,63593.73,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240131031,Interest Receivables,2024-01-31,2024-01-31,90.78048683000006,90.78048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240201034,Sale,2024-02-01,2024-02-01,2120132.85,2120132.85,,,Paid,,1500000.0,,,P004,Heavy Equipment D,1.0,2120132.85,Cash,,,C013,106006.64,2014126.21,1500000.0,620132.8500000001
Purchase20231231018,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,Director,Senior Staff,Unpaid,Account Payable,1500000.0,S007,Supplier 7,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,
Expense20240201001,Administrative Expenses,2024-02-01,2024-02-01,82900.73,82900.73,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240201002,Depreciation,2024-02-01,2024-02-01,75220.2,75220.2,,,,,,,,,,,,,,,,,,,
Interest20240201032,Interest Receivables,2024-02-01,2024-02-01,90.78048683000006,90.78048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240202001,Sales Expenses,2024-02-02,2024-02-02,98116.24,98116.24,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240202001,Administrative Expenses,2024-02-02,2024-02-02,66892.65,66892.65,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240202033,Interest Receivables,2024-02-02,2024-02-02,90.78048683000006,90.78048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240203036,Sale,2024-02-03,2024-02-03,1974918.04,1974918.04,,,Unpaid,,1500000.0,,,P004,Heavy Equipment D,1.0,1974918.04,Account Receviable,,,C004,98745.9,1876172.14,1500000.0,474918.04000000004
Expense20240203001,Sales Expenses,2024-02-03,2024-02-03,86216.74,86216.74,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240203001,Sales Expenses,2024-02-03,2024-02-03,46127.65,46127.65,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240203034,Interest Receivables,2024-02-03,2024-02-03,90.78048683000006,90.78048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240204039,Sale,2024-02-04,2024-02-04,1431969.88,1431969.88,,,Unpaid,,1000000.0,,,P003,Heavy Equipment C,1.0,1431969.88,Account Receviable,,,C008,71598.49,1360371.39,1000000.0,431969.8799999999
Expense20240204001,Financial Expenses,2024-02-04,2024-02-04,52734.73,52734.73,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240204001,Financial Expenses,2024-02-04,2024-02-04,33964.4,33964.4,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240204035,Interest Receivables,2024-02-04,2024-02-04,90.78048683000006,90.78048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240205001,Sales Expenses,2024-02-05,2024-02-05,20182.64,20182.64,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240205036,Interest Receivables,2024-02-05,2024-02-05,90.78048683000006,90.78048683000006,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
