id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,cost_per_unit,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,3796.88,3796.88,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,416.075,416.075,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240109024,Sale,2024-01-09,2024-01-09,18699.29,18699.29,,,Paid,10000.0,,,,P002,Premium Product B,1.0,18699.29,Cash,C019,934.96,17764.33,10000.0,8699.29,,
Sale20240109025,Sale,2024-01-09,2024-01-09,19892.26,19892.26,,,Paid,10000.0,,,,P002,Premium Product B,1.0,19892.26,Cash,C019,994.61,18897.65,10000.0,9892.259999999998,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,28353.6,28353.6,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240109001,Financial Expenses,2024-01-09,2024-01-09,8332.03,8332.03,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,5017.73,5017.73,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,416.075,416.075,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240110028,Sale,2024-01-10,2024-01-10,177001.96,177001.96,,,Unpaid,50000.0,,,,P004,Premium Product D,2.0,88500.98,Account Receviable,C013,8850.1,168151.86,100000.0,77001.95999999999,,
Sale20240110029,Sale,2024-01-10,2024-01-10,174585.2,174585.2,,,Paid,50000.0,,,,P004,Premium Product D,2.0,87292.6,Cash,C016,8729.26,165855.94,100000.0,74585.20000000001,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,12391.14,12391.14,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,18972.61,18972.61,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,25408.23,25408.23,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,416.075,416.075,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240111033,Sale,2024-01-11,2024-01-11,26270.43,26270.43,,,Unpaid,5000.0,,,,P001,Premium Product A,3.0,8756.81,Account Receviable,C007,1313.52,24956.91,15000.0,11270.43,,
Sale20240111034,Sale,2024-01-11,2024-01-11,196067.34,196067.34,,,Paid,50000.0,,,,P004,Premium Product D,2.0,98033.67,Cash,C001,9803.37,186263.97,100000.0,96067.34,,
Sale20240111035,Sale,2024-01-11,2024-01-11,17185.29,17185.29,,,Paid,10000.0,,,,P002,Premium Product B,1.0,17185.29,Cash,C018,859.26,16326.03,10000.0,7185.290000000001,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,25000.0,25000.0,Director,Supervisor,Paid,5000.0,Cash,S008,Supplier 8,P001,Premium Product A,5.0,5000.0,,,,,,,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,80000.0,80000.0,Director,Staff,Paid,10000.0,Cash,S007,Supplier 7,P002,Premium Product B,8.0,10000.0,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,11888.13,11888.13,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,22411.89,22411.89,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240111001,Financial Expenses,2024-01-11,2024-01-11,21229.14,21229.14,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,416.075,416.075,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240112036,Sale,2024-01-12,2024-01-12,35776.53,35776.53,,,Unpaid,20000.0,,,,P003,Premium Product C,1.0,35776.53,Account Receviable,C020,1788.83,33987.7,20000.0,15776.529999999999,,
Sale20240112037,Sale,2024-01-12,2024-01-12,34649.63,34649.63,,,Unpaid,20000.0,,,,P003,Premium Product C,1.0,34649.63,Account Receviable,C018,1732.48,32917.15,20000.0,14649.629999999997,,
Sale20240112038,Sale,2024-01-12,2024-01-12,113181.93,113181.93,,,Paid,20000.0,,,,P003,Premium Product C,3.0,37727.31,Cash,C006,5659.1,107522.83,60000.0,53181.92999999999,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Staff,Paid,50000.0,Bank Transfer,S006,Supplier 6,P004,Premium Product D,10.0,50000.0,,,,,,,,
Expense20240112001,Financial Expenses,2024-01-12,2024-01-12,24321.46,24321.46,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,9797.6,9797.6,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,16177.79,16177.79,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,371.575,371.575,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240113041,Sale,2024-01-13,2024-01-13,90831.99,90831.99,,,Paid,50000.0,,,,P004,Premium Product D,1.0,90831.99,Cash,C013,4541.6,86290.39,50000.0,40831.990000000005,,
Sale20240113042,Sale,2024-01-13,2024-01-13,36413.56,36413.56,,,Paid,10000.0,,,,P002,Premium Product B,2.0,18206.78,Cash,C011,1820.68,34592.88,20000.0,16413.559999999998,,
Sale20240113043,Sale,2024-01-13,2024-01-13,56856.45,56856.45,,,Paid,10000.0,,,,P002,Premium Product B,3.0,18952.15,Cash,C003,2842.82,54013.63,30000.0,26856.449999999997,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,25170.68,25170.68,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240113001,Financial Expenses,2024-01-13,2024-01-13,25847.64,25847.64,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,5806.03,5806.03,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,371.575,371.575,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240114046,Sale,2024-01-14,2024-01-14,9378.67,9378.67,,,Unpaid,5000.0,,,,P001,Premium Product A,1.0,9378.67,Account Receviable,C006,468.93,8909.74,5000.0,4378.67,,
Sale20240114047,Sale,2024-01-14,2024-01-14,117413.01,117413.01,,,Paid,20000.0,,,,P003,Premium Product C,3.0,39137.67,Cash,C014,5870.65,111542.36,60000.0,57413.009999999995,,
Sale20240114048,Sale,2024-01-14,2024-01-14,171599.94,171599.94,,,Unpaid,50000.0,,,,P004,Premium Product D,2.0,85799.97,Account Receviable,C001,8580.0,163019.94,100000.0,71599.94,,
Purchase20231231011,Purchase,2023-12-31,2023-12-31,160000.0,160000.0,Director,Supervisor,Paid,20000.0,Cash,S003,Supplier 3,P003,Premium Product C,8.0,20000.0,,,,,,,,
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,19807.67,19807.67,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,29829.23,29829.23,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,6448.24,6448.24,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,371.575,371.575,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240115050,Sale,2024-01-15,2024-01-15,8654.65,8654.65,,,Unpaid,5000.0,,,,P001,Premium Product A,1.0,8654.65,Account Receviable,C008,432.73,8221.92,5000.0,3654.6499999999996,,
Sale20240115051,Sale,2024-01-15,2024-01-15,294287.22,294287.22,,,Paid,50000.0,,,,P004,Premium Product D,3.0,98095.74,Cash,C002,14714.36,279572.86,150000.0,144287.21999999997,,
Sale20240115052,Sale,2024-01-15,2024-01-15,19890.08,19890.08,,,Paid,10000.0,,,,P002,Premium Product B,1.0,19890.08,Cash,C007,994.5,18895.58,10000.0,9890.080000000002,,
Sale20240115053,Sale,2024-01-15,2024-01-15,35911.54,35911.54,,,Unpaid,10000.0,,,,P002,Premium Product B,2.0,17955.77,Account Receviable,C001,1795.58,34115.96,20000.0,15911.54,,
Purchase20231231012,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Director,Senior Staff,Paid,10000.0,Bank Transfer,S005,Supplier 5,P002,Premium Product B,6.0,10000.0,,,,,,,,
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,29376.5,29376.5,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240115001,Financial Expenses,2024-01-15,2024-01-15,14371.43,14371.43,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,366.23499999999996,366.23499999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240116055,Sale,2024-01-16,2024-01-16,73421.4,73421.4,,,Unpaid,20000.0,,,,P003,Premium Product C,2.0,36710.7,Account Receviable,C011,3671.07,69750.33,40000.0,33421.399999999994,,
Sale20240116056,Sale,2024-01-16,2024-01-16,75197.88,75197.88,,,Unpaid,20000.0,,,,P003,Premium Product C,2.0,37598.94,Account Receviable,C009,3759.89,71437.99,40000.0,35197.880000000005,,
Sale20240116057,Sale,2024-01-16,2024-01-16,17714.56,17714.56,,,Paid,10000.0,,,,P002,Premium Product B,1.0,17714.56,Cash,C010,885.73,16828.83,10000.0,7714.560000000001,,
Sale20240116058,Sale,2024-01-16,2024-01-16,118848.96,118848.96,,,Paid,20000.0,,,,P003,Premium Product C,3.0,39616.32,Cash,C018,5942.45,112906.51,60000.0,58848.96000000001,,
Purchase20231231013,Purchase,2023-12-31,2023-12-31,140000.0,140000.0,Director,Supervisor,Unpaid,20000.0,Account Payable,S008,Supplier 8,P003,Premium Product C,7.0,20000.0,,,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,9539.83,9539.83,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,23251.04,23251.04,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240116001,Administrative Expenses,2024-01-16,2024-01-16,16740.11,16740.11,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,366.23499999999996,366.23499999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240117061,Sale,2024-01-17,2024-01-17,18612.68,18612.68,,,Paid,5000.0,,,,P001,Premium Product A,2.0,9306.34,Cash,C006,930.63,17682.05,10000.0,8612.68,,
Sale20240117062,Sale,2024-01-17,2024-01-17,36238.8,36238.8,,,Paid,20000.0,,,,P003,Premium Product C,1.0,36238.8,Cash,C010,1811.94,34426.86,20000.0,16238.800000000003,,
Sale20240117063,Sale,2024-01-17,2024-01-17,176278.96,176278.96,,,Paid,50000.0,,,,P004,Premium Product D,2.0,88139.48,Cash,C002,8813.95,167465.01,100000.0,76278.95999999999,,
Expense20240117001,Financial Expenses,2024-01-17,2024-01-17,17890.86,17890.86,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,20377.67,20377.67,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,366.23499999999996,366.23499999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240118065,Sale,2024-01-18,2024-01-18,74434.04,74434.04,,,Paid,20000.0,,,,P003,Premium Product C,2.0,37217.02,Cash,C018,3721.7,70712.34,40000.0,34434.03999999999,,
Sale20240118066,Sale,2024-01-18,2024-01-18,37660.74,37660.74,,,Paid,10000.0,,,,P002,Premium Product B,2.0,18830.37,Cash,C006,1883.04,35777.7,20000.0,17660.739999999998,,
Purchase20231231014,Purchase,2023-12-31,2023-12-31,400000.0,400000.0,Director,Staff,Unpaid,50000.0,Account Payable,S007,Supplier 7,P004,Premium Product D,8.0,50000.0,,,,,,,,
Expense20240118001,Financial Expenses,2024-01-18,2024-01-18,12516.13,12516.13,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240118001,Financial Expenses,2024-01-18,2024-01-18,10393.45,10393.45,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240118001,Financial Expenses,2024-01-18,2024-01-18,6653.08,6653.08,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,366.23499999999996,366.23499999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240119067,Sale,2024-01-19,2024-01-19,9161.32,9161.32,,,Unpaid,5000.0,,,,P001,Premium Product A,1.0,9161.32,Account Receviable,C018,458.07,8703.25,5000.0,4161.32,,
Sale20240119068,Sale,2024-01-19,2024-01-19,29785.86,29785.86,,,Paid,5000.0,,,,P001,Premium Product A,3.0,9928.62,Cash,C006,1489.29,28296.57,15000.0,14785.86,,
Sale20240119069,Sale,2024-01-19,2024-01-19,34617.14,34617.14,,,Paid,10000.0,,,,P002,Premium Product B,2.0,17308.57,Cash,C009,1730.86,32886.28,20000.0,14617.14,,
Sale20240119070,Sale,2024-01-19,2024-01-19,37955.84,37955.84,,,Unpaid,10000.0,,,,P002,Premium Product B,2.0,18977.92,Account Receviable,C001,1897.79,36058.05,20000.0,17955.839999999997,,
Purchase20231231015,Purchase,2023-12-31,2023-12-31,30000.0,30000.0,Director,Supervisor,Paid,5000.0,Cash,S005,Supplier 5,P001,Premium Product A,6.0,5000.0,,,,,,,,
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,11523.39,11523.39,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,7597.54,7597.54,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,366.23499999999996,366.23499999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240120073,Sale,2024-01-20,2024-01-20,76630.94,76630.94,,,Unpaid,20000.0,,,,P003,Premium Product C,2.0,38315.47,Account Receviable,C008,3831.55,72799.39,40000.0,36630.94,,
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,16665.55,16665.55,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,6944.55,6944.55,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240120001,Financial Expenses,2024-01-20,2024-01-20,28954.07,28954.07,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,366.23499999999996,366.23499999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240121076,Sale,2024-01-21,2024-01-21,36143.32,36143.32,,,Paid,10000.0,,,,P002,Premium Product B,2.0,18071.66,Cash,C016,1807.17,34336.15,20000.0,16143.32,,
Sale20240121077,Sale,2024-01-21,2024-01-21,261490.35,261490.35,,,Paid,50000.0,,,,P004,Premium Product D,3.0,87163.45,Cash,C005,13074.52,248415.83,150000.0,111490.35,,
Purchase20231231016,Purchase,2023-12-31,2023-12-31,30000.0,30000.0,Director,Senior Staff,Unpaid,10000.0,Account Payable,S001,Supplier 1,P002,Premium Product B,3.0,10000.0,,,,,,,,
Expense20240121001,Sales Expenses,2024-01-21,2024-01-21,4951.13,4951.13,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240121001,Sales Expenses,2024-01-21,2024-01-21,22862.32,22862.32,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,366.23499999999996,366.23499999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240122080,Sale,2024-01-22,2024-01-22,257505.69,257505.69,,,Unpaid,50000.0,,,,P004,Premium Product D,3.0,85835.23,Account Receviable,C020,12875.28,244630.41,150000.0,107505.69,,
Sale20240122081,Sale,2024-01-22,2024-01-22,177778.96,177778.96,,,Paid,50000.0,,,,P004,Premium Product D,2.0,88889.48,Cash,C006,8888.95,168890.01,100000.0,77778.95999999999,,
Sale20240122082,Sale,2024-01-22,2024-01-22,88341.49,88341.49,,,Paid,50000.0,,,,P004,Premium Product D,1.0,88341.49,Cash,C012,4417.07,83924.42,50000.0,38341.490000000005,,
Sale20240122083,Sale,2024-01-22,2024-01-22,39109.78,39109.78,,,Paid,10000.0,,,,P002,Premium Product B,2.0,19554.89,Cash,C014,1955.49,37154.29,20000.0,19109.78,,
Purchase20231231017,Purchase,2023-12-31,2023-12-31,350000.0,350000.0,Director,Supervisor,Paid,50000.0,Cash,S003,Supplier 3,P004,Premium Product D,7.0,50000.0,,,,,,,,
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,4649.17,4649.17,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,28930.22,28930.22,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,366.23499999999996,366.23499999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240123086,Sale,2024-01-23,2024-01-23,35569.85,35569.85,,,Paid,20000.0,,,,P003,Premium Product C,1.0,35569.85,Cash,C008,1778.49,33791.36,20000.0,15569.849999999999,,
Sale20240123087,Sale,2024-01-23,2024-01-23,17076.87,17076.87,,,Unpaid,10000.0,,,,P002,Premium Product B,1.0,17076.87,Account Receviable,C006,853.84,16223.03,10000.0,7076.869999999999,,
Sale20240123088,Sale,2024-01-23,2024-01-23,105626.73,105626.73,,,Paid,20000.0,,,,P003,Premium Product C,3.0,35208.91,Cash,C013,5281.34,100345.39,60000.0,45626.729999999996,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,352857.55,352857.55,,,Paid,,Bank Transfer,S002,Supplier 2,,,,,,,,,,,Processing Equipment4,Processing Equipment
Purchase20231231018,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Director,Supervisor,Unpaid,10000.0,Account Payable,S010,Supplier 10,P002,Premium Product B,6.0,10000.0,,,,,,,,
Expense20240123001,Financial Expenses,2024-01-23,2024-01-23,20209.44,20209.44,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240123001,Financial Expenses,2024-01-23,2024-01-23,7920.03,7920.03,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240123001,Sales Expenses,2024-01-23,2024-01-23,15038.02,15038.02,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,334.83067805,334.83067805,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
