id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_cost_per_unit,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Purchase20231231002,Purchase,2023-12-31,40000.0,Director,Senior Staff,Paid,5000.0,Bank Transfer,S008,Supplier 8,P001,Premium Product A,8.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 8.0 units at a unit price of $5000.00, totaling $40000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Purchase20231231003,Purchase,2023-12-31,150000.0,Director,Senior Staff,Unpaid,50000.0,Account Payable,S004,Supplier 4,P004,Premium Product D,3.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $50000.00, totaling $150000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240102001,Sales Expenses,2024-01-02,6031.59,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $6031.59. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240102001,Financial Expenses,2024-01-02,18889.24,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Financial Expenses, totaling $18889.24. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240102001,Administrative Expenses,2024-01-02,13598.33,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $13598.33. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $441.44. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103006,Sale,2024-01-03,17983.04,,,Unpaid,5000.0,,,,P001,Premium Product A,2.0,8991.52,Account Receviable,C008,899.15,17083.89,10000.0,7983.04,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $8991.52, totaling $17983.04. The cost amount for this transaction was $10000.00, with a tax amount of $899.15, leading to a total amount due of $17083.89. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240103001,Financial Expenses,2024-01-03,29563.21,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Financial Expenses, totaling $29563.21. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240103001,Sales Expenses,2024-01-03,27436.74,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $27436.74. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $441.44. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104008,Sale,2024-01-04,90340.71,,,Paid,50000.0,,,,P004,Premium Product D,1.0,90340.71,Cash,C015,4517.04,85823.67,50000.0,40340.71,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $90340.71, totaling $90340.71. The cost amount for this transaction was $50000.00, with a tax amount of $4517.04, leading to a total amount due of $85823.67. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240104009,Sale,2024-01-04,9073.85,,,Paid,5000.0,,,,P001,Premium Product A,1.0,9073.85,Cash,C002,453.69,8620.16,5000.0,4073.85,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $9073.85, totaling $9073.85. The cost amount for this transaction was $5000.00, with a tax amount of $453.69, leading to a total amount due of $8620.16. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231004,Purchase,2023-12-31,350000.0,Director,Supervisor,Unpaid,50000.0,Account Payable,S004,Supplier 4,P004,Premium Product D,7.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 7.0 units at a unit price of $50000.00, totaling $350000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Purchase20231231005,Purchase,2023-12-31,45000.0,Director,Senior Staff,Paid,5000.0,Bank Transfer,S008,Supplier 8,P001,Premium Product A,9.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 9.0 units at a unit price of $5000.00, totaling $45000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240104001,Sales Expenses,2024-01-04,17413.76,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $17413.76. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240104001,Sales Expenses,2024-01-04,11853.48,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $11853.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240104001,Administrative Expenses,2024-01-04,11440.73,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $11440.73. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,437.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $437.44. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105012,Sale,2024-01-05,26562.3,,,Paid,5000.0,,,,P001,Premium Product A,3.0,8854.1,Cash,C020,1328.12,25234.18,15000.0,11562.3,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $8854.10, totaling $26562.30. The cost amount for this transaction was $15000.00, with a tax amount of $1328.12, leading to a total amount due of $25234.18. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105013,Sale,2024-01-05,26388.51,,,Paid,5000.0,,,,P001,Premium Product A,3.0,8796.17,Cash,C002,1319.43,25069.08,15000.0,11388.51,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $8796.17, totaling $26388.51. The cost amount for this transaction was $15000.00, with a tax amount of $1319.43, leading to a total amount due of $25069.08. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105014,Sale,2024-01-05,78070.82,,,Unpaid,20000.0,,,,P003,Premium Product C,2.0,39035.41,Account Receviable,C004,3903.54,74167.28,40000.0,38070.82,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $39035.41, totaling $78070.82. The cost amount for this transaction was $40000.00, with a tax amount of $3903.54, leading to a total amount due of $74167.28. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231006,Purchase,2023-12-31,140000.0,Director,Senior Staff,Paid,20000.0,Bank Transfer,S007,Supplier 7,P003,Premium Product C,7.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 7.0 units at a unit price of $20000.00, totaling $140000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Purchase20231231007,Purchase,2023-12-31,100000.0,Director,Supervisor,Paid,10000.0,Bank Transfer,S006,Supplier 6,P002,Premium Product B,10.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 10.0 units at a unit price of $10000.00, totaling $100000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240105001,Sales Expenses,2024-01-05,17319.8,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Sales Expenses, totaling $17319.80. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240105001,Sales Expenses,2024-01-05,13385.96,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Sales Expenses, totaling $13385.96. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240105001,Financial Expenses,2024-01-05,3450.52,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Financial Expenses, totaling $3450.52. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,416.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $416.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106017,Sale,2024-01-06,38436.94,,,Paid,10000.0,,,,P002,Premium Product B,2.0,19218.47,Cash,C018,1921.85,36515.09,20000.0,18436.94,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $19218.47, totaling $38436.94. The cost amount for this transaction was $20000.00, with a tax amount of $1921.85, leading to a total amount due of $36515.09. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240106001,Administrative Expenses,2024-01-06,17441.5,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $17441.50. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240106001,Financial Expenses,2024-01-06,7166.4,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Financial Expenses, totaling $7166.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240106001,Sales Expenses,2024-01-06,15181.71,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $15181.71. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,416.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $416.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107019,Sale,2024-01-07,36168.09,,,Paid,20000.0,,,,P003,Premium Product C,1.0,36168.09,Cash,C016,1808.4,34359.69,20000.0,16168.09,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $36168.09, totaling $36168.09. The cost amount for this transaction was $20000.00, with a tax amount of $1808.40, leading to a total amount due of $34359.69. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240107001,Sales Expenses,2024-01-07,29279.52,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Sales Expenses, totaling $29279.52. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240107001,Sales Expenses,2024-01-07,13430.69,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Sales Expenses, totaling $13430.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240107001,Administrative Expenses,2024-01-07,16376.52,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $16376.52. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,416.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $416.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108022,Sale,2024-01-08,173165.24,,,Paid,50000.0,,,,P004,Premium Product D,2.0,86582.62,Cash,C007,8658.26,164506.98,100000.0,73165.24,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $86582.62, totaling $173165.24. The cost amount for this transaction was $100000.00, with a tax amount of $8658.26, leading to a total amount due of $164506.98. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240108023,Sale,2024-01-08,98199.15,,,Paid,50000.0,,,,P004,Premium Product D,1.0,98199.15,Cash,C012,4909.96,93289.19,50000.0,48199.15,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $98199.15, totaling $98199.15. The cost amount for this transaction was $50000.00, with a tax amount of $4909.96, leading to a total amount due of $93289.19. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240108001,Administrative Expenses,2024-01-08,11170.75,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $11170.75. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240108001,Administrative Expenses,2024-01-08,3796.88,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $3796.88. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,416.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $416.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109024,Sale,2024-01-09,18699.29,,,Paid,10000.0,,,,P002,Premium Product B,1.0,18699.29,Cash,C019,934.96,17764.33,10000.0,8699.29,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $18699.29, totaling $18699.29. The cost amount for this transaction was $10000.00, with a tax amount of $934.96, leading to a total amount due of $17764.33. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240109025,Sale,2024-01-09,19892.26,,,Paid,10000.0,,,,P002,Premium Product B,1.0,19892.26,Cash,C019,994.61,18897.65,10000.0,9892.26,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $19892.26, totaling $19892.26. The cost amount for this transaction was $10000.00, with a tax amount of $994.61, leading to a total amount due of $18897.65. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240109001,Sales Expenses,2024-01-09,28353.6,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $28353.60. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240109001,Financial Expenses,2024-01-09,8332.03,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Financial Expenses, totaling $8332.03. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240109001,Sales Expenses,2024-01-09,5017.73,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $5017.73. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,416.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $416.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110028,Sale,2024-01-10,177001.96,,,Unpaid,50000.0,,,,P004,Premium Product D,2.0,88500.98,Account Receviable,C013,8850.1,168151.86,100000.0,77001.96,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $88500.98, totaling $177001.96. The cost amount for this transaction was $100000.00, with a tax amount of $8850.10, leading to a total amount due of $168151.86. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240110029,Sale,2024-01-10,174585.2,,,Paid,50000.0,,,,P004,Premium Product D,2.0,87292.6,Cash,C016,8729.26,165855.94,100000.0,74585.2,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $87292.60, totaling $174585.20. The cost amount for this transaction was $100000.00, with a tax amount of $8729.26, leading to a total amount due of $165855.94. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240110001,Sales Expenses,2024-01-10,12391.14,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $12391.14. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240110001,Sales Expenses,2024-01-10,18972.61,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $18972.61. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240110001,Sales Expenses,2024-01-10,25408.23,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $25408.23. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,416.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $416.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111033,Sale,2024-01-11,26270.43,,,Unpaid,5000.0,,,,P001,Premium Product A,3.0,8756.81,Account Receviable,C007,1313.52,24956.91,15000.0,11270.43,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $8756.81, totaling $26270.43. The cost amount for this transaction was $15000.00, with a tax amount of $1313.52, leading to a total amount due of $24956.91. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240111034,Sale,2024-01-11,196067.34,,,Paid,50000.0,,,,P004,Premium Product D,2.0,98033.67,Cash,C001,9803.37,186263.97,100000.0,96067.34,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $98033.67, totaling $196067.34. The cost amount for this transaction was $100000.00, with a tax amount of $9803.37, leading to a total amount due of $186263.97. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111035,Sale,2024-01-11,17185.29,,,Paid,10000.0,,,,P002,Premium Product B,1.0,17185.29,Cash,C018,859.26,16326.03,10000.0,7185.29,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $17185.29, totaling $17185.29. The cost amount for this transaction was $10000.00, with a tax amount of $859.26, leading to a total amount due of $16326.03. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231008,Purchase,2023-12-31,25000.0,Director,Supervisor,Paid,5000.0,Cash,S008,Supplier 8,P001,Premium Product A,5.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 5.0 units at a unit price of $5000.00, totaling $25000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Purchase20231231009,Purchase,2023-12-31,80000.0,Director,Staff,Paid,10000.0,Cash,S007,Supplier 7,P002,Premium Product B,8.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 8.0 units at a unit price of $10000.00, totaling $80000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240111001,Administrative Expenses,2024-01-11,11888.13,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $11888.13. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240111001,Administrative Expenses,2024-01-11,22411.89,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $22411.89. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240111001,Financial Expenses,2024-01-11,21229.14,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Financial Expenses, totaling $21229.14. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,416.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $416.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112036,Sale,2024-01-12,35776.53,,,Unpaid,20000.0,,,,P003,Premium Product C,1.0,35776.53,Account Receviable,C020,1788.83,33987.7,20000.0,15776.53,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $35776.53, totaling $35776.53. The cost amount for this transaction was $20000.00, with a tax amount of $1788.83, leading to a total amount due of $33987.70. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240112037,Sale,2024-01-12,34649.63,,,Unpaid,20000.0,,,,P003,Premium Product C,1.0,34649.63,Account Receviable,C018,1732.48,32917.15,20000.0,14649.63,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $34649.63, totaling $34649.63. The cost amount for this transaction was $20000.00, with a tax amount of $1732.48, leading to a total amount due of $32917.15. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240112038,Sale,2024-01-12,113181.93,,,Paid,20000.0,,,,P003,Premium Product C,3.0,37727.31,Cash,C006,5659.1,107522.83,60000.0,53181.93,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $37727.31, totaling $113181.93. The cost amount for this transaction was $60000.00, with a tax amount of $5659.10, leading to a total amount due of $107522.83. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231010,Purchase,2023-12-31,500000.0,Director,Staff,Paid,50000.0,Bank Transfer,S006,Supplier 6,P004,Premium Product D,10.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 10.0 units at a unit price of $50000.00, totaling $500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240112001,Financial Expenses,2024-01-12,24321.46,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Financial Expenses, totaling $24321.46. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240112001,Sales Expenses,2024-01-12,9797.6,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Sales Expenses, totaling $9797.60. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240112001,Sales Expenses,2024-01-12,16177.79,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Sales Expenses, totaling $16177.79. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,371.58,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $371.58. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
