id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,asset_name,asset_type,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Purchase20231231009,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S002,Supplier 2,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,46434.69,46434.69,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,70515.58,70515.58,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,615.33164875,615.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,73168.68,73168.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,96515.15,96515.15,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,615.33164875,615.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240117001,Financial Expenses,2024-01-17,2024-01-17,69211.25,69211.25,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,53607.84,53607.84,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,615.33164875,615.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,14562.34,14562.34,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,615.33164875,615.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240119016,Sale,2024-01-19,2024-01-19,1348068.18,1348068.18,,,Paid,,1000000.0,,,P003,Heavy Equipment C,1.0,1348068.18,Cash,,,C004,67403.41,1280664.77,1000000.0,348068.17999999993
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,86673.6,86673.6,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,615.33164875,615.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240120001,Financial Expenses,2024-01-20,2024-01-20,87474.45,87474.45,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,615.33164875,615.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240121001,Sales Expenses,2024-01-21,2024-01-21,83217.37,83217.37,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,615.33164875,615.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240122019,Sale,2024-01-22,2024-01-22,694657.72,694657.72,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,694657.72,Cash,,,C007,34732.89,659924.83,500000.0,194657.71999999997
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,28972.8,28972.8,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,615.33164875,615.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240123021,Sale,2024-01-23,2024-01-23,1076054.24,1076054.24,,,Unpaid,,800000.0,,,P002,Heavy Equipment B,1.0,1076054.24,Account Receviable,,,C010,53802.71,1022251.53,800000.0,276054.24
Expense20240123001,Financial Expenses,2024-01-23,2024-01-23,14855.75,14855.75,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,615.33164875,615.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240124022,Sale,2024-01-24,2024-01-24,677364.56,677364.56,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,677364.56,Cash,,,C018,33868.23,643496.33,500000.0,177364.56000000006
Expense20240124001,Sales Expenses,2024-01-24,2024-01-24,39148.75,39148.75,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,615.33164875,615.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240125024,Sale,2024-01-25,2024-01-25,2210585.18,2210585.18,,,Paid,,1500000.0,,,P004,Heavy Equipment D,1.0,2210585.18,Cash,,,C017,110529.26,2100055.92,1500000.0,710585.1800000002
Purchase20231231010,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S003,Supplier 3,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,
Expense20240125001,Administrative Expenses,2024-01-25,2024-01-25,67082.31,67082.31,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240125025,Interest Receivables,2024-01-25,2024-01-25,570.83164875,570.83164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240126025,Sale,2024-01-26,2024-01-26,661580.66,661580.66,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,661580.66,Cash,,,C011,33079.03,628501.63,500000.0,161580.66000000003
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,60508.87,60508.87,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,33905.06,33905.06,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240126026,Interest Receivables,2024-01-26,2024-01-26,570.83164875,570.83164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231011,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Senior Staff,Unpaid,Account Payable,500000.0,S008,Supplier 8,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,
Expense20240127001,Administrative Expenses,2024-01-27,2024-01-27,10253.9,10253.9,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240127001,Financial Expenses,2024-01-27,2024-01-27,74109.93,74109.93,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240127027,Interest Receivables,2024-01-27,2024-01-27,570.83164875,570.83164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240128001,Sales Expenses,2024-01-28,2024-01-28,42910.54,42910.54,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240128001,Sales Expenses,2024-01-28,2024-01-28,49551.38,49551.38,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240128028,Interest Receivables,2024-01-28,2024-01-28,570.83164875,570.83164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231012,Purchase,2023-12-31,2023-12-31,1500000.0,1500000.0,Director,Senior Staff,Paid,Bank Transfer,1500000.0,S009,Supplier 9,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,
Expense20240129001,Sales Expenses,2024-01-29,2024-01-29,63370.0,63370.0,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240129029,Interest Receivables,2024-01-29,2024-01-29,437.33164875,437.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240130031,Sale,2024-01-30,2024-01-30,1492870.6,1492870.6,,,Paid,,1000000.0,,,P003,Heavy Equipment C,1.0,1492870.6,Cash,,,C002,74643.53,1418227.07,1000000.0,492870.6000000001
Expense20240130001,Sales Expenses,2024-01-30,2024-01-30,45613.09,45613.09,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240130030,Interest Receivables,2024-01-30,2024-01-30,437.33164875,437.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240131033,Sale,2024-01-31,2024-01-31,717864.25,717864.25,,,Unpaid,,500000.0,,,P001,Heavy Equipment A,1.0,717864.25,Account Receviable,,,C020,35893.21,681971.04,500000.0,217864.25
Expense20240131001,Sales Expenses,2024-01-31,2024-01-31,42688.86,42688.86,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240131031,Interest Receivables,2024-01-31,2024-01-31,437.33164875,437.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,839853.83,839853.83,,,Paid,Bank Transfer,,S001,Supplier 1,,,,,,Production Line Equipment5,Production Line Equipment,,,,,
Purchase20231231013,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S009,Supplier 9,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,
Purchase20231231014,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Senior Staff,Paid,Bank Transfer,1000000.0,S003,Supplier 3,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,
Expense20240201001,Administrative Expenses,2024-02-01,2024-02-01,58370.92,58370.92,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240201001,Financial Expenses,2024-02-01,2024-02-01,12261.8,12261.8,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240201002,Depreciation,2024-02-01,2024-02-01,60147.44,60147.44,,,,,,,,,,,,,,,,,,,
Interest20240201032,Interest Receivables,2024-02-01,2024-02-01,229.08465787999998,229.08465787999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240202035,Sale,2024-02-02,2024-02-02,660969.7,660969.7,,,Unpaid,,500000.0,,,P001,Heavy Equipment A,1.0,660969.7,Account Receviable,,,C006,33048.49,627921.21,500000.0,160969.69999999995
Expense20240202001,Sales Expenses,2024-02-02,2024-02-02,31799.89,31799.89,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240202033,Interest Receivables,2024-02-02,2024-02-02,229.08465787999998,229.08465787999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240203001,Sales Expenses,2024-02-03,2024-02-03,22552.8,22552.8,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240203034,Interest Receivables,2024-02-03,2024-02-03,229.08465787999998,229.08465787999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240204038,Sale,2024-02-04,2024-02-04,2109215.99,2109215.99,,,Unpaid,,1500000.0,,,P004,Heavy Equipment D,1.0,2109215.99,Account Receviable,,,C020,105460.8,2003755.19,1500000.0,609215.9900000002
Expense20240204001,Financial Expenses,2024-02-04,2024-02-04,83123.11,83123.11,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240204035,Interest Receivables,2024-02-04,2024-02-04,229.08465787999998,229.08465787999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240205001,Administrative Expenses,2024-02-05,2024-02-05,25065.28,25065.28,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240205001,Administrative Expenses,2024-02-05,2024-02-05,90539.15,90539.15,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240205036,Interest Receivables,2024-02-05,2024-02-05,229.08465787999998,229.08465787999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
