id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,asset_name,asset_type,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Expense20240102001,Administrative Expenses,2024-01-02,46725.01,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $46725.01. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,1078.13,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $1078.13. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231003,Purchase,2023-12-31,1600000.0,Director,Senior Staff,Paid,Bank Transfer,800000.0,S005,Supplier 5,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $800000.00, totaling $1600000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240103001,Sales Expenses,2024-01-03,74702.0,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $74702.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,935.73,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $935.73. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240104001,Administrative Expenses,2024-01-04,78889.09,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $78889.09. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,935.73,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $935.73. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231004,Purchase,2023-12-31,3000000.0,Director,Supervisor,Unpaid,Account Payable,1500000.0,S004,Supplier 4,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1500000.00, totaling $3000000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240105001,Sales Expenses,2024-01-05,38780.99,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Sales Expenses, totaling $38780.99. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240105001,Administrative Expenses,2024-01-05,68900.09,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $68900.09. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,935.73,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $935.73. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106004,Sale,2024-01-06,748087.14,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,748087.14,Cash,,,C009,37404.36,710682.78,500000.0,248087.14,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $748087.14, totaling $748087.14. The cost amount for this transaction was $500000.00, with a tax amount of $37404.36, leading to a total amount due of $710682.78. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231005,Purchase,2023-12-31,1000000.0,Director,Senior Staff,Paid,Cash,1000000.0,S008,Supplier 8,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1000000.00, totaling $1000000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240106001,Sales Expenses,2024-01-06,87591.46,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $87591.46. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,935.73,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $935.73. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231006,Purchase,2023-12-31,2000000.0,Director,Supervisor,Paid,Cash,1000000.0,S003,Supplier 3,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1000000.00, totaling $2000000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240107001,Administrative Expenses,2024-01-07,42856.74,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $42856.74. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,935.73,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $935.73. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108006,Sale,2024-01-08,2146535.22,,,Paid,,1500000.0,,,P004,Heavy Equipment D,1.0,2146535.22,Cash,,,C012,107326.76,2039208.46,1500000.0,646535.22,"On January 08, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2146535.22, totaling $2146535.22. The cost amount for this transaction was $1500000.00, with a tax amount of $107326.76, leading to a total amount due of $2039208.46. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240108001,Financial Expenses,2024-01-08,52268.2,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Financial Expenses, totaling $52268.20. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240108001,Administrative Expenses,2024-01-08,19689.35,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $19689.35. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,935.73,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $935.73. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231007,Purchase,2023-12-31,1000000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S008,Supplier 8,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $500000.00, totaling $1000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240109001,Sales Expenses,2024-01-09,93194.55,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $93194.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240109001,Administrative Expenses,2024-01-09,11813.06,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $11813.06. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,846.73,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $846.73. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240110001,Administrative Expenses,2024-01-10,86347.65,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $86347.65. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,846.73,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $846.73. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111008,Sale,2024-01-11,1151336.63,,,Unpaid,,800000.0,,,P002,Heavy Equipment B,1.0,1151336.63,Account Receviable,,,C015,57566.83,1093769.8,800000.0,351336.63,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1151336.63, totaling $1151336.63. The cost amount for this transaction was $800000.00, with a tax amount of $57566.83, leading to a total amount due of $1093769.80. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240111001,Financial Expenses,2024-01-11,57634.9,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Financial Expenses, totaling $57634.90. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,846.73,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $846.73. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240112001,Financial Expenses,2024-01-12,20862.57,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Financial Expenses, totaling $20862.57. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,846.73,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $846.73. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231008,Purchase,2023-12-31,1600000.0,Director,Senior Staff,Paid,Bank Transfer,800000.0,S004,Supplier 4,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $800000.00, totaling $1600000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240113001,Administrative Expenses,2024-01-13,53549.48,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Administrative Expenses, totaling $53549.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240113001,Sales Expenses,2024-01-13,20833.95,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Sales Expenses, totaling $20833.95. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240113013,Interest Receivables,2024-01-13,704.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 13, 2024, an invoice was issued for a Interest Receivables, totaling $704.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240114010,Sale,2024-01-14,693546.26,,,Unpaid,,500000.0,,,P001,Heavy Equipment A,1.0,693546.26,Account Receviable,,,C002,34677.31,658868.95,500000.0,193546.26,"On January 14, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $693546.26, totaling $693546.26. The cost amount for this transaction was $500000.00, with a tax amount of $34677.31, leading to a total amount due of $658868.95. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240114001,Administrative Expenses,2024-01-14,31910.69,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Administrative Expenses, totaling $31910.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240114014,Interest Receivables,2024-01-14,704.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 14, 2024, an invoice was issued for a Interest Receivables, totaling $704.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231009,Purchase,2023-12-31,1000000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S002,Supplier 2,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $500000.00, totaling $1000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240115001,Administrative Expenses,2024-01-15,46434.69,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Administrative Expenses, totaling $46434.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240115001,Sales Expenses,2024-01-15,70515.58,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Sales Expenses, totaling $70515.58. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240115015,Interest Receivables,2024-01-15,615.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 15, 2024, an invoice was issued for a Interest Receivables, totaling $615.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240116001,Sales Expenses,2024-01-16,73168.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $73168.68. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240116001,Sales Expenses,2024-01-16,96515.15,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $96515.15. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240116016,Interest Receivables,2024-01-16,615.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 16, 2024, an invoice was issued for a Interest Receivables, totaling $615.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240117001,Financial Expenses,2024-01-17,69211.25,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Financial Expenses, totaling $69211.25. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240117001,Sales Expenses,2024-01-17,53607.84,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Sales Expenses, totaling $53607.84. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240117017,Interest Receivables,2024-01-17,615.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 17, 2024, an invoice was issued for a Interest Receivables, totaling $615.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240118001,Sales Expenses,2024-01-18,14562.34,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Sales Expenses, totaling $14562.34. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240118018,Interest Receivables,2024-01-18,615.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 18, 2024, an invoice was issued for a Interest Receivables, totaling $615.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240119016,Sale,2024-01-19,1348068.18,,,Paid,,1000000.0,,,P003,Heavy Equipment C,1.0,1348068.18,Cash,,,C004,67403.41,1280664.77,1000000.0,348068.18,"On January 19, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1348068.18, totaling $1348068.18. The cost amount for this transaction was $1000000.00, with a tax amount of $67403.41, leading to a total amount due of $1280664.77. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240119001,Sales Expenses,2024-01-19,86673.6,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Sales Expenses, totaling $86673.60. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240119019,Interest Receivables,2024-01-19,615.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 19, 2024, an invoice was issued for a Interest Receivables, totaling $615.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240120001,Financial Expenses,2024-01-20,87474.45,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Financial Expenses, totaling $87474.45. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240120020,Interest Receivables,2024-01-20,615.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 20, 2024, an invoice was issued for a Interest Receivables, totaling $615.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240121001,Sales Expenses,2024-01-21,83217.37,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Sales Expenses, totaling $83217.37. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240121021,Interest Receivables,2024-01-21,615.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 21, 2024, an invoice was issued for a Interest Receivables, totaling $615.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240122019,Sale,2024-01-22,694657.72,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,694657.72,Cash,,,C007,34732.89,659924.83,500000.0,194657.72,"On January 22, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $694657.72, totaling $694657.72. The cost amount for this transaction was $500000.00, with a tax amount of $34732.89, leading to a total amount due of $659924.83. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240122001,Sales Expenses,2024-01-22,28972.8,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Sales Expenses, totaling $28972.80. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240122022,Interest Receivables,2024-01-22,615.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 22, 2024, an invoice was issued for a Interest Receivables, totaling $615.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240123021,Sale,2024-01-23,1076054.24,,,Unpaid,,800000.0,,,P002,Heavy Equipment B,1.0,1076054.24,Account Receviable,,,C010,53802.71,1022251.53,800000.0,276054.24,"On January 23, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1076054.24, totaling $1076054.24. The cost amount for this transaction was $800000.00, with a tax amount of $53802.71, leading to a total amount due of $1022251.53. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240123001,Financial Expenses,2024-01-23,14855.75,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Financial Expenses, totaling $14855.75. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240123023,Interest Receivables,2024-01-23,615.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 23, 2024, an invoice was issued for a Interest Receivables, totaling $615.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240124022,Sale,2024-01-24,677364.56,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,677364.56,Cash,,,C018,33868.23,643496.33,500000.0,177364.56,"On January 24, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $677364.56, totaling $677364.56. The cost amount for this transaction was $500000.00, with a tax amount of $33868.23, leading to a total amount due of $643496.33. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240124001,Sales Expenses,2024-01-24,39148.75,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Sales Expenses, totaling $39148.75. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240124024,Interest Receivables,2024-01-24,615.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 24, 2024, an invoice was issued for a Interest Receivables, totaling $615.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240125024,Sale,2024-01-25,2210585.18,,,Paid,,1500000.0,,,P004,Heavy Equipment D,1.0,2210585.18,Cash,,,C017,110529.26,2100055.92,1500000.0,710585.18,"On January 25, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2210585.18, totaling $2210585.18. The cost amount for this transaction was $1500000.00, with a tax amount of $110529.26, leading to a total amount due of $2100055.92. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231010,Purchase,2023-12-31,500000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S003,Supplier 3,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $500000.00, totaling $500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240125001,Administrative Expenses,2024-01-25,67082.31,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 25, 2024, an invoice was issued for a Administrative Expenses, totaling $67082.31. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240125025,Interest Receivables,2024-01-25,570.83,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 25, 2024, an invoice was issued for a Interest Receivables, totaling $570.83. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240126025,Sale,2024-01-26,661580.66,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,661580.66,Cash,,,C011,33079.03,628501.63,500000.0,161580.66,"On January 26, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $661580.66, totaling $661580.66. The cost amount for this transaction was $500000.00, with a tax amount of $33079.03, leading to a total amount due of $628501.63. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240126001,Sales Expenses,2024-01-26,60508.87,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Sales Expenses, totaling $60508.87. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240126001,Sales Expenses,2024-01-26,33905.06,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Sales Expenses, totaling $33905.06. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240126026,Interest Receivables,2024-01-26,570.83,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 26, 2024, an invoice was issued for a Interest Receivables, totaling $570.83. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231011,Purchase,2023-12-31,500000.0,Director,Senior Staff,Unpaid,Account Payable,500000.0,S008,Supplier 8,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $500000.00, totaling $500000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
