id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Sale20240102003,Sale,2024-01-02,41935.53,,,Unpaid,,10000.0,,,P001,Chemical Product A,3.0,13978.51,Account Receviable,C020,2096.78,39838.75,30000.0,11935.53,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $13978.51, totaling $41935.53. The cost amount for this transaction was $30000.00, with a tax amount of $2096.78, leading to a total amount due of $39838.75. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231002,Purchase,2023-12-31,500000.0,Director,Senior Staff,Paid,Bank Transfer,20000.0,S007,Supplier 7,P002,Chemical Product B,25.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 25.0 units at a unit price of $20000.00, totaling $500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240102001,Administrative Expenses,2024-01-02,40964.67,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $40964.67. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240102001,Administrative Expenses,2024-01-02,16272.18,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $16272.18. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240102001,Administrative Expenses,2024-01-02,17102.19,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $17102.19. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240102001,Administrative Expenses,2024-01-02,22298.07,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $22298.07. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,375.58,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $375.58. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103004,Sale,2024-01-03,93580.28,,,Paid,,20000.0,,,P002,Chemical Product B,4.0,23395.07,Cash,C003,4679.01,88901.27,80000.0,13580.28,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $23395.07, totaling $93580.28. The cost amount for this transaction was $80000.00, with a tax amount of $4679.01, leading to a total amount due of $88901.27. The receive_method of this transaction was cash, and this transaction was paid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,324677.57,,,Paid,Bank Transfer,,S005,Supplier 5,,,,,,,,,,,Processing Equipment4,Processing Equipment,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $324677.57. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S005, and the supplier name is Supplier 5.",
Purchase20231231003,Purchase,2023-12-31,300000.0,Director,Staff,Paid,Cash,50000.0,S001,Supplier 1,P003,Chemical Product C,6.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 6.0 units at a unit price of $50000.00, totaling $300000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240103001,Administrative Expenses,2024-01-03,40874.33,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $40874.33. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240103001,Administrative Expenses,2024-01-03,29379.51,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $29379.51. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240103001,Administrative Expenses,2024-01-03,43565.7,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $43565.70. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240103001,Administrative Expenses,2024-01-03,13682.65,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $13682.65. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,346.68,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $346.68. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104005,Sale,2024-01-04,64374.65,,,Unpaid,,10000.0,,,P001,Chemical Product A,5.0,12874.93,Account Receviable,C017,3218.73,61155.92,50000.0,14374.65,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $12874.93, totaling $64374.65. The cost amount for this transaction was $50000.00, with a tax amount of $3218.73, leading to a total amount due of $61155.92. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231004,Purchase,2023-12-31,2900000.0,Director,Staff,Paid,Cash,100000.0,S002,Supplier 2,P004,Chemical Product D,29.0,100000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 29.0 units at a unit price of $100000.00, totaling $2900000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Transfer20240104001,Bank to cash transfer,2024-01-04,100000.0,,,,,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Purchase20231231005,Purchase,2023-12-31,1050000.0,Director,Staff,Paid,Cash,50000.0,S003,Supplier 3,P003,Chemical Product C,21.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 21.0 units at a unit price of $50000.00, totaling $1050000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Transfer20240104001,Bank to cash transfer,2024-01-04,100000.0,,,,,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Expense20240104001,Administrative Expenses,2024-01-04,35126.92,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $35126.92. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Transfer20240104001,Bank to cash transfer,2024-01-04,100000.0,,,,,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Expense20240104001,Financial Expenses,2024-01-04,37547.1,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Financial Expenses, totaling $37547.10. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Transfer20240104001,Bank to cash transfer,2024-01-04,100000.0,,,,,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Expense20240104001,Sales Expenses,2024-01-04,21353.44,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $21353.44. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Transfer20240104001,Bank to cash transfer,2024-01-04,100000.0,,,,,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Expense20240104001,Administrative Expenses,2024-01-04,30776.69,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $30776.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,291.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $291.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105007,Sale,2024-01-05,96770.88,,,Paid,,20000.0,,,P002,Chemical Product B,4.0,24192.72,Cash,C008,4838.54,91932.34,80000.0,16770.88,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $24192.72, totaling $96770.88. The cost amount for this transaction was $80000.00, with a tax amount of $4838.54, leading to a total amount due of $91932.34. The receive_method of this transaction was cash, and this transaction was paid.",
Transfer20240105001,Bank to cash transfer,2024-01-05,100000.0,,,,,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Transfer20240105001,Bank to cash transfer,2024-01-05,100000.0,,,,,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Transfer20240105001,Bank to cash transfer,2024-01-05,100000.0,,,,,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Expense20240105001,Financial Expenses,2024-01-05,44535.78,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Financial Expenses, totaling $44535.78. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Transfer20240105001,Bank to cash transfer,2024-01-05,100000.0,,,,,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Expense20240105001,Sales Expenses,2024-01-05,34376.89,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Sales Expenses, totaling $34376.89. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Transfer20240105001,Bank to cash transfer,2024-01-05,100000.0,,,,,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Expense20240105001,Administrative Expenses,2024-01-05,48716.99,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $48716.99. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,235.22,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $235.22. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106009,Sale,2024-01-06,67806.75,,,Paid,,20000.0,,,P002,Chemical Product B,3.0,22602.25,Cash,C012,3390.34,64416.41,60000.0,7806.75,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $22602.25, totaling $67806.75. The cost amount for this transaction was $60000.00, with a tax amount of $3390.34, leading to a total amount due of $64416.41. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240106010,Sale,2024-01-06,116898.14,,,Paid,,50000.0,,,P003,Chemical Product C,2.0,58449.07,Cash,C009,5844.91,111053.23,100000.0,16898.14,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $58449.07, totaling $116898.14. The cost amount for this transaction was $100000.00, with a tax amount of $5844.91, leading to a total amount due of $111053.23. The receive_method of this transaction was cash, and this transaction was paid.",
Transfer20240106001,Bank to cash transfer,2024-01-06,100000.0,,,,,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Transfer20240106001,Bank to cash transfer,2024-01-06,100000.0,,,,,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Transfer20240106001,Bank to cash transfer,2024-01-06,100000.0,,,,,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Expense20240106001,Administrative Expenses,2024-01-06,30491.21,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $30491.21. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240106001,Administrative Expenses,2024-01-06,14343.64,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $14343.64. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240106001,Administrative Expenses,2024-01-06,28239.4,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $28239.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Transfer20240106001,Bank to cash transfer,2024-01-06,100000.0,,,,,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Expense20240106001,Administrative Expenses,2024-01-06,31139.46,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $31139.46. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,199.62,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $199.62. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107011,Sale,2024-01-07,659298.95,,,Paid,,100000.0,,,P004,Chemical Product D,5.0,131859.79,Cash,C003,32964.95,626334.0,500000.0,159298.95,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $131859.79, totaling $659298.95. The cost amount for this transaction was $500000.00, with a tax amount of $32964.95, leading to a total amount due of $626334.00. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231006,Purchase,2023-12-31,220000.0,Director,Staff,Paid,Cash,20000.0,S009,Supplier 9,P002,Chemical Product B,11.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 11.0 units at a unit price of $20000.00, totaling $220000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240107001,Financial Expenses,2024-01-07,44703.6,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Financial Expenses, totaling $44703.60. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240107001,Administrative Expenses,2024-01-07,20596.48,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $20596.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240107001,Financial Expenses,2024-01-07,9501.24,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Financial Expenses, totaling $9501.24. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240107001,Sales Expenses,2024-01-07,33506.69,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Sales Expenses, totaling $33506.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,199.62,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $199.62. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108013,Sale,2024-01-08,267311.66,,,Paid,,100000.0,,,P004,Chemical Product D,2.0,133655.83,Cash,C016,13365.58,253946.08,200000.0,67311.66,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $133655.83, totaling $267311.66. The cost amount for this transaction was $200000.00, with a tax amount of $13365.58, leading to a total amount due of $253946.08. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240108001,Administrative Expenses,2024-01-08,18657.8,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $18657.80. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240108001,Administrative Expenses,2024-01-08,5582.14,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $5582.14. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,199.62,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $199.62. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240109001,Sales Expenses,2024-01-09,12240.16,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $12240.16. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240109001,Administrative Expenses,2024-01-09,14008.77,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $14008.77. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240109001,Financial Expenses,2024-01-09,42244.48,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Financial Expenses, totaling $42244.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,199.62,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $199.62. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110015,Sale,2024-01-10,35930.91,,,Paid,,10000.0,,,P001,Chemical Product A,3.0,11976.97,Cash,C015,1796.55,34134.36,30000.0,5930.91,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $11976.97, totaling $35930.91. The cost amount for this transaction was $30000.00, with a tax amount of $1796.55, leading to a total amount due of $34134.36. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240110016,Sale,2024-01-10,470550.84,,,Unpaid,,100000.0,,,P004,Chemical Product D,4.0,117637.71,Account Receviable,C006,23527.54,447023.3,400000.0,70550.84,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $117637.71, totaling $470550.84. The cost amount for this transaction was $400000.00, with a tax amount of $23527.54, leading to a total amount due of $447023.30. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240110001,Administrative Expenses,2024-01-10,14953.64,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $14953.64. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240110001,Administrative Expenses,2024-01-10,34749.71,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $34749.71. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240110001,Financial Expenses,2024-01-10,8236.58,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Financial Expenses, totaling $8236.58. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,199.62,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $199.62. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111017,Sale,2024-01-11,67132.14,,,Paid,,50000.0,,,P003,Chemical Product C,1.0,67132.14,Cash,C019,3356.61,63775.53,50000.0,17132.14,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $67132.14, totaling $67132.14. The cost amount for this transaction was $50000.00, with a tax amount of $3356.61, leading to a total amount due of $63775.53. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111018,Sale,2024-01-11,134717.66,,,Paid,,50000.0,,,P003,Chemical Product C,2.0,67358.83,Cash,C009,6735.88,127981.78,100000.0,34717.66,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $67358.83, totaling $134717.66. The cost amount for this transaction was $100000.00, with a tax amount of $6735.88, leading to a total amount due of $127981.78. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240111001,Sales Expenses,2024-01-11,16297.63,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Sales Expenses, totaling $16297.63. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240111001,Administrative Expenses,2024-01-11,45872.04,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $45872.04. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240111001,Financial Expenses,2024-01-11,31984.71,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Financial Expenses, totaling $31984.71. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240111001,Administrative Expenses,2024-01-11,22676.38,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $22676.38. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,199.62,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $199.62. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112020,Sale,2024-01-12,644182.5,,,Paid,,100000.0,,,P004,Chemical Product D,5.0,128836.5,Cash,C008,32209.12,611973.38,500000.0,144182.5,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $128836.50, totaling $644182.50. The cost amount for this transaction was $500000.00, with a tax amount of $32209.12, leading to a total amount due of $611973.38. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240112021,Sale,2024-01-12,23652.08,,,Unpaid,,10000.0,,,P001,Chemical Product A,2.0,11826.04,Account Receviable,C003,1182.6,22469.48,20000.0,3652.08,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $11826.04, totaling $23652.08. The cost amount for this transaction was $20000.00, with a tax amount of $1182.60, leading to a total amount due of $22469.48. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240112001,Administrative Expenses,2024-01-12,16432.62,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $16432.62. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240112001,Sales Expenses,2024-01-12,49729.94,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Sales Expenses, totaling $49729.94. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240112001,Administrative Expenses,2024-01-12,12294.1,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $12294.10. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
