id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Sale20240107026,Sale,2024-01-07,2024-01-07,72420.34,72420.34,,,Unpaid,,20000.0,,,P003,Premium Product C,2.0,36210.17,Account Receviable,C001,3621.02,68799.32,40000.0,32420.339999999997,,
Sale20240107027,Sale,2024-01-07,2024-01-07,17299.3,17299.3,,,Unpaid,,10000.0,,,P002,Premium Product B,1.0,17299.3,Account Receviable,C005,864.97,16434.33,10000.0,7299.299999999999,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,18548.48,18548.48,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,29954.6,29954.6,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240108029,Sale,2024-01-08,2024-01-08,73974.68,73974.68,,,Paid,,20000.0,,,P003,Premium Product C,2.0,36987.34,Cash,C019,3698.73,70275.95,40000.0,33974.67999999999,,
Sale20240108030,Sale,2024-01-08,2024-01-08,89075.9,89075.9,,,Paid,,50000.0,,,P004,Premium Product D,1.0,89075.9,Cash,C015,4453.8,84622.1,50000.0,39075.899999999994,,
Sale20240108031,Sale,2024-01-08,2024-01-08,298491.0,298491.0,,,Paid,,50000.0,,,P004,Premium Product D,3.0,99497.0,Cash,C004,14924.55,283566.45,150000.0,148491.0,,
Sale20240108032,Sale,2024-01-08,2024-01-08,170734.2,170734.2,,,Paid,,50000.0,,,P004,Premium Product D,2.0,85367.1,Cash,C007,8536.71,162197.49,100000.0,70734.20000000001,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,16299.92,16299.92,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,26867.86,26867.86,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,4678.93,4678.93,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240109035,Sale,2024-01-09,2024-01-09,8585.48,8585.48,,,Unpaid,,5000.0,,,P001,Premium Product A,1.0,8585.48,Account Receviable,C009,429.27,8156.21,5000.0,3585.4799999999996,,
Sale20240109036,Sale,2024-01-09,2024-01-09,26034.21,26034.21,,,Paid,,5000.0,,,P001,Premium Product A,3.0,8678.07,Cash,C013,1301.71,24732.5,15000.0,11034.21,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,250000.0,250000.0,Director,Senior Staff,Unpaid,Account Payable,50000.0,S009,Supplier 9,P004,Premium Product D,5.0,50000.0,,,,,,,,
Purchase20231231011,Purchase,2023-12-31,2023-12-31,30000.0,30000.0,Director,Senior Staff,Paid,Cash,5000.0,S008,Supplier 8,P001,Premium Product A,6.0,5000.0,,,,,,,,
Purchase20231231012,Purchase,2023-12-31,2023-12-31,140000.0,140000.0,Director,Senior Staff,Unpaid,Account Payable,20000.0,S005,Supplier 5,P003,Premium Product C,7.0,20000.0,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,3849.61,3849.61,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,16166.25,16166.25,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,11271.83,11271.83,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240110037,Sale,2024-01-10,2024-01-10,70177.82,70177.82,,,Paid,,20000.0,,,P003,Premium Product C,2.0,35088.91,Cash,C001,3508.89,66668.93,40000.0,30177.820000000007,,
Purchase20231231013,Purchase,2023-12-31,2023-12-31,350000.0,350000.0,Director,Senior Staff,Paid,Cash,50000.0,S001,Supplier 1,P004,Premium Product D,7.0,50000.0,,,,,,,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,19966.77,19966.77,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,18556.03,18556.03,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,15899.95,15899.95,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240111040,Sale,2024-01-11,2024-01-11,39223.4,39223.4,,,Paid,,10000.0,,,P002,Premium Product B,2.0,19611.7,Cash,C018,1961.17,37262.23,20000.0,19223.4,,
Sale20240111041,Sale,2024-01-11,2024-01-11,104272.98,104272.98,,,Paid,,20000.0,,,P003,Premium Product C,3.0,34757.66,Cash,C007,5213.65,99059.33,60000.0,44272.979999999996,,
Expense20240111001,Sales Expenses,2024-01-11,2024-01-11,28340.42,28340.42,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240111001,Sales Expenses,2024-01-11,2024-01-11,9036.91,9036.91,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,26851.28,26851.28,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240112044,Sale,2024-01-12,2024-01-12,178308.04,178308.04,,,Paid,,50000.0,,,P004,Premium Product D,2.0,89154.02,Cash,C019,8915.4,169392.64,100000.0,78308.04000000001,,
Sale20240112045,Sale,2024-01-12,2024-01-12,9056.94,9056.94,,,Unpaid,,5000.0,,,P001,Premium Product A,1.0,9056.94,Account Receviable,C001,452.85,8604.09,5000.0,4056.9400000000005,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,13111.63,13111.63,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,18806.62,18806.62,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240113046,Sale,2024-01-13,2024-01-13,37955.74,37955.74,,,Unpaid,,10000.0,,,P002,Premium Product B,2.0,18977.87,Account Receviable,C014,1897.79,36057.95,20000.0,17955.739999999998,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,11354.38,11354.38,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,12543.3,12543.3,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,6349.31,6349.31,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240114050,Sale,2024-01-14,2024-01-14,92038.5,92038.5,,,Paid,,50000.0,,,P004,Premium Product D,1.0,92038.5,Cash,C001,4601.93,87436.57,50000.0,42038.5,,
Sale20240114051,Sale,2024-01-14,2024-01-14,110271.84,110271.84,,,Paid,,20000.0,,,P003,Premium Product C,3.0,36757.28,Cash,C009,5513.59,104758.25,60000.0,50271.84,,
Sale20240114052,Sale,2024-01-14,2024-01-14,52870.89,52870.89,,,Paid,,10000.0,,,P002,Premium Product B,3.0,17623.63,Cash,C013,2643.54,50227.35,30000.0,22870.89,,
Purchase20231231014,Purchase,2023-12-31,2023-12-31,30000.0,30000.0,Director,Senior Staff,Unpaid,Account Payable,10000.0,S002,Supplier 2,P002,Premium Product B,3.0,10000.0,,,,,,,,
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,11860.42,11860.42,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,15125.46,15125.46,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,12002.77,12002.77,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240115056,Sale,2024-01-15,2024-01-15,17622.36,17622.36,,,Paid,,10000.0,,,P002,Premium Product B,1.0,17622.36,Cash,C016,881.12,16741.24,10000.0,7622.360000000001,,
Sale20240115057,Sale,2024-01-15,2024-01-15,68815.0,68815.0,,,Paid,,20000.0,,,P003,Premium Product C,2.0,34407.5,Cash,C017,3440.75,65374.25,40000.0,28815.0,,
Sale20240115058,Sale,2024-01-15,2024-01-15,18852.77,18852.77,,,Paid,,10000.0,,,P002,Premium Product B,1.0,18852.77,Cash,C015,942.64,17910.13,10000.0,8852.77,,
Purchase20231231015,Purchase,2023-12-31,2023-12-31,180000.0,180000.0,Director,Senior Staff,Paid,Cash,20000.0,S003,Supplier 3,P003,Premium Product C,9.0,20000.0,,,,,,,,
Purchase20231231016,Purchase,2023-12-31,2023-12-31,70000.0,70000.0,Director,Senior Staff,Paid,Cash,10000.0,S004,Supplier 4,P002,Premium Product B,7.0,10000.0,,,,,,,,
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,5900.26,5900.26,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,10331.98,10331.98,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240116061,Sale,2024-01-16,2024-01-16,36507.61,36507.61,,,Unpaid,,20000.0,,,P003,Premium Product C,1.0,36507.61,Account Receviable,C020,1825.38,34682.23,20000.0,16507.61,,
Sale20240116062,Sale,2024-01-16,2024-01-16,113277.99,113277.99,,,Unpaid,,20000.0,,,P003,Premium Product C,3.0,37759.33,Account Receviable,C018,5663.9,107614.09,60000.0,53277.990000000005,,
Expense20240116001,Financial Expenses,2024-01-16,2024-01-16,3198.05,3198.05,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240116001,Administrative Expenses,2024-01-16,2024-01-16,17776.17,17776.17,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240117063,Sale,2024-01-17,2024-01-17,284707.14,284707.14,,,Paid,,50000.0,,,P004,Premium Product D,3.0,94902.38,Cash,C008,14235.36,270471.78,150000.0,134707.14,,
Sale20240117064,Sale,2024-01-17,2024-01-17,104527.53,104527.53,,,Paid,,20000.0,,,P003,Premium Product C,3.0,34842.51,Cash,C003,5226.38,99301.15,60000.0,44527.53,,
Sale20240117065,Sale,2024-01-17,2024-01-17,38960.69,38960.69,,,Paid,,20000.0,,,P003,Premium Product C,1.0,38960.69,Cash,C005,1948.03,37012.66,20000.0,18960.690000000002,,
Purchase20231231017,Purchase,2023-12-31,2023-12-31,120000.0,120000.0,Director,Senior Staff,Paid,Cash,20000.0,S009,Supplier 9,P003,Premium Product C,6.0,20000.0,,,,,,,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,18815.57,18815.57,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,10465.12,10465.12,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240118068,Sale,2024-01-18,2024-01-18,88728.79,88728.79,,,Paid,,50000.0,,,P004,Premium Product D,1.0,88728.79,Cash,C013,4436.44,84292.35,50000.0,38728.78999999999,,
Sale20240118069,Sale,2024-01-18,2024-01-18,279058.17,279058.17,,,Paid,,50000.0,,,P004,Premium Product D,3.0,93019.39,Cash,C019,13952.91,265105.26,150000.0,129058.16999999998,,
Sale20240118070,Sale,2024-01-18,2024-01-18,182159.24,182159.24,,,Unpaid,,50000.0,,,P004,Premium Product D,2.0,91079.62,Account Receviable,C003,9107.96,173051.28,100000.0,82159.23999999999,,
Sale20240118071,Sale,2024-01-18,2024-01-18,70288.28,70288.28,,,Paid,,20000.0,,,P003,Premium Product C,2.0,35144.14,Cash,C012,3514.41,66773.87,40000.0,30288.28,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,321724.42,321724.42,,,Paid,Bank Transfer,,S002,Supplier 2,,,,,,,,,,,Processing Equipment4,Processing Equipment
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,4427.86,4427.86,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,21620.4,21620.4,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240118001,Administrative Expenses,2024-01-18,2024-01-18,24374.88,24374.88,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,406.57652662,406.57652662,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240119074,Sale,2024-01-19,2024-01-19,35690.12,35690.12,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17845.06,Cash,C001,1784.51,33905.61,20000.0,15690.120000000003,,
Sale20240119075,Sale,2024-01-19,2024-01-19,71523.06,71523.06,,,Paid,,20000.0,,,P003,Premium Product C,2.0,35761.53,Cash,C004,3576.15,67946.91,40000.0,31523.059999999998,,
Purchase20231231018,Purchase,2023-12-31,2023-12-31,150000.0,150000.0,Director,Senior Staff,Unpaid,Account Payable,50000.0,S002,Supplier 2,P004,Premium Product D,3.0,50000.0,,,,,,,,
Purchase20231231019,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Director,Senior Staff,Unpaid,Account Payable,20000.0,S008,Supplier 8,P003,Premium Product C,10.0,20000.0,,,,,,,,
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,22759.36,22759.36,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,26436.52,26436.52,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,27619.24,27619.24,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,406.57652662,406.57652662,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240120079,Sale,2024-01-20,2024-01-20,19830.74,19830.74,,,Paid,,10000.0,,,P002,Premium Product B,1.0,19830.74,Cash,C007,991.54,18839.2,10000.0,9830.740000000002,,
Sale20240120080,Sale,2024-01-20,2024-01-20,186634.74,186634.74,,,Unpaid,,50000.0,,,P004,Premium Product D,2.0,93317.37,Account Receviable,C012,9331.74,177303.0,100000.0,86634.73999999999,,
Sale20240120081,Sale,2024-01-20,2024-01-20,26980.47,26980.47,,,Paid,,5000.0,,,P001,Premium Product A,3.0,8993.49,Cash,C016,1349.02,25631.45,15000.0,11980.470000000001,,
Purchase20231231020,Purchase,2023-12-31,2023-12-31,250000.0,250000.0,Director,Senior Staff,Paid,Bank Transfer,50000.0,S006,Supplier 6,P004,Premium Product D,5.0,50000.0,,,,,,,,
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,9258.76,9258.76,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,28361.28,28361.28,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240120001,Administrative Expenses,2024-01-20,2024-01-20,11125.47,11125.47,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,384.32652662,384.32652662,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240121084,Sale,2024-01-21,2024-01-21,34140.7,34140.7,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17070.35,Cash,C017,1707.03,32433.67,20000.0,14140.699999999997,,
Sale20240121085,Sale,2024-01-21,2024-01-21,8657.27,8657.27,,,Unpaid,,5000.0,,,P001,Premium Product A,1.0,8657.27,Account Receviable,C015,432.86,8224.41,5000.0,3657.2700000000004,,
Sale20240121086,Sale,2024-01-21,2024-01-21,37525.5,37525.5,,,Paid,,20000.0,,,P003,Premium Product C,1.0,37525.5,Cash,C002,1876.28,35649.22,20000.0,17525.5,,
Expense20240121001,Financial Expenses,2024-01-21,2024-01-21,11963.08,11963.08,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240121001,Financial Expenses,2024-01-21,2024-01-21,4946.51,4946.51,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,384.32652662,384.32652662,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240122087,Sale,2024-01-22,2024-01-22,19669.54,19669.54,,,Paid,,5000.0,,,P001,Premium Product A,2.0,9834.77,Cash,C020,983.48,18686.06,10000.0,9669.54,,
Sale20240122088,Sale,2024-01-22,2024-01-22,85414.29,85414.29,,,Paid,,50000.0,,,P004,Premium Product D,1.0,85414.29,Cash,C017,4270.71,81143.58,50000.0,35414.28999999999,,
Sale20240122089,Sale,2024-01-22,2024-01-22,93377.7,93377.7,,,Paid,,50000.0,,,P004,Premium Product D,1.0,93377.7,Cash,C001,4668.89,88708.81,50000.0,43377.7,,
Purchase20231231021,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,50000.0,S005,Supplier 5,P004,Premium Product D,10.0,50000.0,,,,,,,,
Purchase20231231022,Purchase,2023-12-31,2023-12-31,45000.0,45000.0,Director,Senior Staff,Unpaid,Account Payable,5000.0,S006,Supplier 6,P001,Premium Product A,9.0,5000.0,,,,,,,,
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,23866.05,23866.05,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,3868.93,3868.93,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,11629.31,11629.31,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,339.82652662,339.82652662,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
