id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Interest20240101001,Interest Receivables,2024-01-01,428.09,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $428.09. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102003,Sale,2024-01-02,224961.24,,,Unpaid,,50000.0,,,P003,Chemical Product C,4.0,56240.31,Account Receviable,C003,11248.06,213713.18,200000.0,24961.24,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $56240.31, totaling $224961.24. The cost amount for this transaction was $200000.00, with a tax amount of $11248.06, leading to a total amount due of $213713.18. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240102001,Administrative Expenses,2024-01-02,45081.08,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $45081.08. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240102001,Sales Expenses,2024-01-02,45044.74,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $45044.74. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240102001,Administrative Expenses,2024-01-02,36805.48,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $36805.48. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240102001,Administrative Expenses,2024-01-02,44888.15,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $44888.15. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,428.09,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $428.09. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103005,Sale,2024-01-03,57957.22,,,Unpaid,,50000.0,,,P003,Chemical Product C,1.0,57957.22,Account Receviable,C014,2897.86,55059.36,50000.0,7957.22,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $57957.22, totaling $57957.22. The cost amount for this transaction was $50000.00, with a tax amount of $2897.86, leading to a total amount due of $55059.36. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240103006,Sale,2024-01-03,123043.3,,,Unpaid,,50000.0,,,P003,Chemical Product C,2.0,61521.65,Account Receviable,C008,6152.17,116891.13,100000.0,23043.3,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $61521.65, totaling $123043.30. The cost amount for this transaction was $100000.00, with a tax amount of $6152.17, leading to a total amount due of $116891.13. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231003,Purchase,2023-12-31,450000.0,Director,Supervisor,Paid,Bank Transfer,50000.0,S006,Supplier 6,P003,Chemical Product C,9.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 9.0 units at a unit price of $50000.00, totaling $450000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240103001,Administrative Expenses,2024-01-03,18776.65,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $18776.65. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240103001,Administrative Expenses,2024-01-03,32203.0,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $32203.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240103001,Administrative Expenses,2024-01-03,6540.08,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $6540.08. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,388.04,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $388.04. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104007,Sale,2024-01-04,324628.85,,,Paid,,50000.0,,,P003,Chemical Product C,5.0,64925.77,Cash,C015,16231.44,308397.41,250000.0,74628.85,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $64925.77, totaling $324628.85. The cost amount for this transaction was $250000.00, with a tax amount of $16231.44, leading to a total amount due of $308397.41. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240104008,Sale,2024-01-04,35730.78,,,Unpaid,,10000.0,,,P001,Chemical Product A,3.0,11910.26,Account Receviable,C005,1786.54,33944.24,30000.0,5730.78,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $11910.26, totaling $35730.78. The cost amount for this transaction was $30000.00, with a tax amount of $1786.54, leading to a total amount due of $33944.24. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231004,Purchase,2023-12-31,750000.0,Director,Supervisor,Unpaid,Account Payable,50000.0,S008,Supplier 8,P003,Chemical Product C,15.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 15.0 units at a unit price of $50000.00, totaling $750000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Purchase20231231005,Purchase,2023-12-31,1600000.0,Director,Supervisor,Paid,Cash,100000.0,S003,Supplier 3,P004,Chemical Product D,16.0,100000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 16.0 units at a unit price of $100000.00, totaling $1600000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240104001,Administrative Expenses,2024-01-04,22655.83,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $22655.83. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240104001,Administrative Expenses,2024-01-04,5875.54,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $5875.54. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240104001,Administrative Expenses,2024-01-04,8178.75,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $8178.75. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240104001,Administrative Expenses,2024-01-04,35247.21,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $35247.21. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,388.04,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $388.04. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105009,Sale,2024-01-05,13427.66,,,Paid,,10000.0,,,P001,Chemical Product A,1.0,13427.66,Cash,C020,671.38,12756.28,10000.0,3427.66,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $13427.66, totaling $13427.66. The cost amount for this transaction was $10000.00, with a tax amount of $671.38, leading to a total amount due of $12756.28. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231006,Purchase,2023-12-31,100000.0,Director,Supervisor,Paid,Bank Transfer,10000.0,S001,Supplier 1,P001,Chemical Product A,10.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 10.0 units at a unit price of $10000.00, totaling $100000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Purchase20231231007,Purchase,2023-12-31,340000.0,Director,Supervisor,Paid,Bank Transfer,20000.0,S005,Supplier 5,P002,Chemical Product B,17.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 17.0 units at a unit price of $20000.00, totaling $340000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240105001,Administrative Expenses,2024-01-05,47852.57,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $47852.57. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240105001,Sales Expenses,2024-01-05,8548.74,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Sales Expenses, totaling $8548.74. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240105001,Financial Expenses,2024-01-05,44678.92,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Financial Expenses, totaling $44678.92. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240105001,Administrative Expenses,2024-01-05,6887.06,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $6887.06. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,348.88,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $348.88. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106011,Sale,2024-01-06,270861.76,,,Paid,,100000.0,,,P004,Chemical Product D,2.0,135430.88,Cash,C015,13543.09,257318.67,200000.0,70861.76,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $135430.88, totaling $270861.76. The cost amount for this transaction was $200000.00, with a tax amount of $13543.09, leading to a total amount due of $257318.67. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240106012,Sale,2024-01-06,465860.56,,,Paid,,100000.0,,,P004,Chemical Product D,4.0,116465.14,Cash,C020,23293.03,442567.53,400000.0,65860.56,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $116465.14, totaling $465860.56. The cost amount for this transaction was $400000.00, with a tax amount of $23293.03, leading to a total amount due of $442567.53. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240106001,Sales Expenses,2024-01-06,31523.0,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $31523.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240106001,Financial Expenses,2024-01-06,26390.16,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Financial Expenses, totaling $26390.16. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240106001,Administrative Expenses,2024-01-06,21305.3,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $21305.30. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240106001,Sales Expenses,2024-01-06,9816.98,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $9816.98. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,348.88,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $348.88. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107015,Sale,2024-01-07,88931.68,,,Paid,,20000.0,,,P002,Chemical Product B,4.0,22232.92,Cash,C012,4446.58,84485.1,80000.0,8931.68,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $22232.92, totaling $88931.68. The cost amount for this transaction was $80000.00, with a tax amount of $4446.58, leading to a total amount due of $84485.10. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240107016,Sale,2024-01-07,208853.52,,,Paid,,50000.0,,,P003,Chemical Product C,3.0,69617.84,Cash,C015,10442.68,198410.84,150000.0,58853.52,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $69617.84, totaling $208853.52. The cost amount for this transaction was $150000.00, with a tax amount of $10442.68, leading to a total amount due of $198410.84. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231008,Purchase,2023-12-31,300000.0,Director,Supervisor,Paid,Cash,20000.0,S003,Supplier 3,P002,Chemical Product B,15.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 15.0 units at a unit price of $20000.00, totaling $300000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240107001,Financial Expenses,2024-01-07,33797.28,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Financial Expenses, totaling $33797.28. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240107001,Administrative Expenses,2024-01-07,43794.13,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $43794.13. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240107001,Financial Expenses,2024-01-07,45850.5,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Financial Expenses, totaling $45850.50. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,348.88,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $348.88. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108017,Sale,2024-01-08,44600.64,,,Unpaid,,10000.0,,,P001,Chemical Product A,4.0,11150.16,Account Receviable,C001,2230.03,42370.61,40000.0,4600.64,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $11150.16, totaling $44600.64. The cost amount for this transaction was $40000.00, with a tax amount of $2230.03, leading to a total amount due of $42370.61. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240108018,Sale,2024-01-08,626615.25,,,Paid,,100000.0,,,P004,Chemical Product D,5.0,125323.05,Cash,C019,31330.76,595284.49,500000.0,126615.25,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $125323.05, totaling $626615.25. The cost amount for this transaction was $500000.00, with a tax amount of $31330.76, leading to a total amount due of $595284.49. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240108001,Administrative Expenses,2024-01-08,40039.15,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $40039.15. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240108001,Administrative Expenses,2024-01-08,10465.24,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $10465.24. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,348.88,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $348.88. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109019,Sale,2024-01-09,207532.02,,,Paid,,50000.0,,,P003,Chemical Product C,3.0,69177.34,Cash,C009,10376.6,197155.42,150000.0,57532.02,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $69177.34, totaling $207532.02. The cost amount for this transaction was $150000.00, with a tax amount of $10376.60, leading to a total amount due of $197155.42. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240109020,Sale,2024-01-09,75581.34,,,Unpaid,,20000.0,,,P002,Chemical Product B,3.0,25193.78,Account Receviable,C006,3779.07,71802.27,60000.0,15581.34,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $25193.78, totaling $75581.34. The cost amount for this transaction was $60000.00, with a tax amount of $3779.07, leading to a total amount due of $71802.27. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240109001,Administrative Expenses,2024-01-09,23339.78,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $23339.78. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240109001,Financial Expenses,2024-01-09,6468.64,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Financial Expenses, totaling $6468.64. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,348.88,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $348.88. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110021,Sale,2024-01-10,53512.74,,,Paid,,20000.0,,,P002,Chemical Product B,2.0,26756.37,Cash,C018,2675.64,50837.1,40000.0,13512.74,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $26756.37, totaling $53512.74. The cost amount for this transaction was $40000.00, with a tax amount of $2675.64, leading to a total amount due of $50837.10. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240110001,Sales Expenses,2024-01-10,35848.12,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $35848.12. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240110001,Sales Expenses,2024-01-10,20056.39,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $20056.39. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240110001,Administrative Expenses,2024-01-10,44637.38,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $44637.38. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240110001,Administrative Expenses,2024-01-10,43770.11,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $43770.11. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,348.88,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $348.88. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111024,Sale,2024-01-11,226744.92,,,Paid,,50000.0,,,P003,Chemical Product C,4.0,56686.23,Cash,C015,11337.25,215407.67,200000.0,26744.92,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $56686.23, totaling $226744.92. The cost amount for this transaction was $200000.00, with a tax amount of $11337.25, leading to a total amount due of $215407.67. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111025,Sale,2024-01-11,661322.55,,,Unpaid,,100000.0,,,P004,Chemical Product D,5.0,132264.51,Account Receviable,C016,33066.13,628256.42,500000.0,161322.55,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $132264.51, totaling $661322.55. The cost amount for this transaction was $500000.00, with a tax amount of $33066.13, leading to a total amount due of $628256.42. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231009,Purchase,2023-12-31,2700000.0,Director,Supervisor,Paid,Bank Transfer,100000.0,S001,Supplier 1,P004,Chemical Product D,27.0,100000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 27.0 units at a unit price of $100000.00, totaling $2700000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240111001,Administrative Expenses,2024-01-11,15446.63,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $15446.63. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240111001,Sales Expenses,2024-01-11,43153.71,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Sales Expenses, totaling $43153.71. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,108.58,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $108.58. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112027,Sale,2024-01-12,11505.06,,,Paid,,10000.0,,,P001,Chemical Product A,1.0,11505.06,Cash,C011,575.25,10929.81,10000.0,1505.06,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $11505.06, totaling $11505.06. The cost amount for this transaction was $10000.00, with a tax amount of $575.25, leading to a total amount due of $10929.81. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240112028,Sale,2024-01-12,112422.12,,,Paid,,50000.0,,,P003,Chemical Product C,2.0,56211.06,Cash,C013,5621.11,106801.01,100000.0,12422.12,,,"On January 12, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $56211.06, totaling $112422.12. The cost amount for this transaction was $100000.00, with a tax amount of $5621.11, leading to a total amount due of $106801.01. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240112001,Financial Expenses,2024-01-12,9105.26,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Financial Expenses, totaling $9105.26. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240112001,Administrative Expenses,2024-01-12,29132.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $29132.68. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240112001,Administrative Expenses,2024-01-12,25439.35,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $25439.35. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240112001,Financial Expenses,2024-01-12,28285.77,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Financial Expenses, totaling $28285.77. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
