id,recorded_type,recorded_date,recorded_amount,recorded_cost_per_unit,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Purchase20231231003,Purchase,2023-12-31,1000000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,S002,Supplier 2,P001,Heavy Equipment A,2.0,500000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $500000.00, totaling $1000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231004,Purchase,2023-12-31,800000.0,800000.0,Director,Supervisor,Paid,Cash,S010,Supplier 10,P002,Heavy Equipment B,1.0,800000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $800000.00, totaling $800000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240103001,Financial Expenses,2024-01-03,76088.96,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Financial Expenses, totaling $76088.96. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,1246.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $1246.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104001,Sale,2024-01-04,1041848.53,800000.0,,,Unpaid,,,,P002,Heavy Equipment B,1.0,1041848.53,Account Receviable,C014,52092.43,989756.1,800000.0,241848.53,"On January 04, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1041848.53, totaling $1041848.53. The cost amount for this transaction was $800000.00, with a tax amount of $52092.43, leading to a total amount due of $989756.10. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240104001,Administrative Expenses,2024-01-04,90880.3,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $90880.30. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,1246.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $1246.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240105001,Administrative Expenses,2024-01-05,97411.96,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $97411.96. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,1246.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $1246.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231005,Purchase,2023-12-31,2000000.0,1000000.0,Director,Senior Staff,Paid,Bank Transfer,S010,Supplier 10,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1000000.00, totaling $2000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240106001,Administrative Expenses,2024-01-06,13378.52,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $13378.52. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,1068.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $1068.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240107001,Administrative Expenses,2024-01-07,88037.49,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $88037.49. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240107001,Administrative Expenses,2024-01-07,65994.77,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $65994.77. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,1068.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $1068.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108002,Sale,2024-01-08,1378082.08,1000000.0,,,Unpaid,,,,P003,Heavy Equipment C,1.0,1378082.08,Account Receviable,C009,68904.1,1309177.98,1000000.0,378082.08,"On January 08, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1378082.08, totaling $1378082.08. The cost amount for this transaction was $1000000.00, with a tax amount of $68904.10, leading to a total amount due of $1309177.98. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231006,Purchase,2023-12-31,3000000.0,1500000.0,Director,Supervisor,Paid,Bank Transfer,S008,Supplier 8,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1500000.00, totaling $3000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240108001,Administrative Expenses,2024-01-08,24809.95,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $24809.95. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,801.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $801.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109003,Sale,2024-01-09,1488988.96,1000000.0,,,Paid,,,,P003,Heavy Equipment C,1.0,1488988.96,Cash,C019,74449.45,1414539.51,1000000.0,488988.96,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1488988.96, totaling $1488988.96. The cost amount for this transaction was $1000000.00, with a tax amount of $74449.45, leading to a total amount due of $1414539.51. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231007,Purchase,2023-12-31,800000.0,800000.0,Director,Supervisor,Paid,Bank Transfer,S010,Supplier 10,P002,Heavy Equipment B,1.0,800000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $800000.00, totaling $800000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240109001,Administrative Expenses,2024-01-09,71239.16,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $71239.16. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $729.80. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231008,Purchase,2023-12-31,2000000.0,1000000.0,Director,Senior Staff,Paid,Cash,S001,Supplier 1,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1000000.00, totaling $2000000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240110001,Sales Expenses,2024-01-10,49859.26,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $49859.26. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $729.80. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240111001,Administrative Expenses,2024-01-11,55861.96,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $55861.96. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $729.80. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240112001,Administrative Expenses,2024-01-12,79745.09,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $79745.09. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $729.80. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240113005,Sale,2024-01-13,668830.84,500000.0,,,Unpaid,,,,P001,Heavy Equipment A,1.0,668830.84,Account Receviable,C007,33441.54,635389.3,500000.0,168830.84,"On January 13, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $668830.84, totaling $668830.84. The cost amount for this transaction was $500000.00, with a tax amount of $33441.54, leading to a total amount due of $635389.30. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240113001,Administrative Expenses,2024-01-13,49981.5,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Administrative Expenses, totaling $49981.50. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240113001,Sales Expenses,2024-01-13,18888.02,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Sales Expenses, totaling $18888.02. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240113013,Interest Receivables,2024-01-13,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 13, 2024, an invoice was issued for a Interest Receivables, totaling $729.80. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240114007,Sale,2024-01-14,658220.2,500000.0,,,Paid,,,,P001,Heavy Equipment A,1.0,658220.2,Cash,C007,32911.01,625309.19,500000.0,158220.2,"On January 14, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $658220.20, totaling $658220.20. The cost amount for this transaction was $500000.00, with a tax amount of $32911.01, leading to a total amount due of $625309.19. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240114001,Sales Expenses,2024-01-14,85574.08,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Sales Expenses, totaling $85574.08. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240114014,Interest Receivables,2024-01-14,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 14, 2024, an invoice was issued for a Interest Receivables, totaling $729.80. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240115009,Sale,2024-01-15,2106067.17,1500000.0,,,Unpaid,,,,P004,Heavy Equipment D,1.0,2106067.17,Account Receviable,C006,105303.36,2000763.81,1500000.0,606067.17,"On January 15, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2106067.17, totaling $2106067.17. The cost amount for this transaction was $1500000.00, with a tax amount of $105303.36, leading to a total amount due of $2000763.81. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231009,Purchase,2023-12-31,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,S007,Supplier 7,P001,Heavy Equipment A,1.0,500000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $500000.00, totaling $500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240115001,Administrative Expenses,2024-01-15,46342.51,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Administrative Expenses, totaling $46342.51. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240115015,Interest Receivables,2024-01-15,685.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 15, 2024, an invoice was issued for a Interest Receivables, totaling $685.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231010,Purchase,2023-12-31,3000000.0,1500000.0,Director,Senior Staff,Paid,Bank Transfer,S004,Supplier 4,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1500000.00, totaling $3000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240116001,Administrative Expenses,2024-01-16,65029.92,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Administrative Expenses, totaling $65029.92. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240116001,Sales Expenses,2024-01-16,27874.13,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $27874.13. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240116016,Interest Receivables,2024-01-16,418.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 16, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240117001,Sales Expenses,2024-01-17,93224.76,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Sales Expenses, totaling $93224.76. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240117017,Interest Receivables,2024-01-17,418.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 17, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240118012,Sale,2024-01-18,1105445.95,800000.0,,,Paid,,,,P002,Heavy Equipment B,1.0,1105445.95,Cash,C003,55272.3,1050173.65,800000.0,305445.95,"On January 18, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1105445.95, totaling $1105445.95. The cost amount for this transaction was $800000.00, with a tax amount of $55272.30, leading to a total amount due of $1050173.65. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231011,Purchase,2023-12-31,800000.0,800000.0,Director,Senior Staff,Paid,Cash,S005,Supplier 5,P002,Heavy Equipment B,1.0,800000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $800000.00, totaling $800000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240118001,Sales Expenses,2024-01-18,53910.46,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Sales Expenses, totaling $53910.46. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240118018,Interest Receivables,2024-01-18,418.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 18, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240119014,Sale,2024-01-19,2200530.42,1500000.0,,,Unpaid,,,,P004,Heavy Equipment D,1.0,2200530.42,Account Receviable,C002,110026.52,2090503.9,1500000.0,700530.42,"On January 19, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2200530.42, totaling $2200530.42. The cost amount for this transaction was $1500000.00, with a tax amount of $110026.52, leading to a total amount due of $2090503.90. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240119001,Financial Expenses,2024-01-19,18332.13,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Financial Expenses, totaling $18332.13. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240119019,Interest Receivables,2024-01-19,418.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 19, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240120015,Sale,2024-01-20,1497917.1,1000000.0,,,Unpaid,,,,P003,Heavy Equipment C,1.0,1497917.1,Account Receviable,C013,74895.86,1423021.24,1000000.0,497917.1,"On January 20, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1497917.10, totaling $1497917.10. The cost amount for this transaction was $1000000.00, with a tax amount of $74895.86, leading to a total amount due of $1423021.24. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240120001,Sales Expenses,2024-01-20,25333.67,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Sales Expenses, totaling $25333.67. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240120020,Interest Receivables,2024-01-20,418.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 20, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240121001,Administrative Expenses,2024-01-21,90283.2,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Administrative Expenses, totaling $90283.20. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240121001,Sales Expenses,2024-01-21,72579.27,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Sales Expenses, totaling $72579.27. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240121021,Interest Receivables,2024-01-21,418.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 21, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240122018,Sale,2024-01-22,1068710.96,800000.0,,,Paid,,,,P002,Heavy Equipment B,1.0,1068710.96,Cash,C014,53435.55,1015275.41,800000.0,268710.96,"On January 22, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1068710.96, totaling $1068710.96. The cost amount for this transaction was $800000.00, with a tax amount of $53435.55, leading to a total amount due of $1015275.41. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240122001,Administrative Expenses,2024-01-22,18733.38,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Administrative Expenses, totaling $18733.38. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240122022,Interest Receivables,2024-01-22,418.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 22, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240123001,Administrative Expenses,2024-01-23,13318.53,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Administrative Expenses, totaling $13318.53. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240123001,Sales Expenses,2024-01-23,85331.02,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Sales Expenses, totaling $85331.02. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240123023,Interest Receivables,2024-01-23,418.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 23, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240124001,Administrative Expenses,2024-01-24,95847.49,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Administrative Expenses, totaling $95847.49. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240124001,Administrative Expenses,2024-01-24,40274.43,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Administrative Expenses, totaling $40274.43. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240124024,Interest Receivables,2024-01-24,418.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 24, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240125020,Sale,2024-01-25,1328171.21,1000000.0,,,Unpaid,,,,P003,Heavy Equipment C,1.0,1328171.21,Account Receviable,C001,66408.56,1261762.65,1000000.0,328171.21,"On January 25, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1328171.21, totaling $1328171.21. The cost amount for this transaction was $1000000.00, with a tax amount of $66408.56, leading to a total amount due of $1261762.65. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240125001,Administrative Expenses,2024-01-25,21473.78,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 25, 2024, an invoice was issued for a Administrative Expenses, totaling $21473.78. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240125001,Sales Expenses,2024-01-25,37217.3,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 25, 2024, an invoice was issued for a Sales Expenses, totaling $37217.30. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240125025,Interest Receivables,2024-01-25,418.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 25, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231012,Purchase,2023-12-31,1600000.0,800000.0,Director,Senior Staff,Paid,Bank Transfer,S009,Supplier 9,P002,Heavy Equipment B,2.0,800000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $800000.00, totaling $1600000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240126001,Administrative Expenses,2024-01-26,64584.16,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Administrative Expenses, totaling $64584.16. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240126001,Financial Expenses,2024-01-26,75582.46,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Financial Expenses, totaling $75582.46. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240126026,Interest Receivables,2024-01-26,275.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 26, 2024, an invoice was issued for a Interest Receivables, totaling $275.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
