id,type,date,recorded_date,amount,recorded_amount,payment/receipt_status,payment_method,approver,preparer,receive_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Purchase20231231009,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Paid,Cash,Director,Senior Staff,,100000.0,S010,Supplier 10,S004,Enterprise Solution,3.0,100000.0,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,16185.87,16185.87,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,6956.35,6956.35,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,442.152,442.152,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240113025,Sale,2024-01-13,2024-01-13,243421.11,243421.11,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,243421.11,C004,12171.06,231250.05,100000.0,143421.11
Sale20240113026,Sale,2024-01-13,2024-01-13,56881.9,56881.9,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,56881.9,C020,2844.1,54037.8,20000.0,36881.9
Purchase20231231010,Purchase,2023-12-31,2023-12-31,3000.0,3000.0,Paid,Bank Transfer,Director,Supervisor,,1000.0,S010,Supplier 10,S001,Basic Consulting,3.0,1000.0,,,,,
Purchase20231231011,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Paid,Bank Transfer,Director,Supervisor,,100000.0,S003,Supplier 3,S004,Enterprise Solution,2.0,100000.0,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,11218.42,11218.42,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,424.085,424.085,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240114028,Sale,2024-01-14,2024-01-14,2429.09,2429.09,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2429.09,C015,121.45,2307.64,1000.0,1429.0900000000001
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,14999.27,14999.27,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,424.085,424.085,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240115029,Sale,2024-01-15,2024-01-15,2609.23,2609.23,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2609.23,C011,130.46,2478.77,1000.0,1609.23
Sale20240115030,Sale,2024-01-15,2024-01-15,2079.52,2079.52,Paid,,,,Cash,1000.0,,,S001,Basic Consulting,1.0,2079.52,C005,103.98,1975.54,1000.0,1079.52
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,7625.62,7625.62,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,424.085,424.085,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240116032,Sale,2024-01-16,2024-01-16,238386.76,238386.76,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,238386.76,C010,11919.34,226467.42,100000.0,138386.76
Sale20240116033,Sale,2024-01-16,2024-01-16,262369.8,262369.8,Paid,,,,Cash,100000.0,,,S004,Enterprise Solution,1.0,262369.8,C004,13118.49,249251.31,100000.0,162369.8
Purchase20231231012,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Paid,Bank Transfer,Director,Supervisor,,20000.0,S004,Supplier 4,S003,Premium Consulting,1.0,20000.0,,,,,
Expense20240116001,Financial Expenses,2024-01-16,2024-01-16,15552.4,15552.4,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,18183.56,18183.56,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,422.30499999999995,422.30499999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240117035,Sale,2024-01-17,2024-01-17,188628.1,188628.1,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,188628.1,C010,9431.41,179196.69,100000.0,88628.1
Purchase20231231013,Purchase,2023-12-31,2023-12-31,10000.0,10000.0,Paid,Bank Transfer,Director,Supervisor,,5000.0,S005,Supplier 5,S002,Standard Consulting,2.0,5000.0,,,,,
Purchase20231231014,Purchase,2023-12-31,2023-12-31,15000.0,15000.0,Paid,Cash,Director,Staff,,5000.0,S004,Supplier 4,S002,Standard Consulting,3.0,5000.0,,,,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,8139.11,8139.11,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240117001,Administrative Expenses,2024-01-17,2024-01-17,19782.71,19782.71,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,421.41499999999996,421.41499999999996,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240118037,Sale,2024-01-18,2024-01-18,47468.64,47468.64,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,47468.64,C018,2373.43,45095.21,20000.0,27468.64
Sale20240118038,Sale,2024-01-18,2024-01-18,196674.49,196674.49,Paid,,,,Cash,100000.0,,,S004,Enterprise Solution,1.0,196674.49,C011,9833.72,186840.77,100000.0,96674.48999999999
Purchase20231231015,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Paid,Bank Transfer,Director,Staff,,20000.0,S002,Supplier 2,S003,Premium Consulting,1.0,20000.0,,,,,
Purchase20231231016,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Unpaid,Account Payable,Director,Supervisor,,100000.0,S004,Supplier 4,S004,Enterprise Solution,2.0,100000.0,,,,,
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,18791.29,18791.29,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240119040,Sale,2024-01-19,2024-01-19,53996.18,53996.18,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,53996.18,C009,2699.81,51296.37,20000.0,33996.18
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,16577.94,16577.94,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Expense20240119001,Administrative Expenses,2024-01-19,2024-01-19,10111.54,10111.54,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240120042,Sale,2024-01-20,2024-01-20,275321.52,275321.52,Paid,,,,Cash,100000.0,,,S004,Enterprise Solution,1.0,275321.52,C002,13766.08,261555.44,100000.0,175321.52000000002
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,9285.32,9285.32,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,19721.98,19721.98,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231017,Purchase,2023-12-31,2023-12-31,1000.0,1000.0,Paid,Cash,Director,Senior Staff,,1000.0,S004,Supplier 4,S001,Basic Consulting,1.0,1000.0,,,,,
Expense20240121001,Administrative Expenses,2024-01-21,2024-01-21,17283.46,17283.46,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240122045,Sale,2024-01-22,2024-01-22,14983.4,14983.4,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,14983.4,C018,749.17,14234.23,5000.0,9983.4
Sale20240122046,Sale,2024-01-22,2024-01-22,2183.74,2183.74,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2183.74,C003,109.19,2074.55,1000.0,1183.7399999999998
Sale20240122047,Sale,2024-01-22,2024-01-22,235721.4,235721.4,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,235721.4,C008,11786.07,223935.33,100000.0,135721.4
Purchase20231231018,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Paid,Cash,Director,Staff,,100000.0,S007,Supplier 7,S004,Enterprise Solution,2.0,100000.0,,,,,
Purchase20231231019,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Paid,Cash,Director,Staff,,100000.0,S010,Supplier 10,S004,Enterprise Solution,3.0,100000.0,,,,,
Expense20240122001,Financial Expenses,2024-01-22,2024-01-22,5817.31,5817.31,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240123048,Sale,2024-01-23,2024-01-23,37127.6,37127.6,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,37127.6,C005,1856.38,35271.22,20000.0,17127.6
Expense20240123001,Financial Expenses,2024-01-23,2024-01-23,13328.23,13328.23,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240124001,Sales Expenses,2024-01-24,2024-01-24,12101.39,12101.39,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240125050,Sale,2024-01-25,2024-01-25,188276.27,188276.27,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,188276.27,C020,9413.81,178862.46,100000.0,88276.26999999999
Sale20240125051,Sale,2024-01-25,2024-01-25,219979.17,219979.17,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,219979.17,C009,10998.96,208980.21,100000.0,119979.17000000001
Expense20240125001,Sales Expenses,2024-01-25,2024-01-25,13067.33,13067.33,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Expense20240125001,Sales Expenses,2024-01-25,2024-01-25,10616.52,10616.52,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240125025,Interest Receivables,2024-01-25,2024-01-25,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,17487.41,17487.41,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240126026,Interest Receivables,2024-01-26,2024-01-26,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240127055,Sale,2024-01-27,2024-01-27,38345.45,38345.45,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,38345.45,C014,1917.27,36428.18,20000.0,18345.449999999997
Sale20240127056,Sale,2024-01-27,2024-01-27,260110.69,260110.69,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,260110.69,C003,13005.53,247105.16,100000.0,160110.69
Sale20240127057,Sale,2024-01-27,2024-01-27,14594.57,14594.57,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,14594.57,C004,729.73,13864.84,5000.0,9594.57
Expense20240127001,Sales Expenses,2024-01-27,2024-01-27,4377.51,4377.51,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240127001,Financial Expenses,2024-01-27,2024-01-27,14631.91,14631.91,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Interest20240127027,Interest Receivables,2024-01-27,2024-01-27,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231020,Purchase,2023-12-31,2023-12-31,40000.0,40000.0,Unpaid,Account Payable,Director,Supervisor,,20000.0,S006,Supplier 6,S003,Premium Consulting,2.0,20000.0,,,,,
Expense20240128001,Financial Expenses,2024-01-28,2024-01-28,19930.48,19930.48,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Expense20240128001,Sales Expenses,2024-01-28,2024-01-28,5863.41,5863.41,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240128028,Interest Receivables,2024-01-28,2024-01-28,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240129060,Sale,2024-01-29,2024-01-29,9882.1,9882.1,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,9882.1,C018,494.11,9387.99,5000.0,4882.1
Expense20240129001,Sales Expenses,2024-01-29,2024-01-29,13772.83,13772.83,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Interest20240129029,Interest Receivables,2024-01-29,2024-01-29,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240130001,Administrative Expenses,2024-01-30,2024-01-30,8231.46,8231.46,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240130001,Administrative Expenses,2024-01-30,2024-01-30,15204.39,15204.39,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240130030,Interest Receivables,2024-01-30,2024-01-30,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240131001,Sales Expenses,2024-01-31,2024-01-31,15276.33,15276.33,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Interest20240131031,Interest Receivables,2024-01-31,2024-01-31,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240201001,Administrative Expenses,2024-02-01,2024-02-01,11100.38,11100.38,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Depreciation20240201002,Depreciation,2024-02-01,2024-02-01,45751.600000000006,45751.600000000006,,,,,,,,,,,,,,,,,
Interest20240201032,Interest Receivables,2024-02-01,2024-02-01,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240202063,Sale,2024-02-02,2024-02-02,55970.73,55970.73,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,55970.73,C014,2798.54,53172.19,20000.0,35970.73
Sale20240202064,Sale,2024-02-02,2024-02-02,252980.66,252980.66,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,252980.66,C006,12649.03,240331.63,100000.0,152980.66
Purchase20231231021,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Paid,Cash,Director,Senior Staff,,20000.0,S004,Supplier 4,S003,Premium Consulting,1.0,20000.0,,,,,
Expense20240202001,Administrative Expenses,2024-02-02,2024-02-02,3768.56,3768.56,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240202033,Interest Receivables,2024-02-02,2024-02-02,419.635,419.635,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240203065,Sale,2024-02-03,2024-02-03,56428.5,56428.5,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,56428.5,C008,2821.43,53607.07,20000.0,36428.5
Purchase20231231022,Purchase,2023-12-31,2023-12-31,1000.0,1000.0,Paid,Bank Transfer,Director,Senior Staff,,1000.0,S005,Supplier 5,S001,Basic Consulting,1.0,1000.0,,,,,
Expense20240203001,Sales Expenses,2024-02-03,2024-02-03,2285.8,2285.8,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Expense20240203001,Sales Expenses,2024-02-03,2024-02-03,7952.47,7952.47,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Interest20240203034,Interest Receivables,2024-02-03,2024-02-03,419.546,419.546,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240204068,Sale,2024-02-04,2024-02-04,14640.33,14640.33,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,14640.33,C011,732.02,13908.31,5000.0,9640.33
Sale20240204069,Sale,2024-02-04,2024-02-04,55666.23,55666.23,Paid,,,,Cash,20000.0,,,S003,Premium Consulting,1.0,55666.23,C018,2783.31,52882.92,20000.0,35666.23
Expense20240204001,Administrative Expenses,2024-02-04,2024-02-04,3715.6,3715.6,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240204001,Administrative Expenses,2024-02-04,2024-02-04,11844.44,11844.44,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Interest20240204035,Interest Receivables,2024-02-04,2024-02-04,419.546,419.546,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240205070,Sale,2024-02-05,2024-02-05,9420.62,9420.62,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,9420.62,C018,471.03,8949.59,5000.0,4420.620000000001
Sale20240205071,Sale,2024-02-05,2024-02-05,235793.4,235793.4,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,235793.4,C008,11789.67,224003.73,100000.0,135793.4
Sale20240205072,Sale,2024-02-05,2024-02-05,1907.49,1907.49,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,1907.49,C009,95.37,1812.12,1000.0,907.49
Expense20240205001,Administrative Expenses,2024-02-05,2024-02-05,2046.68,2046.68,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Expense20240205001,Sales Expenses,2024-02-05,2024-02-05,10735.31,10735.31,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Interest20240205036,Interest Receivables,2024-02-05,2024-02-05,419.546,419.546,Unpaid,,,,Interest receviable,,,,,,,,,,,,
