id,recorded_type,recorded_date,recorded_amount,recorded_payment/receipt_status,recorded_payment_method,recorded_approver,recorded_preparer,recorded_receive_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Interest20240102002,Interest Receivables,2024-01-02,445.0,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103004,Sale,2024-01-03,2702.73,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2702.73,C019,135.14,2567.59,1000.0,1702.73,"On January 03, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2702.73, totaling $2702.73. The cost amount for this transaction was $1000.00, with a tax amount of $135.14, leading to a total amount due of $2567.59. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240103001,Administrative Expenses,2024-01-03,18579.64,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $18579.64. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240103001,Administrative Expenses,2024-01-03,7334.11,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $7334.11. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,445.0,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104005,Sale,2024-01-04,2767.58,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2767.58,C001,138.38,2629.2,1000.0,1767.58,"On January 04, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2767.58, totaling $2767.58. The cost amount for this transaction was $1000.00, with a tax amount of $138.38, leading to a total amount due of $2629.20. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231002,Purchase,2023-12-31,1000.0,Paid,Bank Transfer,Director,Supervisor,,1000.0,S008,Supplier 8,S001,Basic Consulting,1.0,1000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1000.00, totaling $1000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240104001,Sales Expenses,2024-01-04,17872.03,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $17872.03. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,444.91,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $444.91. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105007,Sale,2024-01-05,2029.81,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2029.81,C004,101.49,1928.32,1000.0,1029.81,"On January 05, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2029.81, totaling $2029.81. The cost amount for this transaction was $1000.00, with a tax amount of $101.49, leading to a total amount due of $1928.32. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231003,Purchase,2023-12-31,200000.0,Paid,Cash,Director,Supervisor,,100000.0,S001,Supplier 1,S004,Enterprise Solution,2.0,100000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $100000.00, totaling $200000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240105001,Administrative Expenses,2024-01-05,2928.4,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $2928.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240105001,Sales Expenses,2024-01-05,14588.99,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Sales Expenses, totaling $14588.99. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,444.91,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $444.91. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106009,Sale,2024-01-06,187782.17,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,187782.17,C015,9389.11,178393.06,100000.0,87782.17,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $187782.17, totaling $187782.17. The cost amount for this transaction was $100000.00, with a tax amount of $9389.11, leading to a total amount due of $178393.06. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240106010,Sale,2024-01-06,246016.59,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,246016.59,C008,12300.83,233715.76,100000.0,146016.59,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $246016.59, totaling $246016.59. The cost amount for this transaction was $100000.00, with a tax amount of $12300.83, leading to a total amount due of $233715.76. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240106001,Sales Expenses,2024-01-06,8281.46,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $8281.46. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,444.91,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $444.91. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231004,Purchase,2023-12-31,1000.0,Paid,Bank Transfer,Director,Supervisor,,1000.0,S004,Supplier 4,S001,Basic Consulting,1.0,1000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1000.00, totaling $1000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240107001,Sales Expenses,2024-01-07,5212.63,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Sales Expenses, totaling $5212.63. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240107001,Sales Expenses,2024-01-07,4613.02,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Sales Expenses, totaling $4613.02. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,444.82,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $444.82. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108014,Sale,2024-01-08,2945.74,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2945.74,C011,147.29,2798.45,1000.0,1945.74,"On January 08, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2945.74, totaling $2945.74. The cost amount for this transaction was $1000.00, with a tax amount of $147.29, leading to a total amount due of $2798.45. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231005,Purchase,2023-12-31,20000.0,Paid,Bank Transfer,Director,Staff,,20000.0,S002,Supplier 2,S003,Premium Consulting,1.0,20000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $20000.00, totaling $20000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231006,Purchase,2023-12-31,10000.0,Paid,Bank Transfer,Director,Supervisor,,5000.0,S009,Supplier 9,S002,Standard Consulting,2.0,5000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $5000.00, totaling $10000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240108001,Sales Expenses,2024-01-08,11443.14,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Sales Expenses, totaling $11443.14. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,442.15,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $442.15. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109016,Sale,2024-01-09,12978.64,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,12978.64,C005,648.93,12329.71,5000.0,7978.64,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $12978.64, totaling $12978.64. The cost amount for this transaction was $5000.00, with a tax amount of $648.93, leading to a total amount due of $12329.71. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240109017,Sale,2024-01-09,45008.76,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,45008.76,C009,2250.44,42758.32,20000.0,25008.76,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $45008.76, totaling $45008.76. The cost amount for this transaction was $20000.00, with a tax amount of $2250.44, leading to a total amount due of $42758.32. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240109018,Sale,2024-01-09,14240.87,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,14240.87,C015,712.04,13528.83,5000.0,9240.87,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $14240.87, totaling $14240.87. The cost amount for this transaction was $5000.00, with a tax amount of $712.04, leading to a total amount due of $13528.83. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231007,Purchase,2023-12-31,60000.0,Unpaid,Account Payable,Director,Senior Staff,,20000.0,S004,Supplier 4,S003,Premium Consulting,3.0,20000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $20000.00, totaling $60000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240109001,Financial Expenses,2024-01-09,12133.89,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Financial Expenses, totaling $12133.89. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,442.15,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $442.15. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110019,Sale,2024-01-10,57557.94,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,57557.94,C014,2877.9,54680.04,20000.0,37557.94,"On January 10, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $57557.94, totaling $57557.94. The cost amount for this transaction was $20000.00, with a tax amount of $2877.90, leading to a total amount due of $54680.04. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240110020,Sale,2024-01-10,55647.55,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,55647.55,C015,2782.38,52865.17,20000.0,35647.55,"On January 10, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $55647.55, totaling $55647.55. The cost amount for this transaction was $20000.00, with a tax amount of $2782.38, leading to a total amount due of $52865.17. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240110001,Sales Expenses,2024-01-10,17779.73,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $17779.73. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,442.15,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $442.15. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111022,Sale,2024-01-11,52476.83,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,52476.83,C003,2623.84,49852.99,20000.0,32476.83,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $52476.83, totaling $52476.83. The cost amount for this transaction was $20000.00, with a tax amount of $2623.84, leading to a total amount due of $49852.99. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240111001,Sales Expenses,2024-01-11,3937.02,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Sales Expenses, totaling $3937.02. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,442.15,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $442.15. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231008,Purchase,2023-12-31,60000.0,Paid,Cash,Director,Staff,,20000.0,S007,Supplier 7,S003,Premium Consulting,3.0,20000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $20000.00, totaling $60000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Purchase20231231009,Purchase,2023-12-31,300000.0,Paid,Cash,Director,Senior Staff,,100000.0,S010,Supplier 10,S004,Enterprise Solution,3.0,100000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $100000.00, totaling $300000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240112001,Administrative Expenses,2024-01-12,16185.87,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $16185.87. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240112001,Sales Expenses,2024-01-12,6956.35,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Sales Expenses, totaling $6956.35. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,442.15,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $442.15. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240113025,Sale,2024-01-13,243421.11,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,243421.11,C004,12171.06,231250.05,100000.0,143421.11,"On January 13, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $243421.11, totaling $243421.11. The cost amount for this transaction was $100000.00, with a tax amount of $12171.06, leading to a total amount due of $231250.05. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240113026,Sale,2024-01-13,56881.9,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,56881.9,C020,2844.1,54037.8,20000.0,36881.9,"On January 13, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $56881.90, totaling $56881.90. The cost amount for this transaction was $20000.00, with a tax amount of $2844.10, leading to a total amount due of $54037.80. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231010,Purchase,2023-12-31,3000.0,Paid,Bank Transfer,Director,Supervisor,,1000.0,S010,Supplier 10,S001,Basic Consulting,3.0,1000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $1000.00, totaling $3000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Purchase20231231011,Purchase,2023-12-31,200000.0,Paid,Bank Transfer,Director,Supervisor,,100000.0,S003,Supplier 3,S004,Enterprise Solution,2.0,100000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $100000.00, totaling $200000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240113001,Sales Expenses,2024-01-13,11218.42,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Sales Expenses, totaling $11218.42. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240113013,Interest Receivables,2024-01-13,424.08,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Interest Receivables, totaling $424.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240114028,Sale,2024-01-14,2429.09,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2429.09,C015,121.45,2307.64,1000.0,1429.09,"On January 14, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2429.09, totaling $2429.09. The cost amount for this transaction was $1000.00, with a tax amount of $121.45, leading to a total amount due of $2307.64. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240114001,Administrative Expenses,2024-01-14,14999.27,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Administrative Expenses, totaling $14999.27. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240114014,Interest Receivables,2024-01-14,424.08,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Interest Receivables, totaling $424.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240115029,Sale,2024-01-15,2609.23,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2609.23,C011,130.46,2478.77,1000.0,1609.23,"On January 15, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2609.23, totaling $2609.23. The cost amount for this transaction was $1000.00, with a tax amount of $130.46, leading to a total amount due of $2478.77. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240115030,Sale,2024-01-15,2079.52,Paid,,,,Cash,1000.0,,,S001,Basic Consulting,1.0,2079.52,C005,103.98,1975.54,1000.0,1079.52,"On January 15, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2079.52, totaling $2079.52. The cost amount for this transaction was $1000.00, with a tax amount of $103.98, leading to a total amount due of $1975.54. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240115001,Sales Expenses,2024-01-15,7625.62,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Sales Expenses, totaling $7625.62. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240115015,Interest Receivables,2024-01-15,424.08,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Interest Receivables, totaling $424.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240116032,Sale,2024-01-16,238386.76,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,238386.76,C010,11919.34,226467.42,100000.0,138386.76,"On January 16, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $238386.76, totaling $238386.76. The cost amount for this transaction was $100000.00, with a tax amount of $11919.34, leading to a total amount due of $226467.42. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240116033,Sale,2024-01-16,262369.8,Paid,,,,Cash,100000.0,,,S004,Enterprise Solution,1.0,262369.8,C004,13118.49,249251.31,100000.0,162369.8,"On January 16, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $262369.80, totaling $262369.80. The cost amount for this transaction was $100000.00, with a tax amount of $13118.49, leading to a total amount due of $249251.31. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231012,Purchase,2023-12-31,20000.0,Paid,Bank Transfer,Director,Supervisor,,20000.0,S004,Supplier 4,S003,Premium Consulting,1.0,20000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $20000.00, totaling $20000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240116001,Financial Expenses,2024-01-16,15552.4,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Financial Expenses, totaling $15552.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240116001,Sales Expenses,2024-01-16,18183.56,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $18183.56. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240116016,Interest Receivables,2024-01-16,422.3,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Interest Receivables, totaling $422.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240117035,Sale,2024-01-17,188628.1,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,188628.1,C010,9431.41,179196.69,100000.0,88628.1,"On January 17, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $188628.10, totaling $188628.10. The cost amount for this transaction was $100000.00, with a tax amount of $9431.41, leading to a total amount due of $179196.69. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231013,Purchase,2023-12-31,10000.0,Paid,Bank Transfer,Director,Supervisor,,5000.0,S005,Supplier 5,S002,Standard Consulting,2.0,5000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $5000.00, totaling $10000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Purchase20231231014,Purchase,2023-12-31,15000.0,Paid,Cash,Director,Staff,,5000.0,S004,Supplier 4,S002,Standard Consulting,3.0,5000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $5000.00, totaling $15000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240117001,Sales Expenses,2024-01-17,8139.11,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Sales Expenses, totaling $8139.11. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240117001,Administrative Expenses,2024-01-17,19782.71,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Administrative Expenses, totaling $19782.71. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240117017,Interest Receivables,2024-01-17,421.42,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Interest Receivables, totaling $421.42. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240118037,Sale,2024-01-18,47468.64,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,47468.64,C018,2373.43,45095.21,20000.0,27468.64,"On January 18, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $47468.64, totaling $47468.64. The cost amount for this transaction was $20000.00, with a tax amount of $2373.43, leading to a total amount due of $45095.21. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
