id,type,date,recorded_date,amount,recorded_amount,cost_per_unit,approver,preparer,payment/receipt_status,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Purchase20231231011,Purchase,2023-12-31,2023-12-31,163500.0,163500.0,1500.0,Director,Supervisor,Unpaid,Account Payable,S003,Supplier 3,R001,Standard Room,109.0,1500.0,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,447.47,447.47,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,409.54,409.54,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,445.0,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240108025,Sale,2024-01-08,2024-01-08,13103.7,13103.7,2000.0,,,Paid,,,,R002,Business Room,5.0,2620.74,Cash,C015,655.19,12448.51,10000.0,3103.7000000000007,,
Sale20240108026,Sale,2024-01-08,2024-01-08,13470.45,13470.45,2000.0,,,Paid,,,,R002,Business Room,5.0,2694.09,Cash,C018,673.52,12796.93,10000.0,3470.4500000000007,,
Sale20240108027,Sale,2024-01-08,2024-01-08,2322.9,2322.9,350.0,,,Paid,,,,F002,Business Meal Set,5.0,464.58,Cash,C011,116.15,2206.75,1750.0,572.9000000000001,,
Purchase20231231012,Purchase,2023-12-31,2023-12-31,235500.0,235500.0,1500.0,Director,Supervisor,Unpaid,Account Payable,S004,Supplier 4,R001,Standard Room,157.0,1500.0,,,,,,,,
Purchase20231231013,Purchase,2023-12-31,2023-12-31,466560.0,466560.0,2880.0,Director,Staff,Unpaid,Account Payable,S009,Supplier 9,F004,Banquet Set,162.0,2880.0,,,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,836.94,836.94,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,445.0,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240109028,Sale,2024-01-09,2024-01-09,5847.04,5847.04,2000.0,,,Paid,,,,R002,Business Room,2.0,2923.52,Cash,C020,292.35,5554.69,4000.0,1847.04,,
Sale20240109029,Sale,2024-01-09,2024-01-09,10265.88,10265.88,1500.0,,,Unpaid,,,,R001,Standard Room,4.0,2566.47,Account Receviable,C011,513.29,9752.59,6000.0,4265.879999999999,,
Purchase20231231014,Purchase,2023-12-31,2023-12-31,34500.0,34500.0,150.0,Director,Staff,Paid,Bank Transfer,S003,Supplier 3,F001,Quick Meal Set,230.0,150.0,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,486.04,486.04,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,441.92949999999996,441.92949999999996,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240110030,Sale,2024-01-10,2024-01-10,20314.8,20314.8,2880.0,,,Unpaid,,,,F004,Banquet Set,4.0,5078.7,Account Receviable,C011,1015.74,19299.06,11520.0,8794.8,,
Sale20240110031,Sale,2024-01-10,2024-01-10,1783.05,1783.05,350.0,,,Paid,,,,F002,Business Meal Set,3.0,594.35,Cash,C016,89.15,1693.9,1050.0,733.05,,
Sale20240110032,Sale,2024-01-10,2024-01-10,2874.65,2874.65,350.0,,,Paid,,,,F002,Business Meal Set,5.0,574.93,Cash,C007,143.73,2730.92,1750.0,1124.65,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,174.86,174.86,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,628.33,628.33,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,441.92949999999996,441.92949999999996,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240111033,Sale,2024-01-11,2024-01-11,4479.0,4479.0,1500.0,,,Paid,,,,R001,Standard Room,2.0,2239.5,Cash,C020,223.95,4255.05,3000.0,1479.0,,
Sale20240111034,Sale,2024-01-11,2024-01-11,9977.8,9977.8,2880.0,,,Paid,,,,F004,Banquet Set,2.0,4988.9,Cash,C012,498.89,9478.91,5760.0,4217.799999999999,,
Sale20240111035,Sale,2024-01-11,2024-01-11,2049.8,2049.8,350.0,,,Paid,,,,F002,Business Meal Set,4.0,512.45,Cash,C006,102.49,1947.31,1400.0,649.8000000000002,,
Sale20240111036,Sale,2024-01-11,2024-01-11,960.3,960.3,350.0,,,Unpaid,,,,F002,Business Meal Set,2.0,480.15,Account Receviable,C005,48.02,912.28,700.0,260.29999999999995,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,830405.75,830405.75,,,,Paid,Bank Transfer,S003,Supplier 3,,,,,,,,,,,Central AC4,Central AC
Purchase20231231015,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,5000.0,Director,Staff,Unpaid,Account Payable,S007,Supplier 7,R003,Luxury Suite,160.0,5000.0,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,246.77,246.77,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240111001,Sales Expenses,2024-01-11,2024-01-11,857.31,857.31,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240112038,Sale,2024-01-12,2024-01-12,581.85,581.85,350.0,,,Unpaid,,,,F002,Business Meal Set,1.0,581.85,Account Receviable,C012,29.09,552.76,350.0,231.85000000000002,,
Sale20240112039,Sale,2024-01-12,2024-01-12,19786.05,19786.05,5000.0,,,Unpaid,,,,R003,Luxury Suite,3.0,6595.35,Account Receviable,C006,989.3,18796.75,15000.0,4786.049999999999,,
Sale20240112040,Sale,2024-01-12,2024-01-12,9606.88,9606.88,1500.0,,,Paid,,,,R001,Standard Room,4.0,2401.72,Cash,C014,480.34,9126.54,6000.0,3606.879999999999,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,510.64,510.64,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240113041,Sale,2024-01-13,2024-01-13,20956.55,20956.55,2880.0,,,Unpaid,,,,F004,Banquet Set,5.0,4191.31,Account Receviable,C004,1047.83,19908.72,14400.0,6556.549999999999,,
Sale20240113042,Sale,2024-01-13,2024-01-13,11707.29,11707.29,2880.0,,,Unpaid,,,,F004,Banquet Set,3.0,3902.43,Account Receviable,C013,585.36,11121.93,8640.0,3067.290000000001,,
Purchase20231231016,Purchase,2023-12-31,2023-12-31,685000.0,685000.0,5000.0,Director,Supervisor,Unpaid,Account Payable,S001,Supplier 1,R003,Luxury Suite,137.0,5000.0,,,,,,,,
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,356.36,356.36,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240114043,Sale,2024-01-14,2024-01-14,9722.64,9722.64,2880.0,,,Paid,,,,F004,Banquet Set,2.0,4861.32,Cash,C003,486.13,9236.51,5760.0,3962.6399999999994,,
Sale20240114044,Sale,2024-01-14,2024-01-14,577.85,577.85,350.0,,,Unpaid,,,,F002,Business Meal Set,1.0,577.85,Account Receviable,C016,28.89,548.96,350.0,227.85000000000002,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,844.54,844.54,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,403.06,403.06,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240115045,Sale,2024-01-15,2024-01-15,13883.0,13883.0,2000.0,,,Paid,,,,R002,Business Room,4.0,3470.75,Cash,C012,694.15,13188.85,8000.0,5883.0,,
Sale20240115046,Sale,2024-01-15,2024-01-15,10161.65,10161.65,1500.0,,,Unpaid,,,,R001,Standard Room,5.0,2032.33,Account Receviable,C015,508.08,9653.57,7500.0,2661.6499999999996,,
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,406.7,406.7,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240116047,Sale,2024-01-16,2024-01-16,9515.67,9515.67,2000.0,,,Unpaid,,,,R002,Business Room,3.0,3171.89,Account Receviable,C019,475.78,9039.89,6000.0,3515.67,,
Sale20240116048,Sale,2024-01-16,2024-01-16,201.87,201.87,150.0,,,Paid,,,,F001,Quick Meal Set,1.0,201.87,Cash,C014,10.09,191.78,150.0,51.870000000000005,,
Sale20240116049,Sale,2024-01-16,2024-01-16,1774.83,1774.83,350.0,,,Paid,,,,F002,Business Meal Set,3.0,591.61,Cash,C007,88.74,1686.09,1050.0,724.8299999999999,,
Sale20240116050,Sale,2024-01-16,2024-01-16,2525.37,2525.37,1500.0,,,Unpaid,,,,R001,Standard Room,1.0,2525.37,Account Receviable,C019,126.27,2399.1,1500.0,1025.37,,
Expense20240116001,Administrative Expenses,2024-01-16,2024-01-16,155.2,155.2,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240117051,Sale,2024-01-17,2024-01-17,8568.02,8568.02,5000.0,,,Paid,,,,R003,Luxury Suite,1.0,8568.02,Cash,C014,428.4,8139.62,5000.0,3568.0200000000004,,
Sale20240117052,Sale,2024-01-17,2024-01-17,15872.25,15872.25,2000.0,,,Paid,,,,R002,Business Room,5.0,3174.45,Cash,C010,793.61,15078.64,10000.0,5872.25,,
Sale20240117053,Sale,2024-01-17,2024-01-17,18815.8,18815.8,2880.0,,,Paid,,,,F004,Banquet Set,5.0,3763.16,Cash,C016,940.79,17875.01,14400.0,4415.799999999999,,
Purchase20231231017,Purchase,2023-12-31,2023-12-31,78400.0,78400.0,350.0,Director,Staff,Unpaid,Account Payable,S008,Supplier 8,F002,Business Meal Set,224.0,350.0,,,,,,,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,416.55,416.55,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,554.62,554.62,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240118056,Sale,2024-01-18,2024-01-18,1179.08,1179.08,350.0,,,Paid,,,,F002,Business Meal Set,2.0,589.54,Cash,C005,58.95,1120.13,700.0,479.0799999999999,,
Sale20240118057,Sale,2024-01-18,2024-01-18,8296.04,8296.04,1500.0,,,Paid,,,,R001,Standard Room,4.0,2074.01,Cash,C005,414.8,7881.24,6000.0,2296.040000000001,,
Sale20240118058,Sale,2024-01-18,2024-01-18,25619.97,25619.97,5000.0,,,Paid,,,,R003,Luxury Suite,3.0,8539.99,Cash,C006,1281.0,24338.97,15000.0,10619.970000000001,,
Sale20240118059,Sale,2024-01-18,2024-01-18,6796.82,6796.82,2000.0,,,Paid,,,,R002,Business Room,2.0,3398.41,Cash,C002,339.84,6456.98,4000.0,2796.8199999999997,,
Purchase20231231018,Purchase,2023-12-31,2023-12-31,64750.0,64750.0,350.0,Director,Supervisor,Unpaid,Account Payable,S005,Supplier 5,F002,Business Meal Set,185.0,350.0,,,,,,,,
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,789.11,789.11,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240119061,Sale,2024-01-19,2024-01-19,15287.34,15287.34,2880.0,,,Unpaid,,,,F004,Banquet Set,3.0,5095.78,Account Receviable,C001,764.37,14522.97,8640.0,6647.34,,
Sale20240119062,Sale,2024-01-19,2024-01-19,32000.24,32000.24,5000.0,,,Paid,,,,R003,Luxury Suite,4.0,8000.06,Cash,C016,1600.01,30400.23,20000.0,12000.240000000002,,
Expense20240119001,Administrative Expenses,2024-01-19,2024-01-19,657.89,657.89,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240120063,Sale,2024-01-20,2024-01-20,4302.02,4302.02,1500.0,,,Unpaid,,,,R001,Standard Room,2.0,2151.01,Account Receviable,C001,215.1,4086.92,3000.0,1302.0200000000004,,
Sale20240120064,Sale,2024-01-20,2024-01-20,8190.97,8190.97,5000.0,,,Paid,,,,R003,Luxury Suite,1.0,8190.97,Cash,C008,409.55,7781.42,5000.0,3190.9700000000003,,
Expense20240120001,Administrative Expenses,2024-01-20,2024-01-20,911.59,911.59,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,829.58,829.58,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240121066,Sale,2024-01-21,2024-01-21,33106.2,33106.2,5000.0,,,Paid,,,,R003,Luxury Suite,4.0,8276.55,Cash,C015,1655.31,31450.89,20000.0,13106.199999999997,,
Sale20240121067,Sale,2024-01-21,2024-01-21,787.59,787.59,150.0,,,Paid,,,,F001,Quick Meal Set,3.0,262.53,Cash,C007,39.38,748.21,450.0,337.59000000000003,,
Sale20240121068,Sale,2024-01-21,2024-01-21,33866.0,33866.0,5000.0,,,Unpaid,,,,R003,Luxury Suite,4.0,8466.5,Account Receviable,C009,1693.3,32172.7,20000.0,13866.0,,
Expense20240121001,Sales Expenses,2024-01-21,2024-01-21,515.3,515.3,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240121001,Administrative Expenses,2024-01-21,2024-01-21,268.38,268.38,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240122070,Sale,2024-01-22,2024-01-22,13911.96,13911.96,2880.0,,,Unpaid,,,,F004,Banquet Set,3.0,4637.32,Account Receviable,C014,695.6,13216.36,8640.0,5271.959999999999,,
Purchase20231231019,Purchase,2023-12-31,2023-12-31,1075000.0,1075000.0,5000.0,Director,Supervisor,Unpaid,Account Payable,S005,Supplier 5,R003,Luxury Suite,215.0,5000.0,,,,,,,,
Purchase20231231020,Purchase,2023-12-31,2023-12-31,236720.0,236720.0,880.0,Director,Supervisor,Unpaid,Account Payable,S004,Supplier 4,F003,Deluxe Meal Set,269.0,880.0,,,,,,,,
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,498.21,498.21,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240122001,Financial Expenses,2024-01-22,2024-01-22,238.17,238.17,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240123071,Sale,2024-01-23,2024-01-23,10889.08,10889.08,2000.0,,,Paid,,,,R002,Business Room,4.0,2722.27,Cash,C006,544.45,10344.63,8000.0,2889.08,,
Sale20240123072,Sale,2024-01-23,2024-01-23,2902.0,2902.0,350.0,,,Paid,,,,F002,Business Meal Set,5.0,580.4,Cash,C013,145.1,2756.9,1750.0,1152.0,,
Expense20240123001,Sales Expenses,2024-01-23,2024-01-23,737.37,737.37,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240123001,Administrative Expenses,2024-01-23,2024-01-23,236.13,236.13,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240124074,Sale,2024-01-24,2024-01-24,6317.4,6317.4,880.0,,,Paid,,,,F003,Deluxe Meal Set,4.0,1579.35,Cash,C013,315.87,6001.53,3520.0,2797.3999999999996,,
Sale20240124075,Sale,2024-01-24,2024-01-24,6745.38,6745.38,2000.0,,,Paid,,,,R002,Business Room,2.0,3372.69,Cash,C006,337.27,6408.11,4000.0,2745.38,,
Expense20240124001,Administrative Expenses,2024-01-24,2024-01-24,458.74,458.74,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240125076,Sale,2024-01-25,2024-01-25,7720.12,7720.12,2880.0,,,Paid,,,,F004,Banquet Set,2.0,3860.06,Cash,C004,386.01,7334.11,5760.0,1960.12,,
Sale20240125077,Sale,2024-01-25,2024-01-25,24386.46,24386.46,5000.0,,,Paid,,,,R003,Luxury Suite,3.0,8128.82,Cash,C011,1219.32,23167.14,15000.0,9386.46,,
Sale20240125078,Sale,2024-01-25,2024-01-25,5923.23,5923.23,1500.0,,,Unpaid,,,,R001,Standard Room,3.0,1974.41,Account Receviable,C020,296.16,5627.07,4500.0,1423.2299999999996,,
Expense20240125001,Administrative Expenses,2024-01-25,2024-01-25,743.35,743.35,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240125025,Interest Receivables,2024-01-25,2024-01-25,368.02338825,368.02338825,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240126079,Sale,2024-01-26,2024-01-26,7042.9,7042.9,880.0,,,Unpaid,,,,F003,Deluxe Meal Set,5.0,1408.58,Account Receviable,C015,352.14,6690.76,4400.0,2642.8999999999996,,
Sale20240126080,Sale,2024-01-26,2024-01-26,7502.03,7502.03,5000.0,,,Paid,,,,R003,Luxury Suite,1.0,7502.03,Cash,C017,375.1,7126.93,5000.0,2502.0299999999997,,
Sale20240126081,Sale,2024-01-26,2024-01-26,2243.45,2243.45,1500.0,,,Unpaid,,,,R001,Standard Room,1.0,2243.45,Account Receviable,C003,112.17,2131.28,1500.0,743.4499999999998,,
Purchase20231231021,Purchase,2023-12-31,2023-12-31,1115000.0,1115000.0,5000.0,Director,Staff,Unpaid,Account Payable,S005,Supplier 5,R003,Luxury Suite,223.0,5000.0,,,,,,,,
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,175.34,175.34,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240126001,Sales Expenses,2024-01-26,2024-01-26,250.53,250.53,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
