id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Depreciation20240101001,Depreciation,2024-01-01,45749.3,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45749.30.",
Interest20240101001,Interest Receivables,2024-01-01,442.78,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $442.78. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102003,Sale,2024-01-02,86364.37,,,Paid,,50000.0,,,P004,Premium Product D,1.0,86364.37,Cash,C002,4318.22,82046.15,50000.0,36364.37,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $86364.37, totaling $86364.37. The cost amount for this transaction was $50000.00, with a tax amount of $4318.22, leading to a total amount due of $82046.15. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240102004,Sale,2024-01-02,37626.38,,,Unpaid,,10000.0,,,P002,Premium Product B,2.0,18813.19,Account Receviable,C015,1881.32,35745.06,20000.0,17626.38,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $18813.19, totaling $37626.38. The cost amount for this transaction was $20000.00, with a tax amount of $1881.32, leading to a total amount due of $35745.06. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231005,Purchase,2023-12-31,60000.0,Director,Staff,Paid,Cash,20000.0,S003,Supplier 3,P003,Premium Product C,3.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $20000.00, totaling $60000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Purchase20231231006,Purchase,2023-12-31,200000.0,Director,Staff,Paid,Cash,20000.0,S007,Supplier 7,P003,Premium Product C,10.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 10.0 units at a unit price of $20000.00, totaling $200000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240102001,Financial Expenses,2024-01-02,11662.77,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Financial Expenses, totaling $11662.77. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240102001,Sales Expenses,2024-01-02,3170.38,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $3170.38. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,442.78,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $442.78. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103006,Sale,2024-01-03,52195.47,,,Paid,,10000.0,,,P002,Premium Product B,3.0,17398.49,Cash,C017,2609.77,49585.7,30000.0,22195.47,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $17398.49, totaling $52195.47. The cost amount for this transaction was $30000.00, with a tax amount of $2609.77, leading to a total amount due of $49585.70. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240103007,Sale,2024-01-03,38445.68,,,Unpaid,,10000.0,,,P002,Premium Product B,2.0,19222.84,Account Receviable,C017,1922.28,36523.4,20000.0,18445.68,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $19222.84, totaling $38445.68. The cost amount for this transaction was $20000.00, with a tax amount of $1922.28, leading to a total amount due of $36523.40. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231007,Purchase,2023-12-31,400000.0,Director,Supervisor,Paid,Cash,50000.0,S003,Supplier 3,P004,Premium Product D,8.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 8.0 units at a unit price of $50000.00, totaling $400000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Purchase20231231008,Sale,2024-01-19,84659.75,Director,Senior Staff,Paid,Cash,10000.0,S002,Supplier 2,P002,Premium Product B,7.0,9782.93,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 8.0 units at a unit price of $10000.00, totaling $80000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.","[{'Original quantity': 8.0, 'Recorded quantity': 7, 'id': 'Purchase20231231008'}, {'Original price': 10000.0, 'Recorded price': 9782.93, 'id': 'Purchase20231231008'}, {'Original date': '2023-12-31', 'Recorded date': '2024-01-19', 'id': 'Purchase20231231008'}, {'Original category': 'Purchase', 'Recorded category': 'Sale', 'id': 'Purchase20231231008'}, {'Original amount': 80000.0, 'Recorded amount': 84659.75, 'id': 'Purchase20231231008'}]"
Expense20240103001,Sales Expenses,2024-01-03,29896.05,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $29896.05. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240103001,Sales Expenses,2024-01-03,6361.85,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Sales Expenses, totaling $6361.85. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,442.78,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $442.78. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104010,Sale,2024-01-04,112557.72,,,Paid,,20000.0,,,P003,Premium Product C,3.0,37519.24,Cash,C007,5627.89,106929.83,60000.0,52557.72,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $37519.24, totaling $112557.72. The cost amount for this transaction was $60000.00, with a tax amount of $5627.89, leading to a total amount due of $106929.83. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240104011,Sale,2024-01-04,97615.0,,,Paid,,50000.0,,,P004,Premium Product D,1.0,97615.0,Cash,C007,4880.75,92734.25,50000.0,47615.0,,,"On January 04, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $97615.00, totaling $97615.00. The cost amount for this transaction was $50000.00, with a tax amount of $4880.75, leading to a total amount due of $92734.25. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240104001,Sales Expenses,2024-01-04,8542.29,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $8542.29. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240104001,Sales Expenses,2024-01-04,10636.26,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $10636.26. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,442.78,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $442.78. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105014,Sale,2024-01-05,97747.17,,,Paid,,50000.0,,,P004,Premium Product D,1.0,97747.17,Cash,C002,4887.36,92859.81,50000.0,47747.17,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $97747.17, totaling $97747.17. The cost amount for this transaction was $50000.00, with a tax amount of $4887.36, leading to a total amount due of $92859.81. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105015,Sale,2024-01-05,35631.18,,,Unpaid,,20000.0,,,P003,Premium Product C,1.0,35631.18,Account Receviable,C006,1781.56,33849.62,20000.0,15631.18,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $35631.18, totaling $35631.18. The cost amount for this transaction was $20000.00, with a tax amount of $1781.56, leading to a total amount due of $33849.62. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240105016,Sale,2024-01-05,52194.45,,,Paid,,10000.0,,,P002,Premium Product B,3.0,17398.15,Cash,C006,2609.72,49584.73,30000.0,22194.45,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $17398.15, totaling $52194.45. The cost amount for this transaction was $30000.00, with a tax amount of $2609.72, leading to a total amount due of $49584.73. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105017,Sale,2024-01-05,35328.52,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17664.26,Cash,C003,1766.43,33562.09,20000.0,15328.52,,,"On January 05, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $17664.26, totaling $35328.52. The cost amount for this transaction was $20000.00, with a tax amount of $1766.43, leading to a total amount due of $33562.09. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240105001,Financial Expenses,2024-01-05,10753.83,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Financial Expenses, totaling $10753.83. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240105001,Sales Expenses,2024-01-05,22399.78,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Sales Expenses, totaling $22399.78. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240105001,Administrative Expenses,2024-01-05,19913.08,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $19913.08. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,442.78,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $442.78. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106019,Sale,2024-01-06,29950.44,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9983.48,Cash,C017,1497.52,28452.92,15000.0,14950.44,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $9983.48, totaling $29950.44. The cost amount for this transaction was $15000.00, with a tax amount of $1497.52, leading to a total amount due of $28452.92. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240106020,Sale,2024-01-06,88293.54,,,Paid,,50000.0,,,P004,Premium Product D,1.0,88293.54,Cash,C019,4414.68,83878.86,50000.0,38293.54,,,"On January 06, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $88293.54, totaling $88293.54. The cost amount for this transaction was $50000.00, with a tax amount of $4414.68, leading to a total amount due of $83878.86. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231009,Purchase,2023-12-31,100000.0,Director,Supervisor,Paid,Bank Transfer,10000.0,S001,Supplier 1,P002,Premium Product B,10.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 10.0 units at a unit price of $10000.00, totaling $100000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240106001,Administrative Expenses,2024-01-06,13799.43,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $13799.43. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240106001,Sales Expenses,2024-01-06,8817.98,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $8817.98. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,433.88,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $433.88. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107022,Sale,2024-01-07,34907.97,,,Paid,,20000.0,,,P003,Premium Product C,1.0,34907.97,Cash,C010,1745.4,33162.57,20000.0,14907.97,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $34907.97, totaling $34907.97. The cost amount for this transaction was $20000.00, with a tax amount of $1745.40, leading to a total amount due of $33162.57. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240107023,Sale,2024-01-07,34536.92,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17268.46,Cash,C018,1726.85,32810.07,20000.0,14536.92,,,"On January 07, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $17268.46, totaling $34536.92. The cost amount for this transaction was $20000.00, with a tax amount of $1726.85, leading to a total amount due of $32810.07. The receive_method of this transaction was cash, and this transaction was paid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,106218.2,,,Paid,Bank Transfer,,S002,Supplier 2,,,,,,,,,,,Production Line4,Production Line,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $106218.20. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240107001,Administrative Expenses,2024-01-07,27614.43,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $27614.43. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240107001,Sales Expenses,2024-01-07,6306.81,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Sales Expenses, totaling $6306.81. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,424.42,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $424.42. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108025,Sale,2024-01-08,96880.03,,,Paid,,50000.0,,,P004,Premium Product D,1.0,96880.03,Cash,C008,4844.0,92036.03,50000.0,46880.03,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $96880.03, totaling $96880.03. The cost amount for this transaction was $50000.00, with a tax amount of $4844.00, leading to a total amount due of $92036.03. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240108026,Sale,2024-01-08,37876.84,,,Unpaid,,10000.0,,,P002,Premium Product B,2.0,18938.42,Account Receviable,C012,1893.84,35983.0,20000.0,17876.84,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $18938.42, totaling $37876.84. The cost amount for this transaction was $20000.00, with a tax amount of $1893.84, leading to a total amount due of $35983.00. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240108027,Sale,2024-01-08,8630.0,,,Paid,,5000.0,,,P001,Premium Product A,1.0,8630.0,Cash,C008,431.5,8198.5,5000.0,3630.0,,,"On January 08, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $8630.00, totaling $8630.00. The cost amount for this transaction was $5000.00, with a tax amount of $431.50, leading to a total amount due of $8198.50. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240108001,Administrative Expenses,2024-01-08,20989.04,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $20989.04. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240108001,Sales Expenses,2024-01-08,25873.17,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Sales Expenses, totaling $25873.17. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,424.42,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $424.42. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109029,Sale,2024-01-09,283990.68,,,Paid,,50000.0,,,P004,Premium Product D,3.0,94663.56,Cash,C007,14199.53,269791.15,150000.0,133990.68,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $94663.56, totaling $283990.68. The cost amount for this transaction was $150000.00, with a tax amount of $14199.53, leading to a total amount due of $269791.15. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240109030,Sale,2024-01-09,18677.88,,,Unpaid,,5000.0,,,P001,Premium Product A,2.0,9338.94,Account Receviable,C003,933.89,17743.99,10000.0,8677.88,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $9338.94, totaling $18677.88. The cost amount for this transaction was $10000.00, with a tax amount of $933.89, leading to a total amount due of $17743.99. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240109031,Sale,2024-01-09,34288.34,,,Paid,,20000.0,,,P003,Premium Product C,1.0,34288.34,Cash,C005,1714.42,32573.92,20000.0,14288.34,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $34288.34, totaling $34288.34. The cost amount for this transaction was $20000.00, with a tax amount of $1714.42, leading to a total amount due of $32573.92. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240109032,Sale,2024-01-09,58095.09,,,Paid,,10000.0,,,P002,Premium Product B,3.0,19365.03,Cash,C013,2904.75,55190.34,30000.0,28095.09,,,"On January 09, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $19365.03, totaling $58095.09. The cost amount for this transaction was $30000.00, with a tax amount of $2904.75, leading to a total amount due of $55190.34. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231010,Purchase,2023-12-31,35000.0,Director,Supervisor,Paid,Bank Transfer,5000.0,S006,Supplier 6,P001,Premium Product A,7.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 7.0 units at a unit price of $5000.00, totaling $35000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Purchase20231231011,Purchase,2023-12-31,500000.0,Director,Senior Staff,Paid,Bank Transfer,50000.0,S007,Supplier 7,P004,Premium Product D,10.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 10.0 units at a unit price of $50000.00, totaling $500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240109001,Sales Expenses,2024-01-09,20108.99,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $20108.99. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240109001,Sales Expenses,2024-01-09,3026.63,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $3026.63. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,376.81,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $376.81. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110035,Sale,2024-01-10,27641.55,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9213.85,Cash,C015,1382.08,26259.47,15000.0,12641.55,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $9213.85, totaling $27641.55. The cost amount for this transaction was $15000.00, with a tax amount of $1382.08, leading to a total amount due of $26259.47. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240110036,Sale,2024-01-10,56061.81,,,Unpaid,,10000.0,,,P002,Premium Product B,3.0,18687.27,Account Receviable,C007,2803.09,53258.72,30000.0,26061.81,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $18687.27, totaling $56061.81. The cost amount for this transaction was $30000.00, with a tax amount of $2803.09, leading to a total amount due of $53258.72. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240110037,Sale,2024-01-10,27073.41,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9024.47,Cash,C017,1353.67,25719.74,15000.0,12073.41,,,"On January 10, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $9024.47, totaling $27073.41. The cost amount for this transaction was $15000.00, with a tax amount of $1353.67, leading to a total amount due of $25719.74. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240110001,Financial Expenses,2024-01-10,5111.82,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Financial Expenses, totaling $5111.82. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240110001,Financial Expenses,2024-01-10,18697.38,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Financial Expenses, totaling $18697.38. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240110001,Sales Expenses,2024-01-10,9113.31,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Sales Expenses, totaling $9113.31. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,376.81,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $376.81. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111039,Sale,2024-01-11,18414.34,,,Paid,,5000.0,,,P001,Premium Product A,2.0,9207.17,Cash,C014,920.72,17493.62,10000.0,8414.34,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $9207.17, totaling $18414.34. The cost amount for this transaction was $10000.00, with a tax amount of $920.72, leading to a total amount due of $17493.62. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111040,Sale,2024-01-11,105728.19,,,Unpaid,,20000.0,,,P003,Premium Product C,3.0,35242.73,Account Receviable,C006,5286.41,100441.78,60000.0,45728.19,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $35242.73, totaling $105728.19. The cost amount for this transaction was $60000.00, with a tax amount of $5286.41, leading to a total amount due of $100441.78. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240111041,Sale,2024-01-11,19778.28,,,Paid,,10000.0,,,P002,Premium Product B,1.0,19778.28,Cash,C004,988.91,18789.37,10000.0,9778.28,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $19778.28, totaling $19778.28. The cost amount for this transaction was $10000.00, with a tax amount of $988.91, leading to a total amount due of $18789.37. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111042,Sale,2024-01-11,37069.99,,,Paid,,20000.0,,,P003,Premium Product C,1.0,37069.99,Cash,C005,1853.5,35216.49,20000.0,17069.99,,,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $37069.99, totaling $37069.99. The cost amount for this transaction was $20000.00, with a tax amount of $1853.50, leading to a total amount due of $35216.49. The receive_method of this transaction was cash, and this transaction was paid.",
