id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Sale20240108019,Sale,2024-01-08,2024-01-08,12360.2,12360.2,,,Paid,,2000.0,,,R002,Business Room,4.0,3090.05,Cash,C008,618.01,11742.19,8000.0,4360.200000000001
Sale20240108020,Sale,2024-01-08,2024-01-08,4343.1,4343.1,,,Paid,,880.0,,,F003,Deluxe Meal Set,3.0,1447.7,Cash,C018,217.16,4125.94,2640.0,1703.1000000000004
Sale20240108021,Sale,2024-01-08,2024-01-08,20403.2,20403.2,,,Paid,,2880.0,,,F004,Banquet Set,4.0,5100.8,Cash,C006,1020.16,19383.04,11520.0,8883.2
Purchase20231231012,Purchase,2023-12-31,2023-12-31,177000.0,177000.0,Director,Executive Director,Paid,Cash,1500.0,S004,Supplier 4,R001,Standard Room,118.0,1500.0,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,193.43,193.43,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,316.41636,316.41636,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240109022,Sale,2024-01-09,2024-01-09,16968.12,16968.12,,,Unpaid,,2880.0,,,F004,Banquet Set,4.0,4242.03,Account Receviable,C019,848.41,16119.71,11520.0,5448.119999999999
Sale20240109023,Sale,2024-01-09,2024-01-09,10873.75,10873.75,,,Paid,,1500.0,,,R001,Standard Room,5.0,2174.75,Cash,C017,543.69,10330.06,7500.0,3373.75
Sale20240109024,Sale,2024-01-09,2024-01-09,14031.95,14031.95,,,Paid,,2000.0,,,R002,Business Room,5.0,2806.39,Cash,C005,701.6,13330.35,10000.0,4031.9500000000007
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,634.23,634.23,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,517.59,517.59,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,316.41636,316.41636,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240110026,Sale,2024-01-10,2024-01-10,10001.01,10001.01,,,Paid,,2000.0,,,R002,Business Room,3.0,3333.67,Cash,C008,500.05,9500.96,6000.0,4001.01
Sale20240110027,Sale,2024-01-10,2024-01-10,3991.62,3991.62,,,Unpaid,,1500.0,,,R001,Standard Room,2.0,1995.81,Account Receviable,C019,199.58,3792.04,3000.0,991.6199999999999
Sale20240110028,Sale,2024-01-10,2024-01-10,2898.6,2898.6,,,Unpaid,,350.0,,,F002,Business Meal Set,5.0,579.72,Account Receviable,C020,144.93,2753.67,1750.0,1148.6
Expense20240110001,Financial Expenses,2024-01-10,2024-01-10,833.8,833.8,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,316.41636,316.41636,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240111029,Sale,2024-01-11,2024-01-11,3914.92,3914.92,,,Paid,,2880.0,,,F004,Banquet Set,1.0,3914.92,Cash,C012,195.75,3719.17,2880.0,1034.92
Sale20240111030,Sale,2024-01-11,2024-01-11,10298.38,10298.38,,,Paid,,2880.0,,,F004,Banquet Set,2.0,5149.19,Cash,C018,514.92,9783.46,5760.0,4538.379999999999
Sale20240111031,Sale,2024-01-11,2024-01-11,20500.95,20500.95,,,Paid,,5000.0,,,R003,Luxury Suite,3.0,6833.65,Cash,C014,1025.05,19475.9,15000.0,5500.950000000001
Purchase20231231013,Purchase,2023-12-31,2023-12-31,585000.0,585000.0,Director,Senior Supervisor,Unpaid,Account Payable,5000.0,S009,Supplier 9,R003,Luxury Suite,117.0,5000.0,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,754.14,754.14,Director,Manager,Paid,Cash,,,,,,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,166.9,166.9,Director,Manager,Paid,Cash,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,316.41636,316.41636,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Purchase20231231014,Purchase,2023-12-31,2023-12-31,755000.0,755000.0,Director,Senior Supervisor,Unpaid,Account Payable,5000.0,S001,Supplier 1,R003,Luxury Suite,151.0,5000.0,,,,,,
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,187.66,187.66,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,316.41636,316.41636,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240113033,Sale,2024-01-13,2024-01-13,2779.58,2779.58,,,Paid,,880.0,,,F003,Deluxe Meal Set,2.0,1389.79,Cash,C009,138.98,2640.6,1760.0,1019.5799999999999
Sale20240113034,Sale,2024-01-13,2024-01-13,6602.81,6602.81,,,Unpaid,,5000.0,,,R003,Luxury Suite,1.0,6602.81,Account Receviable,C005,330.14,6272.67,5000.0,1602.8100000000004
Sale20240113035,Sale,2024-01-13,2024-01-13,3096.61,3096.61,,,Paid,,2000.0,,,R002,Business Room,1.0,3096.61,Cash,C005,154.83,2941.78,2000.0,1096.6100000000001
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,126.27,126.27,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,272.18,272.18,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,316.41636,316.41636,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240114036,Sale,2024-01-14,2024-01-14,1387.02,1387.02,,,Paid,,350.0,,,F002,Business Meal Set,3.0,462.34,Cash,C016,69.35,1317.67,1050.0,337.02
Sale20240114037,Sale,2024-01-14,2024-01-14,13615.08,13615.08,,,Paid,,2000.0,,,R002,Business Room,4.0,3403.77,Cash,C013,680.75,12934.33,8000.0,5615.08
Sale20240114038,Sale,2024-01-14,2024-01-14,7087.35,7087.35,,,Paid,,1500.0,,,R001,Standard Room,3.0,2362.45,Cash,C004,354.37,6732.98,4500.0,2587.3500000000004
Sale20240114039,Sale,2024-01-14,2024-01-14,2465.32,2465.32,,,Unpaid,,350.0,,,F002,Business Meal Set,4.0,616.33,Account Receviable,C009,123.27,2342.05,1400.0,1065.3200000000002
Purchase20231231015,Purchase,2023-12-31,2023-12-31,59850.0,59850.0,Director,Executive Director,Unpaid,Account Payable,350.0,S009,Supplier 9,F002,Business Meal Set,171.0,350.0,,,,,,
Purchase20231231016,Purchase,2023-12-31,2023-12-31,820800.0,820800.0,Director,Senior Manager,Paid,Bank Transfer,2880.0,S008,Supplier 8,F004,Banquet Set,285.0,2880.0,,,,,,
Purchase20231231017,Purchase,2023-12-31,2023-12-31,80500.0,80500.0,Director,Executive Director,Paid,Cash,350.0,S002,Supplier 2,F002,Business Meal Set,230.0,350.0,,,,,,
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,754.0,754.0,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,243.36515999999997,243.36515999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240115041,Sale,2024-01-15,2024-01-15,13821.96,13821.96,,,Paid,,2880.0,,,F004,Banquet Set,3.0,4607.32,Cash,C001,691.1,13130.86,8640.0,5181.959999999999
Sale20240115042,Sale,2024-01-15,2024-01-15,7483.8,7483.8,,,Unpaid,,880.0,,,F003,Deluxe Meal Set,5.0,1496.76,Account Receviable,C003,374.19,7109.61,4400.0,3083.8
Sale20240115043,Sale,2024-01-15,2024-01-15,13449.92,13449.92,,,Unpaid,,5000.0,,,R003,Luxury Suite,2.0,6724.96,Account Receviable,C020,672.5,12777.42,10000.0,3449.92
Sale20240115044,Sale,2024-01-15,2024-01-15,32191.88,32191.88,,,Unpaid,,5000.0,,,R003,Luxury Suite,4.0,8047.97,Account Receviable,C008,1609.59,30582.29,20000.0,12191.880000000001
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,117.07,117.07,Director,Director,Paid,Cash,,,,,,,,,,,,,
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,276.34,276.34,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,243.36515999999997,243.36515999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240116045,Sale,2024-01-16,2024-01-16,2181.0,2181.0,,,Unpaid,,350.0,,,F002,Business Meal Set,4.0,545.25,Account Receviable,C003,109.05,2071.95,1400.0,781.0
Sale20240116046,Sale,2024-01-16,2024-01-16,44676.85,44676.85,,,Paid,,5000.0,,,R003,Luxury Suite,5.0,8935.37,Cash,C016,2233.84,42443.01,25000.0,19676.85
Sale20240116047,Sale,2024-01-16,2024-01-16,1498.88,1498.88,,,Unpaid,,880.0,,,F003,Deluxe Meal Set,1.0,1498.88,Account Receviable,C006,74.94,1423.94,880.0,618.8800000000001
Purchase20231231018,Purchase,2023-12-31,2023-12-31,328000.0,328000.0,Director,Executive Director,Paid,Cash,2000.0,S006,Supplier 6,R002,Business Room,164.0,2000.0,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,208.78,208.78,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Expense20240116001,Administrative Expenses,2024-01-16,2024-01-16,963.54,963.54,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,243.36515999999997,243.36515999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240117049,Sale,2024-01-17,2024-01-17,13823.9,13823.9,,,Paid,,2000.0,,,R002,Business Room,5.0,2764.78,Cash,C019,691.2,13132.7,10000.0,3823.8999999999996
Sale20240117050,Sale,2024-01-17,2024-01-17,3853.44,3853.44,,,Paid,,880.0,,,F003,Deluxe Meal Set,3.0,1284.48,Cash,C013,192.67,3660.77,2640.0,1213.44
Sale20240117051,Sale,2024-01-17,2024-01-17,13910.85,13910.85,,,Paid,,2000.0,,,R002,Business Room,5.0,2782.17,Cash,C020,695.54,13215.31,10000.0,3910.8500000000004
Sale20240117052,Sale,2024-01-17,2024-01-17,8012.08,8012.08,,,Paid,,2880.0,,,F004,Banquet Set,2.0,4006.04,Cash,C017,400.6,7611.48,5760.0,2252.08
Purchase20231231019,Purchase,2023-12-31,2023-12-31,32850.0,32850.0,Director,Executive Director,Unpaid,Account Payable,150.0,S010,Supplier 10,F001,Quick Meal Set,219.0,150.0,,,,,,
Purchase20231231020,Purchase,2023-12-31,2023-12-31,36050.0,36050.0,Director,Executive Director,Paid,Bank Transfer,350.0,S010,Supplier 10,F002,Business Meal Set,103.0,350.0,,,,,,
Purchase20231231021,Purchase,2023-12-31,2023-12-31,35850.0,35850.0,Director,Executive Director,Paid,Cash,150.0,S008,Supplier 8,F001,Quick Meal Set,239.0,150.0,,,,,,
Expense20240117001,Financial Expenses,2024-01-17,2024-01-17,275.14,275.14,Director,Director,Paid,Cash,,,,,,,,,,,,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,955.46,955.46,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240118054,Sale,2024-01-18,2024-01-18,1420.8,1420.8,,,Paid,,350.0,,,F002,Business Meal Set,3.0,473.6,Cash,C020,71.04,1349.76,1050.0,370.79999999999995
Sale20240118055,Sale,2024-01-18,2024-01-18,3439.5,3439.5,,,Paid,,2000.0,,,R002,Business Room,1.0,3439.5,Cash,C015,171.98,3267.52,2000.0,1439.5
Sale20240118056,Sale,2024-01-18,2024-01-18,2780.94,2780.94,,,Paid,,2000.0,,,R002,Business Room,1.0,2780.94,Cash,C005,139.05,2641.89,2000.0,780.94
Purchase20231231022,Purchase,2023-12-31,2023-12-31,19050.0,19050.0,Director,Senior Manager,Unpaid,Account Payable,150.0,S010,Supplier 10,F001,Quick Meal Set,127.0,150.0,,,,,,
Expense20240118001,Administrative Expenses,2024-01-18,2024-01-18,530.87,530.87,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240119057,Sale,2024-01-19,2024-01-19,12763.44,12763.44,,,Paid,,2000.0,,,R002,Business Room,4.0,3190.86,Cash,C002,638.17,12125.27,8000.0,4763.4400000000005
Sale20240119058,Sale,2024-01-19,2024-01-19,17426.9,17426.9,,,Unpaid,,2000.0,,,R002,Business Room,5.0,3485.38,Account Receviable,C018,871.35,16555.55,10000.0,7426.9000000000015
Sale20240119059,Sale,2024-01-19,2024-01-19,2673.06,2673.06,,,Unpaid,,880.0,,,F003,Deluxe Meal Set,2.0,1336.53,Account Receviable,C018,133.65,2539.41,1760.0,913.06
Sale20240119060,Sale,2024-01-19,2024-01-19,31728.28,31728.28,,,Unpaid,,5000.0,,,R003,Luxury Suite,4.0,7932.07,Account Receviable,C011,1586.41,30141.87,20000.0,11728.279999999999
Expense20240119001,Administrative Expenses,2024-01-19,2024-01-19,720.99,720.99,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Expense20240119001,Financial Expenses,2024-01-19,2024-01-19,560.47,560.47,Director,Manager,Paid,Cash,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240120061,Sale,2024-01-20,2024-01-20,7565.22,7565.22,,,Paid,,5000.0,,,R003,Luxury Suite,1.0,7565.22,Cash,C001,378.26,7186.96,5000.0,2565.2200000000003
Sale20240120062,Sale,2024-01-20,2024-01-20,596.76,596.76,,,Paid,,350.0,,,F002,Business Meal Set,1.0,596.76,Cash,C013,29.84,566.92,350.0,246.76
Expense20240120001,Administrative Expenses,2024-01-20,2024-01-20,911.18,911.18,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Expense20240120001,Sales Expenses,2024-01-20,2024-01-20,571.4,571.4,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240121064,Sale,2024-01-21,2024-01-21,6265.88,6265.88,,,Paid,,880.0,,,F003,Deluxe Meal Set,4.0,1566.47,Cash,C013,313.29,5952.59,3520.0,2745.88
Sale20240121065,Sale,2024-01-21,2024-01-21,1066.25,1066.25,,,Unpaid,,150.0,,,F001,Quick Meal Set,5.0,213.25,Account Receviable,C020,53.31,1012.94,750.0,316.25
Sale20240121066,Sale,2024-01-21,2024-01-21,30651.96,30651.96,,,Paid,,5000.0,,,R003,Luxury Suite,4.0,7662.99,Cash,C012,1532.6,29119.36,20000.0,10651.96
Expense20240121001,Sales Expenses,2024-01-21,2024-01-21,620.81,620.81,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,
Expense20240121001,Administrative Expenses,2024-01-21,2024-01-21,981.16,981.16,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240122068,Sale,2024-01-22,2024-01-22,10155.39,10155.39,,,Unpaid,,2000.0,,,R002,Business Room,3.0,3385.13,Account Receviable,C007,507.77,9647.62,6000.0,4155.389999999999
Sale20240122069,Sale,2024-01-22,2024-01-22,5176.28,5176.28,,,Unpaid,,1500.0,,,R001,Standard Room,2.0,2588.14,Account Receviable,C014,258.81,4917.47,3000.0,2176.2799999999997
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,331.9,331.9,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,322.6,322.6,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240123071,Sale,2024-01-23,2024-01-23,16475.05,16475.05,,,Paid,,2000.0,,,R002,Business Room,5.0,3295.01,Cash,C005,823.75,15651.3,10000.0,6475.049999999999
Sale20240123072,Sale,2024-01-23,2024-01-23,2425.83,2425.83,,,Paid,,1500.0,,,R001,Standard Room,1.0,2425.83,Cash,C009,121.29,2304.54,1500.0,925.8299999999999
Expense20240123001,Financial Expenses,2024-01-23,2024-01-23,837.85,837.85,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,
Expense20240123001,Administrative Expenses,2024-01-23,2024-01-23,515.36,515.36,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240124073,Sale,2024-01-24,2024-01-24,5978.94,5978.94,,,Unpaid,,2000.0,,,R002,Business Room,2.0,2989.47,Account Receviable,C014,298.95,5679.99,4000.0,1978.9399999999996
Sale20240124074,Sale,2024-01-24,2024-01-24,4289.79,4289.79,,,Paid,,2880.0,,,F004,Banquet Set,1.0,4289.79,Cash,C018,214.49,4075.3,2880.0,1409.79
Purchase20231231023,Purchase,2023-12-31,2023-12-31,358500.0,358500.0,Director,Executive Director,Unpaid,Account Payable,1500.0,S007,Supplier 7,R001,Standard Room,239.0,1500.0,,,,,,
Expense20240124001,Sales Expenses,2024-01-24,2024-01-24,119.55,119.55,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Expense20240124001,Sales Expenses,2024-01-24,2024-01-24,442.56,442.56,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240125077,Sale,2024-01-25,2024-01-25,17006.35,17006.35,,,Unpaid,,2000.0,,,R002,Business Room,5.0,3401.27,Account Receviable,C020,850.32,16156.03,10000.0,7006.3499999999985
Sale20240125078,Sale,2024-01-25,2024-01-25,215.02,215.02,,,Unpaid,,150.0,,,F001,Quick Meal Set,1.0,215.02,Account Receviable,C003,10.75,204.27,150.0,65.02000000000001
Sale20240125079,Sale,2024-01-25,2024-01-25,5165.46,5165.46,,,Unpaid,,1500.0,,,R001,Standard Room,2.0,2582.73,Account Receviable,C008,258.27,4907.19,3000.0,2165.46
Expense20240125001,Sales Expenses,2024-01-25,2024-01-25,856.79,856.79,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240125025,Interest Receivables,2024-01-25,2024-01-25,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240126081,Sale,2024-01-26,2024-01-26,6102.3,6102.3,,,Paid,,1500.0,,,R001,Standard Room,3.0,2034.1,Cash,C008,305.12,5797.18,4500.0,1602.3000000000002
