id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Purchase20231231003,Purchase,2023-12-31,35000.0,Director,Manager,Paid,Bank Transfer,350.0,S005,Supplier 5,F002,Business Meal Set,100.0,350.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 100.0 units at a unit price of $350.00, totaling $35000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Manager, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240102001,Administrative Expenses,2024-01-02,392.88,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $392.88. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Supervisor, and the approver is Director.",
Expense20240102001,Financial Expenses,2024-01-02,417.55,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Financial Expenses, totaling $417.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Supervisor, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,408.82,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $408.82. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103003,Sale,2024-01-03,19664.3,,,Paid,,2880.0,,,F004,Banquet Set,5.0,3932.86,Cash,C003,983.22,18681.08,14400.0,5264.3,"On January 03, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $3932.86, totaling $19664.30. The cost amount for this transaction was $14400.00, with a tax amount of $983.22, leading to a total amount due of $18681.08. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240103004,Sale,2024-01-03,12789.78,,,Paid,,2880.0,,,F004,Banquet Set,3.0,4263.26,Cash,C015,639.49,12150.29,8640.0,4149.78,"On January 03, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $4263.26, totaling $12789.78. The cost amount for this transaction was $8640.00, with a tax amount of $639.49, leading to a total amount due of $12150.29. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240103005,Sale,2024-01-03,1856.24,,,Paid,,350.0,,,F002,Business Meal Set,4.0,464.06,Cash,C014,92.81,1763.43,1400.0,456.24,"On January 03, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $464.06, totaling $1856.24. The cost amount for this transaction was $1400.00, with a tax amount of $92.81, leading to a total amount due of $1763.43. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231004,Purchase,2023-12-31,1250000.0,Director,Executive Director,Unpaid,Account Payable,5000.0,S005,Supplier 5,R003,Luxury Suite,250.0,5000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 250.0 units at a unit price of $5000.00, totaling $1250000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Executive Director, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240103001,Administrative Expenses,2024-01-03,328.42,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $328.42. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Executive Director, and the approver is Director.",
Expense20240103001,Administrative Expenses,2024-01-03,839.97,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Administrative Expenses, totaling $839.97. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Supervisor, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,408.82,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $408.82. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104006,Sale,2024-01-04,6734.92,,,Paid,,5000.0,,,R003,Luxury Suite,1.0,6734.92,Cash,C018,336.75,6398.17,5000.0,1734.92,"On January 04, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $6734.92, totaling $6734.92. The cost amount for this transaction was $5000.00, with a tax amount of $336.75, leading to a total amount due of $6398.17. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240104007,Sale,2024-01-04,2565.95,,,Unpaid,,350.0,,,F002,Business Meal Set,5.0,513.19,Account Receviable,C007,128.3,2437.65,1750.0,815.95,"On January 04, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $513.19, totaling $2565.95. The cost amount for this transaction was $1750.00, with a tax amount of $128.30, leading to a total amount due of $2437.65. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231005,Purchase,2023-12-31,246000.0,Director,Senior Supervisor,Unpaid,Account Payable,2000.0,S002,Supplier 2,R002,Business Room,123.0,2000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 123.0 units at a unit price of $2000.00, totaling $246000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Supervisor, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231006,Purchase,2023-12-31,582000.0,Director,Senior Supervisor,Paid,Bank Transfer,2000.0,S003,Supplier 3,R002,Business Room,291.0,2000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 291.0 units at a unit price of $2000.00, totaling $582000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Supervisor, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240104001,Administrative Expenses,2024-01-04,585.95,Director,Director,Paid,Cash,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $585.95. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Director, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,357.02,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $357.02. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105008,Sale,2024-01-05,28836.04,,,Paid,,5000.0,,,R003,Luxury Suite,4.0,7209.01,Cash,C019,1441.8,27394.24,20000.0,8836.04,"On January 05, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $7209.01, totaling $28836.04. The cost amount for this transaction was $20000.00, with a tax amount of $1441.80, leading to a total amount due of $27394.24. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105009,Sale,2024-01-05,15165.24,,,Unpaid,,2880.0,,,F004,Banquet Set,3.0,5055.08,Account Receviable,C014,758.26,14406.98,8640.0,6525.24,"On January 05, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $5055.08, totaling $15165.24. The cost amount for this transaction was $8640.00, with a tax amount of $758.26, leading to a total amount due of $14406.98. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240105010,Sale,2024-01-05,35700.75,,,Unpaid,,5000.0,,,R003,Luxury Suite,5.0,7140.15,Account Receviable,C018,1785.04,33915.71,25000.0,10700.75,"On January 05, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $7140.15, totaling $35700.75. The cost amount for this transaction was $25000.00, with a tax amount of $1785.04, leading to a total amount due of $33915.71. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231007,Purchase,2023-12-31,140800.0,Director,Senior Supervisor,Unpaid,Account Payable,880.0,S007,Supplier 7,F003,Deluxe Meal Set,160.0,880.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 160.0 units at a unit price of $880.00, totaling $140800.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240105001,Financial Expenses,2024-01-05,397.91,Director,Director,Paid,Cash,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Financial Expenses, totaling $397.91. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Director, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,357.02,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $357.02. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106011,Sale,2024-01-06,16612.72,,,Unpaid,,2880.0,,,F004,Banquet Set,4.0,4153.18,Account Receviable,C019,830.64,15782.08,11520.0,5092.72,"On January 06, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $4153.18, totaling $16612.72. The cost amount for this transaction was $11520.00, with a tax amount of $830.64, leading to a total amount due of $15782.08. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240106012,Sale,2024-01-06,14084.46,,,Unpaid,,2880.0,,,F004,Banquet Set,3.0,4694.82,Account Receviable,C016,704.22,13380.24,8640.0,5444.46,"On January 06, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $4694.82, totaling $14084.46. The cost amount for this transaction was $8640.00, with a tax amount of $704.22, leading to a total amount due of $13380.24. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240106013,Sale,2024-01-06,10783.4,,,Paid,,2000.0,,,R002,Business Room,4.0,2695.85,Cash,C011,539.17,10244.23,8000.0,2783.4,"On January 06, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $2695.85, totaling $10783.40. The cost amount for this transaction was $8000.00, with a tax amount of $539.17, leading to a total amount due of $10244.23. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240106014,Sale,2024-01-06,7996.52,,,Paid,,2880.0,,,F004,Banquet Set,2.0,3998.26,Cash,C016,399.83,7596.69,5760.0,2236.52,"On January 06, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $3998.26, totaling $7996.52. The cost amount for this transaction was $5760.00, with a tax amount of $399.83, leading to a total amount due of $7596.69. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231008,Purchase,2023-12-31,254320.0,Director,Senior Supervisor,Unpaid,Account Payable,880.0,S010,Supplier 10,F003,Deluxe Meal Set,289.0,880.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 289.0 units at a unit price of $880.00, totaling $254320.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Supervisor, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Purchase20231231009,Purchase,2023-12-31,240240.0,Director,Senior Supervisor,Paid,Bank Transfer,880.0,S006,Supplier 6,F003,Deluxe Meal Set,273.0,880.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 273.0 units at a unit price of $880.00, totaling $240240.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Supervisor, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240106001,Sales Expenses,2024-01-06,420.21,Director,Director,Paid,Cash,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $420.21. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Director, and the approver is Director.",
Expense20240106001,Sales Expenses,2024-01-06,207.85,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $207.85. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Executive Director, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,335.64,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $335.64. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107017,Sale,2024-01-07,1214.62,,,Paid,,350.0,,,F002,Business Meal Set,2.0,607.31,Cash,C005,60.73,1153.89,700.0,514.62,"On January 07, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $607.31, totaling $1214.62. The cost amount for this transaction was $700.00, with a tax amount of $60.73, leading to a total amount due of $1153.89. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231010,Purchase,2023-12-31,216000.0,Director,Director,Paid,Bank Transfer,1500.0,S003,Supplier 3,R001,Standard Room,144.0,1500.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 144.0 units at a unit price of $1500.00, totaling $216000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Director, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Purchase20231231011,Purchase,2023-12-31,540000.0,Director,Senior Supervisor,Unpaid,Account Payable,5000.0,S008,Supplier 8,R003,Luxury Suite,108.0,5000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 108.0 units at a unit price of $5000.00, totaling $540000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240107001,Administrative Expenses,2024-01-07,113.9,Director,Manager,Paid,Cash,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $113.90. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Manager, and the approver is Director.",
Expense20240107001,Sales Expenses,2024-01-07,618.18,Director,Director,Paid,Cash,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Sales Expenses, totaling $618.18. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Director, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,316.42,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $316.42. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108019,Sale,2024-01-08,12360.2,,,Paid,,2000.0,,,R002,Business Room,4.0,3090.05,Cash,C008,618.01,11742.19,8000.0,4360.2,"On January 08, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $3090.05, totaling $12360.20. The cost amount for this transaction was $8000.00, with a tax amount of $618.01, leading to a total amount due of $11742.19. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240108020,Sale,2024-01-08,4343.1,,,Paid,,880.0,,,F003,Deluxe Meal Set,3.0,1447.7,Cash,C018,217.16,4125.94,2640.0,1703.1,"On January 08, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $1447.70, totaling $4343.10. The cost amount for this transaction was $2640.00, with a tax amount of $217.16, leading to a total amount due of $4125.94. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240108021,Sale,2024-01-08,20403.2,,,Paid,,2880.0,,,F004,Banquet Set,4.0,5100.8,Cash,C006,1020.16,19383.04,11520.0,8883.2,"On January 08, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $5100.80, totaling $20403.20. The cost amount for this transaction was $11520.00, with a tax amount of $1020.16, leading to a total amount due of $19383.04. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231012,Purchase,2023-12-31,177000.0,Director,Executive Director,Paid,Cash,1500.0,S004,Supplier 4,R001,Standard Room,118.0,1500.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 118.0 units at a unit price of $1500.00, totaling $177000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Executive Director, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240108001,Administrative Expenses,2024-01-08,193.43,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $193.43. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Executive Director, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,316.42,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $316.42. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109022,Sale,2024-01-09,16968.12,,,Unpaid,,2880.0,,,F004,Banquet Set,4.0,4242.03,Account Receviable,C019,848.41,16119.71,11520.0,5448.12,"On January 09, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $4242.03, totaling $16968.12. The cost amount for this transaction was $11520.00, with a tax amount of $848.41, leading to a total amount due of $16119.71. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240109023,Sale,2024-01-09,10873.75,,,Paid,,1500.0,,,R001,Standard Room,5.0,2174.75,Cash,C017,543.69,10330.06,7500.0,3373.75,"On January 09, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $2174.75, totaling $10873.75. The cost amount for this transaction was $7500.00, with a tax amount of $543.69, leading to a total amount due of $10330.06. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240109024,Sale,2024-01-09,14031.95,,,Paid,,2000.0,,,R002,Business Room,5.0,2806.39,Cash,C005,701.6,13330.35,10000.0,4031.95,"On January 09, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $2806.39, totaling $14031.95. The cost amount for this transaction was $10000.00, with a tax amount of $701.60, leading to a total amount due of $13330.35. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240109001,Administrative Expenses,2024-01-09,634.23,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $634.23. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Manager, and the approver is Director.",
Expense20240109001,Sales Expenses,2024-01-09,517.59,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Sales Expenses, totaling $517.59. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Supervisor, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,316.42,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $316.42. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110026,Sale,2024-01-10,10001.01,,,Paid,,2000.0,,,R002,Business Room,3.0,3333.67,Cash,C008,500.05,9500.96,6000.0,4001.01,"On January 10, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $3333.67, totaling $10001.01. The cost amount for this transaction was $6000.00, with a tax amount of $500.05, leading to a total amount due of $9500.96. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240110027,Sale,2024-01-10,3991.62,,,Unpaid,,1500.0,,,R001,Standard Room,2.0,1995.81,Account Receviable,C019,199.58,3792.04,3000.0,991.62,"On January 10, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $1995.81, totaling $3991.62. The cost amount for this transaction was $3000.00, with a tax amount of $199.58, leading to a total amount due of $3792.04. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240110028,Sale,2024-01-10,2898.6,,,Unpaid,,350.0,,,F002,Business Meal Set,5.0,579.72,Account Receviable,C020,144.93,2753.67,1750.0,1148.6,"On January 10, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $579.72, totaling $2898.60. The cost amount for this transaction was $1750.00, with a tax amount of $144.93, leading to a total amount due of $2753.67. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240110001,Financial Expenses,2024-01-10,833.8,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Financial Expenses, totaling $833.80. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Executive Director, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,316.42,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $316.42. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111029,Sale,2024-01-11,3914.92,,,Paid,,2880.0,,,F004,Banquet Set,1.0,3914.92,Cash,C012,195.75,3719.17,2880.0,1034.92,"On January 11, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $3914.92, totaling $3914.92. The cost amount for this transaction was $2880.00, with a tax amount of $195.75, leading to a total amount due of $3719.17. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111030,Sale,2024-01-11,10298.38,,,Paid,,2880.0,,,F004,Banquet Set,2.0,5149.19,Cash,C018,514.92,9783.46,5760.0,4538.38,"On January 11, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $5149.19, totaling $10298.38. The cost amount for this transaction was $5760.00, with a tax amount of $514.92, leading to a total amount due of $9783.46. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240111031,Sale,2024-01-11,20500.95,,,Paid,,5000.0,,,R003,Luxury Suite,3.0,6833.65,Cash,C014,1025.05,19475.9,15000.0,5500.95,"On January 11, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $6833.65, totaling $20500.95. The cost amount for this transaction was $15000.00, with a tax amount of $1025.05, leading to a total amount due of $19475.90. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231013,Purchase,2023-12-31,585000.0,Director,Senior Supervisor,Unpaid,Account Payable,5000.0,S009,Supplier 9,R003,Luxury Suite,117.0,5000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 117.0 units at a unit price of $5000.00, totaling $585000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240111001,Administrative Expenses,2024-01-11,754.14,Director,Manager,Paid,Cash,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $754.14. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Manager, and the approver is Director.",
Expense20240111001,Administrative Expenses,2024-01-11,166.9,Director,Manager,Paid,Cash,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $166.90. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Manager, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,316.42,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $316.42. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231014,Purchase,2023-12-31,755000.0,Director,Senior Supervisor,Unpaid,Account Payable,5000.0,S001,Supplier 1,R003,Luxury Suite,151.0,5000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 151.0 units at a unit price of $5000.00, totaling $755000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Supervisor, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240112001,Sales Expenses,2024-01-12,187.66,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Sales Expenses, totaling $187.66. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Supervisor, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,316.42,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $316.42. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240113033,Sale,2024-01-13,2779.58,,,Paid,,880.0,,,F003,Deluxe Meal Set,2.0,1389.79,Cash,C009,138.98,2640.6,1760.0,1019.58,"On January 13, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $1389.79, totaling $2779.58. The cost amount for this transaction was $1760.00, with a tax amount of $138.98, leading to a total amount due of $2640.60. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240113034,Sale,2024-01-13,6602.81,,,Unpaid,,5000.0,,,R003,Luxury Suite,1.0,6602.81,Account Receviable,C005,330.14,6272.67,5000.0,1602.81,"On January 13, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $6602.81, totaling $6602.81. The cost amount for this transaction was $5000.00, with a tax amount of $330.14, leading to a total amount due of $6272.67. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240113035,Sale,2024-01-13,3096.61,,,Paid,,2000.0,,,R002,Business Room,1.0,3096.61,Cash,C005,154.83,2941.78,2000.0,1096.61,"On January 13, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $3096.61, totaling $3096.61. The cost amount for this transaction was $2000.00, with a tax amount of $154.83, leading to a total amount due of $2941.78. The receive_method of this transaction was cash, and this transaction was paid.",
