id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,asset_name,asset_type,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Purchase20231231005,Purchase,2023-12-31,2023-12-31,2700000.0,2700000.0,Director,Supervisor,Unpaid,Account Payable,100000.0,S001,Supplier 1,P004,Chemical Product D,27.0,100000.0,,,,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,17423.33,17423.33,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Financial Expenses,2024-01-08,2024-01-08,7824.83,7824.83,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Financial Expenses,2024-01-08,2024-01-08,8616.21,8616.21,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,49269.0,49269.0,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,85.64790488999998,85.64790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240109018,Sale,2024-01-09,2024-01-09,189573.99,189573.99,,,Unpaid,,50000.0,,,P003,Chemical Product C,3.0,63191.33,Account Receviable,,,C015,9478.7,180095.29,150000.0,39573.98999999999
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,42647.17,42647.17,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,45556.32,45556.32,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,37593.05,37593.05,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,17609.13,17609.13,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,85.64790488999998,85.64790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240110019,Sale,2024-01-10,2024-01-10,305008.1,305008.1,,,Paid,,50000.0,,,P003,Chemical Product C,5.0,61001.62,Cash,,,C003,15250.4,289757.7,250000.0,55008.09999999998
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,11440.04,11440.04,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,49384.5,49384.5,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,47760.71,47760.71,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,85.64790488999998,85.64790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240111001,Financial Expenses,2024-01-11,2024-01-11,7159.99,7159.99,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,7426.35,7426.35,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,85.64790488999998,85.64790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240112020,Sale,2024-01-12,2024-01-12,51511.56,51511.56,,,Paid,,10000.0,,,P001,Chemical Product A,4.0,12877.89,Cash,,,C014,2575.58,48935.98,40000.0,11511.559999999998
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,40667.19,40667.19,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240112001,Financial Expenses,2024-01-12,2024-01-12,49563.95,49563.95,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,7991.4,7991.4,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,20561.68,20561.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,85.64790488999998,85.64790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240113021,Sale,2024-01-13,2024-01-13,304821.85,304821.85,,,Paid,,50000.0,,,P003,Chemical Product C,5.0,60964.37,Cash,,,C011,15241.09,289580.76,250000.0,54821.84999999998
Sale20240113022,Sale,2024-01-13,2024-01-13,111954.68,111954.68,,,Unpaid,,20000.0,,,P002,Chemical Product B,4.0,27988.67,Account Receviable,,,C012,5597.73,106356.95,80000.0,31954.679999999993
Purchase20231231006,Purchase,2023-12-31,2023-12-31,520000.0,520000.0,Director,Supervisor,Paid,Bank Transfer,20000.0,S001,Supplier 1,P002,Chemical Product B,26.0,20000.0,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,27093.82,27093.82,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240113001,Financial Expenses,2024-01-13,2024-01-13,21894.83,21894.83,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,39.36790488999998,39.36790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240114024,Sale,2024-01-14,2024-01-14,671035.1,671035.1,,,Unpaid,,100000.0,,,P004,Chemical Product D,5.0,134207.02,Account Receviable,,,C018,33551.75,637483.35,500000.0,171035.09999999998
Purchase20231231007,Purchase,2023-12-31,2023-12-31,1300000.0,1300000.0,Director,Supervisor,Paid,Bank Transfer,50000.0,S007,Supplier 7,P003,Chemical Product C,26.0,50000.0,,,,,,,,
Transfer20240114001,Cash to bank transfer,2024-01-14,2024-01-14,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240114001,Cash to bank transfer,2024-01-14,2024-01-14,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,16206.96,16206.96,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240114001,Cash to bank transfer,2024-01-14,2024-01-14,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,13631.77,13631.77,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240114001,Cash to bank transfer,2024-01-14,2024-01-14,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,41266.68,41266.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240114001,Cash to bank transfer,2024-01-14,2024-01-14,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,36256.39,36256.39,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,-31.83209511000002,-31.83209511000002,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240115026,Sale,2024-01-15,2024-01-15,23604.58,23604.58,,,Unpaid,,10000.0,,,P001,Chemical Product A,2.0,11802.29,Account Receviable,,,C002,1180.23,22424.35,20000.0,3604.5800000000017
Transfer20240115001,Cash to bank transfer,2024-01-15,2024-01-15,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240115001,Cash to bank transfer,2024-01-15,2024-01-15,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240115001,Cash to bank transfer,2024-01-15,2024-01-15,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,26422.97,26422.97,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240115001,Cash to bank transfer,2024-01-15,2024-01-15,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,8919.26,8919.26,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240115001,Cash to bank transfer,2024-01-15,2024-01-15,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,32256.58,32256.58,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,12.66790488999998,12.66790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240116028,Sale,2024-01-16,2024-01-16,27511.16,27511.16,,,Unpaid,,10000.0,,,P001,Chemical Product A,2.0,13755.58,Account Receviable,,,C014,1375.56,26135.6,20000.0,7511.16
Sale20240116029,Sale,2024-01-16,2024-01-16,41289.99,41289.99,,,Unpaid,,10000.0,,,P001,Chemical Product A,3.0,13763.33,Account Receviable,,,C007,2064.5,39225.49,30000.0,11289.989999999998
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,7210.97,7210.97,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240116001,Administrative Expenses,2024-01-16,2024-01-16,43350.45,43350.45,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,8529.7,8529.7,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,12.66790488999998,12.66790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240117032,Sale,2024-01-17,2024-01-17,47234.06,47234.06,,,Unpaid,,20000.0,,,P002,Chemical Product B,2.0,23617.03,Account Receviable,,,C019,2361.7,44872.36,40000.0,7234.059999999998
Sale20240117033,Sale,2024-01-17,2024-01-17,198859.8,198859.8,,,Unpaid,,50000.0,,,P003,Chemical Product C,3.0,66286.6,Account Receviable,,,C019,9942.99,188916.81,150000.0,48859.79999999999
Expense20240117001,Administrative Expenses,2024-01-17,2024-01-17,42802.24,42802.24,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240117001,Financial Expenses,2024-01-17,2024-01-17,24605.62,24605.62,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240117001,Administrative Expenses,2024-01-17,2024-01-17,20175.3,20175.3,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240117001,Administrative Expenses,2024-01-17,2024-01-17,24894.98,24894.98,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,12.66790488999998,12.66790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240118034,Sale,2024-01-18,2024-01-18,648623.6,648623.6,,,Paid,,100000.0,,,P004,Chemical Product D,5.0,129724.72,Cash,,,C013,32431.18,616192.42,500000.0,148623.59999999998
Sale20240118035,Sale,2024-01-18,2024-01-18,68125.11,68125.11,,,Unpaid,,20000.0,,,P002,Chemical Product B,3.0,22708.37,Account Receviable,,,C003,3406.26,64718.85,60000.0,8125.110000000001
Purchase20231231008,Purchase,2023-12-31,2023-12-31,120000.0,120000.0,Director,Supervisor,Paid,Cash,10000.0,S001,Supplier 1,P001,Chemical Product A,12.0,10000.0,,,,,,,,
Expense20240118001,Administrative Expenses,2024-01-18,2024-01-18,11870.08,11870.08,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240118001,Administrative Expenses,2024-01-18,2024-01-18,17445.2,17445.2,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,12.66790488999998,12.66790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240119036,Sale,2024-01-19,2024-01-19,50199.88,50199.88,,,Unpaid,,10000.0,,,P001,Chemical Product A,4.0,12549.97,Account Receviable,,,C011,2509.99,47689.89,40000.0,10199.879999999997
Expense20240119001,Financial Expenses,2024-01-19,2024-01-19,24962.22,24962.22,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,30499.76,30499.76,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240119001,Administrative Expenses,2024-01-19,2024-01-19,17779.19,17779.19,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240119001,Administrative Expenses,2024-01-19,2024-01-19,21687.75,21687.75,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,12.66790488999998,12.66790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240120038,Sale,2024-01-20,2024-01-20,68078.0,68078.0,,,Paid,,10000.0,,,P001,Chemical Product A,5.0,13615.6,Cash,,,C004,3403.9,64674.1,50000.0,18078.0
Sale20240120039,Sale,2024-01-20,2024-01-20,13128.95,13128.95,,,Paid,,10000.0,,,P001,Chemical Product A,1.0,13128.95,Cash,,,C002,656.45,12472.5,10000.0,3128.9500000000007
Purchase20231231009,Purchase,2023-12-31,2023-12-31,140000.0,140000.0,Director,Supervisor,Paid,Cash,10000.0,S002,Supplier 2,P001,Chemical Product A,14.0,10000.0,,,,,,,,
Expense20240120001,Financial Expenses,2024-01-20,2024-01-20,42547.69,42547.69,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240120001,Administrative Expenses,2024-01-20,2024-01-20,9862.76,9862.76,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240120001,Administrative Expenses,2024-01-20,2024-01-20,9640.73,9640.73,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,12.66790488999998,12.66790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240121040,Sale,2024-01-21,2024-01-21,414316.17,414316.17,,,Unpaid,,100000.0,,,P004,Chemical Product D,3.0,138105.39,Account Receviable,,,C017,20715.81,393600.36,300000.0,114316.16999999998
Expense20240121001,Financial Expenses,2024-01-21,2024-01-21,28127.83,28127.83,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240121001,Administrative Expenses,2024-01-21,2024-01-21,17731.4,17731.4,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240121001,Administrative Expenses,2024-01-21,2024-01-21,35581.51,35581.51,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240121001,Administrative Expenses,2024-01-21,2024-01-21,36100.51,36100.51,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,12.66790488999998,12.66790488999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240122041,Sale,2024-01-22,2024-01-22,65902.3,65902.3,,,Paid,,50000.0,,,P003,Chemical Product C,1.0,65902.3,Cash,,,C019,3295.12,62607.18,50000.0,15902.300000000003
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,465186.81,465186.81,,,Paid,Bank Transfer,,S010,Supplier 10,,,,,,Processing Equipment6,Processing Equipment,,,,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,432676.9,432676.9,,,Paid,Bank Transfer,,S009,Supplier 9,,,,,,Chemical Production Line7,Chemical Production Line,,,,,
Transfer20240122001,Cash to bank transfer,2024-01-22,2024-01-22,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240122001,Cash to bank transfer,2024-01-22,2024-01-22,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,7410.37,7410.37,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240122001,Cash to bank transfer,2024-01-22,2024-01-22,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,41472.44,41472.44,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240122001,Cash to bank transfer,2024-01-22,2024-01-22,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,18657.15,18657.15,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240122022,Interest Receivables,2024-01-22,2024-01-22,-31.641965300000013,-31.641965300000013,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240123043,Sale,2024-01-23,2024-01-23,269306.76,269306.76,,,Paid,,50000.0,,,P003,Chemical Product C,4.0,67326.69,Cash,,,C003,13465.34,255841.42,200000.0,69306.76000000001
Sale20240123044,Sale,2024-01-23,2024-01-23,52567.84,52567.84,,,Paid,,20000.0,,,P002,Chemical Product B,2.0,26283.92,Cash,,,C003,2628.39,49939.45,40000.0,12567.839999999997
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,226268.11,226268.11,,,Paid,Bank Transfer,,S008,Supplier 8,,,,,,Storage Facilities8,Storage Facilities,,,,,
Transfer20240123001,Cash to bank transfer,2024-01-23,2024-01-23,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240123001,Cash to bank transfer,2024-01-23,2024-01-23,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240123001,Cash to bank transfer,2024-01-23,2024-01-23,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240123001,Cash to bank transfer,2024-01-23,2024-01-23,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240123001,Financial Expenses,2024-01-23,2024-01-23,41123.52,41123.52,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240123001,Cash to bank transfer,2024-01-23,2024-01-23,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240123001,Sales Expenses,2024-01-23,2024-01-23,9590.47,9590.47,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240123023,Interest Receivables,2024-01-23,2024-01-23,-7.279827090000015,-7.279827090000015,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240124046,Sale,2024-01-24,2024-01-24,685524.45,685524.45,,,Unpaid,,100000.0,,,P004,Chemical Product D,5.0,137104.89,Account Receviable,,,C004,34276.22,651248.23,500000.0,185524.44999999995
Transfer20240124001,Cash to bank transfer,2024-01-24,2024-01-24,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240124001,Cash to bank transfer,2024-01-24,2024-01-24,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240124001,Financial Expenses,2024-01-24,2024-01-24,25267.49,25267.49,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240124001,Administrative Expenses,2024-01-24,2024-01-24,5805.44,5805.44,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240124001,Financial Expenses,2024-01-24,2024-01-24,23175.71,23175.71,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240124024,Interest Receivables,2024-01-24,2024-01-24,10.520172909999983,10.520172909999983,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240125047,Sale,2024-01-25,2024-01-25,243734.24,243734.24,,,Paid,,100000.0,,,P004,Chemical Product D,2.0,121867.12,Cash,,,C017,12186.71,231547.53,200000.0,43734.23999999999
