id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,asset_name,asset_type,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,242704.16,,,Paid,Bank Transfer,,S010,Supplier 10,,,,,,Storage Facilities4,Storage Facilities,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $242704.16. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S010, and the supplier name is Supplier 10.",
Purchase20231231002,Purchase,2023-12-31,2500000.0,Director,Supervisor,Paid,Bank Transfer,100000.0,S009,Supplier 9,P004,Chemical Product D,25.0,100000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 25.0 units at a unit price of $100000.00, totaling $2500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Purchase20231231003,Purchase,2023-12-31,280000.0,Director,Supervisor,Paid,Bank Transfer,10000.0,S006,Supplier 6,P001,Chemical Product A,28.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 28.0 units at a unit price of $10000.00, totaling $280000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240102001,Sales Expenses,2024-01-02,39636.71,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $39636.71. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240102001,Administrative Expenses,2024-01-02,28772.91,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $28772.91. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240102001,Sales Expenses,2024-01-02,46809.94,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $46809.94. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,127.92,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $127.92. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103004,Sale,2024-01-03,12808.37,,,Unpaid,,10000.0,,,P001,Chemical Product A,1.0,12808.37,Account Receviable,,,C007,640.42,12167.95,10000.0,2808.37,"On January 03, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $12808.37, totaling $12808.37. The cost amount for this transaction was $10000.00, with a tax amount of $640.42, leading to a total amount due of $12167.95. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240103001,Financial Expenses,2024-01-03,8395.01,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Financial Expenses, totaling $8395.01. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240103001,Financial Expenses,2024-01-03,21468.87,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 03, 2024, an invoice was issued for a Financial Expenses, totaling $21468.87. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240103003,Interest Receivables,2024-01-03,127.92,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 03, 2024, an invoice was issued for a Interest Receivables, totaling $127.92. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240104005,Sale,2024-01-04,110304.98,,,Paid,,100000.0,,,P004,Chemical Product D,1.0,110304.98,Cash,,,C004,5515.25,104789.73,100000.0,10304.98,"On January 04, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $110304.98, totaling $110304.98. The cost amount for this transaction was $100000.00, with a tax amount of $5515.25, leading to a total amount due of $104789.73. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240104006,Sale,2024-01-04,261696.18,,,Paid,,100000.0,,,P004,Chemical Product D,2.0,130848.09,Cash,,,C007,13084.81,248611.37,200000.0,61696.18,"On January 04, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $130848.09, totaling $261696.18. The cost amount for this transaction was $200000.00, with a tax amount of $13084.81, leading to a total amount due of $248611.37. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231004,Purchase,2023-12-31,1200000.0,Director,Supervisor,Paid,Cash,50000.0,S005,Supplier 5,P003,Chemical Product C,24.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 24.0 units at a unit price of $50000.00, totaling $1200000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240104001,Administrative Expenses,2024-01-04,10431.27,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $10431.27. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240104001,Administrative Expenses,2024-01-04,29306.91,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $29306.91. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240104001,Administrative Expenses,2024-01-04,33363.42,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Administrative Expenses, totaling $33363.42. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240104001,Sales Expenses,2024-01-04,38768.59,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 04, 2024, an invoice was issued for a Sales Expenses, totaling $38768.59. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240104004,Interest Receivables,2024-01-04,127.92,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 04, 2024, an invoice was issued for a Interest Receivables, totaling $127.92. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240105008,Sale,2024-01-05,114973.05,,,Paid,,20000.0,,,P002,Chemical Product B,5.0,22994.61,Cash,,,C019,5748.65,109224.4,100000.0,14973.05,"On January 05, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $22994.61, totaling $114973.05. The cost amount for this transaction was $100000.00, with a tax amount of $5748.65, leading to a total amount due of $109224.40. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240105009,Sale,2024-01-05,33923.61,,,Paid,,10000.0,,,P001,Chemical Product A,3.0,11307.87,Cash,,,C011,1696.18,32227.43,30000.0,3923.61,"On January 05, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $11307.87, totaling $33923.61. The cost amount for this transaction was $30000.00, with a tax amount of $1696.18, leading to a total amount due of $32227.43. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240105001,Financial Expenses,2024-01-05,5334.06,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Financial Expenses, totaling $5334.06. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240105001,Administrative Expenses,2024-01-05,46201.38,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $46201.38. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240105001,Administrative Expenses,2024-01-05,41709.07,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 05, 2024, an invoice was issued for a Administrative Expenses, totaling $41709.07. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240105005,Interest Receivables,2024-01-05,127.92,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 05, 2024, an invoice was issued for a Interest Receivables, totaling $127.92. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240106010,Sale,2024-01-06,110506.16,,,Paid,,20000.0,,,P002,Chemical Product B,4.0,27626.54,Cash,,,C020,5525.31,104980.85,80000.0,30506.16,"On January 06, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $27626.54, totaling $110506.16. The cost amount for this transaction was $80000.00, with a tax amount of $5525.31, leading to a total amount due of $104980.85. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240106011,Sale,2024-01-06,33339.15,,,Paid,,10000.0,,,P001,Chemical Product A,3.0,11113.05,Cash,,,C012,1666.96,31672.19,30000.0,3339.15,"On January 06, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $11113.05, totaling $33339.15. The cost amount for this transaction was $30000.00, with a tax amount of $1666.96, leading to a total amount due of $31672.19. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240106001,Administrative Expenses,2024-01-06,39247.55,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $39247.55. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240106001,Administrative Expenses,2024-01-06,38482.99,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Administrative Expenses, totaling $38482.99. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240106001,Sales Expenses,2024-01-06,37429.99,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 06, 2024, an invoice was issued for a Sales Expenses, totaling $37429.99. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240106006,Interest Receivables,2024-01-06,127.92,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 06, 2024, an invoice was issued for a Interest Receivables, totaling $127.92. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240107013,Sale,2024-01-07,44362.4,,,Unpaid,,20000.0,,,P002,Chemical Product B,2.0,22181.2,Account Receviable,,,C002,2218.12,42144.28,40000.0,4362.4,"On January 07, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $22181.20, totaling $44362.40. The cost amount for this transaction was $40000.00, with a tax amount of $2218.12, leading to a total amount due of $42144.28. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240107001,Administrative Expenses,2024-01-07,21623.3,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $21623.30. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240107001,Administrative Expenses,2024-01-07,25265.54,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $25265.54. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240107001,Administrative Expenses,2024-01-07,30216.87,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Administrative Expenses, totaling $30216.87. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240107001,Sales Expenses,2024-01-07,20581.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 07, 2024, an invoice was issued for a Sales Expenses, totaling $20581.68. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240107007,Interest Receivables,2024-01-07,127.92,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 07, 2024, an invoice was issued for a Interest Receivables, totaling $127.92. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240108015,Sale,2024-01-08,382514.73,,,Unpaid,,100000.0,,,P004,Chemical Product D,3.0,127504.91,Account Receviable,,,C012,19125.74,363388.99,300000.0,82514.73,"On January 08, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $127504.91, totaling $382514.73. The cost amount for this transaction was $300000.00, with a tax amount of $19125.74, leading to a total amount due of $363388.99. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240108016,Sale,2024-01-08,401544.81,,,Unpaid,,100000.0,,,P004,Chemical Product D,3.0,133848.27,Cash,,,C019,26769.65,508623.43,400000.0,109281.87,"On January 08, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $133848.27, totaling $535393.08. The cost amount for this transaction was $400000.00, with a tax amount of $26769.65, leading to a total amount due of $508623.43. The receive_method of this transaction was cash, and this transaction was paid.","[{'Recorded payment/receipt_status': 'Unpaid', 'Original payment/receipt_status': 'Paid', 'id': 'Sale20240108016'}, {'Original quantity': 4.0, 'Recorded quantity': 3, 'id': 'Sale20240108016'}, {'Original profit': 135393.08, 'Recorded profit': 109281.87, 'id': 'Sale20240108016'}]"
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,474959.83,,,Paid,Bank Transfer,,S007,Supplier 7,,,,,,Processing Equipment5,Processing Equipment,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $474959.83. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S007, and the supplier name is Supplier 7.",
Purchase20231231005,Purchase,2023-12-31,2700000.0,Director,Supervisor,Unpaid,Account Payable,100000.0,S001,Supplier 1,P004,Chemical Product D,27.0,100000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 27.0 units at a unit price of $100000.00, totaling $2700000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240108001,Sales Expenses,2024-01-08,17423.33,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Sales Expenses, totaling $17423.33. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240108001,Financial Expenses,2024-01-08,7824.83,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Financial Expenses, totaling $7824.83. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240108001,Financial Expenses,2024-01-08,8616.21,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Financial Expenses, totaling $8616.21. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240108001,Administrative Expenses,2024-01-08,49269.0,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 08, 2024, an invoice was issued for a Administrative Expenses, totaling $49269.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240108008,Interest Receivables,2024-01-08,85.65,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 08, 2024, an invoice was issued for a Interest Receivables, totaling $85.65. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240109018,Sale,2024-01-09,189573.99,,,Unpaid,,50000.0,,,P003,Chemical Product C,3.0,63191.33,Account Receviable,,,C015,9478.7,180095.29,150000.0,39573.99,"On January 09, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $63191.33, totaling $189573.99. The cost amount for this transaction was $150000.00, with a tax amount of $9478.70, leading to a total amount due of $180095.29. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240109001,Administrative Expenses,2024-01-09,42647.17,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $42647.17. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240109001,Administrative Expenses,2024-01-09,45556.32,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $45556.32. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240109001,Administrative Expenses,2024-01-09,37593.05,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $37593.05. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240109001,Administrative Expenses,2024-01-09,17609.13,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 09, 2024, an invoice was issued for a Administrative Expenses, totaling $17609.13. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240109009,Interest Receivables,2024-01-09,85.65,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 09, 2024, an invoice was issued for a Interest Receivables, totaling $85.65. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240110019,Sale,2024-01-10,305008.1,,,Paid,,50000.0,,,P003,Chemical Product C,5.0,61001.62,Cash,,,C003,15250.4,289757.7,250000.0,55008.1,"On January 10, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $61001.62, totaling $305008.10. The cost amount for this transaction was $250000.00, with a tax amount of $15250.40, leading to a total amount due of $289757.70. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240110001,Administrative Expenses,2024-01-10,11440.04,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $11440.04. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240110001,Administrative Expenses,2024-01-10,49384.5,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $49384.50. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240110001,Administrative Expenses,2024-01-10,47760.71,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 10, 2024, an invoice was issued for a Administrative Expenses, totaling $47760.71. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240110010,Interest Receivables,2024-01-10,85.65,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $85.65. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240111001,Financial Expenses,2024-01-11,7159.99,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Financial Expenses, totaling $7159.99. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240111001,Administrative Expenses,2024-01-11,7426.35,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Administrative Expenses, totaling $7426.35. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,85.65,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $85.65. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112020,Sale,2024-01-12,51511.56,,,Paid,,10000.0,,,P001,Chemical Product A,4.0,12877.89,Cash,,,C014,2575.58,48935.98,40000.0,11511.56,"On January 12, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $12877.89, totaling $51511.56. The cost amount for this transaction was $40000.00, with a tax amount of $2575.58, leading to a total amount due of $48935.98. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240112001,Administrative Expenses,2024-01-12,40667.19,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $40667.19. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240112001,Financial Expenses,2024-01-12,49563.95,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Financial Expenses, totaling $49563.95. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240112001,Administrative Expenses,2024-01-12,7991.4,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $7991.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240112001,Administrative Expenses,2024-01-12,20561.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $20561.68. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,85.65,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $85.65. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240113021,Sale,2024-01-13,304821.85,,,Paid,,50000.0,,,P003,Chemical Product C,5.0,60964.37,Cash,,,C011,15241.09,289580.76,250000.0,54821.85,"On January 13, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $60964.37, totaling $304821.85. The cost amount for this transaction was $250000.00, with a tax amount of $15241.09, leading to a total amount due of $289580.76. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240113022,Sale,2024-01-13,111954.68,,,Unpaid,,20000.0,,,P002,Chemical Product B,4.0,27988.67,Account Receviable,,,C012,5597.73,106356.95,80000.0,31954.68,"On January 13, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $27988.67, totaling $111954.68. The cost amount for this transaction was $80000.00, with a tax amount of $5597.73, leading to a total amount due of $106356.95. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231006,Purchase,2023-12-31,520000.0,Director,Supervisor,Paid,Bank Transfer,20000.0,S001,Supplier 1,P002,Chemical Product B,26.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 26.0 units at a unit price of $20000.00, totaling $520000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240113001,Sales Expenses,2024-01-13,27093.82,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Sales Expenses, totaling $27093.82. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240113001,Financial Expenses,2024-01-13,21894.83,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Financial Expenses, totaling $21894.83. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240113013,Interest Receivables,2024-01-13,39.37,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 13, 2024, an invoice was issued for a Interest Receivables, totaling $39.37. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240114024,Sale,2024-01-14,671035.1,,,Unpaid,,100000.0,,,P004,Chemical Product D,5.0,134207.02,Account Receviable,,,C018,33551.75,637483.35,500000.0,171035.1,"On January 14, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $134207.02, totaling $671035.10. The cost amount for this transaction was $500000.00, with a tax amount of $33551.75, leading to a total amount due of $637483.35. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231007,Purchase,2023-12-31,1300000.0,Director,Supervisor,Paid,Bank Transfer,50000.0,S007,Supplier 7,P003,Chemical Product C,26.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 26.0 units at a unit price of $50000.00, totaling $1300000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Transfer20240114001,Cash to bank transfer,2024-01-14,100000.0,,,,,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
